"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","자산규모","부채총액","자본금","판매방식명",
"1","통신판매업","08_26_04_P","3930000","2026393048230200500","2026-02-28","","01","영업/정상","01","정상영업","","","","","","","","경기도 안산시 단원구 선부동 ****-* ***호","경기도 안산시 단원구 화정천서로*길 **-*, ***호 (선부동)","15214","호랑이쇼핑몰","2026-03-01 21:26:54","I","2026-03-04 00:20:37","의류/패션/잡화/뷰티","183697.775640219","427262.767388588","0","0","0","인터넷",
"2","통신판매업","08_26_04_P","3930000","2026393048230200501","2026-02-28","","01","영업/정상","01","정상영업","","","","","","","","경기도 안산시 단원구 선부동 ****-* 선부프라자 ***호","경기도 안산시 단원구 선부광장*로 ***, 선부프라자 ***호 (선부동)","15367","주식회사 피엘피랩","2026-03-01 22:01:48","I","2026-03-04 00:20:37","기타","182930.294472779","425641.873129105","0","0","0","인터넷",
"3","통신판매업","08_26_04_P","3930000","2026393048230200502","2026-02-28","","01","영업/정상","01","정상영업","","","","","","","","경기도 안산시 상록구 사동 ****-** 경기테크노파크 *동 공용실 *호","경기도 안산시 상록구 해안로 ***, 경기테크노파크 *동 공용실 *호 (사동)","15588","밋미히어 (meet me here)","2026-03-01 22:22:37","I","2026-03-04 00:20:37","컴퓨터/사무용품","184846.499195767","421001.454559559","0","0","0","인터넷",
"4","통신판매업","08_26_04_P","3930000","2026393048230200503","2026-02-28","","01","영업/정상","01","정상영업","","","","","","","","경기도 안산시 단원구 고잔동 *** 안산고잔*차 푸르지오 ***동 ****호","경기도 안산시 단원구 광덕*로 ***, ***동 ****호 (고잔동, 안산고잔*차 푸르지오)","15463","홈케어마켓","2026-03-01 22:54:55","I","2026-03-04 00:20:37","종합몰","185273.017842446","423524.633686107","0","0","0","인터넷",
"5","통신판매업","08_26_04_P","3930000","2026393048230200504","2026-02-28","","01","영업/정상","01","정상영업","","","","","","","","경기도 안산시 단원구 대부북동 ****-*","경기도 안산시 단원구 절골길 ** (대부북동)","15640","싱글벙글야생화","2026-03-02 14:31:43","I","2026-03-04 00:20:37","기타","162651.878883058","418339.946174196","0","0","0","인터넷",
"6","통신판매업","08_26_04_P","3930000","2026393048230200505","2026-02-28","","01","영업/정상","01","정상영업","","","","","","","","경기도 안산시 단원구 신길동 **** 휴먼시아 ***동 ***호","경기도 안산시 단원구 도일로 **, ***동 ***호 (신길동, 휴먼시아)","15402","리안","2026-03-02 14:50:34","I","2026-03-04 00:20:37","종합몰 기타","180949.074726865","425642.427900713","0","0","0","인터넷",
"7","통신판매업","08_26_04_P","3930000","2026393048230200506","2026-02-28","","01","영업/정상","01","정상영업","","","","","","","","경기도 안산시 상록구 사동 **** 그랑시티자이*차근린생활시설 ***호","경기도 안산시 상록구 해양*로 **, 그랑시티자이*차근린생활시설 ***호 (사동)","15596","조각의정원 그랑시티자이점","2026-03-02 15:05:50","I","2026-03-04 00:20:37","기타","185029.298232779","419781.472977914","0","0","0","인터넷",
"8","통신판매업","08_26_04_P","3930000","2026393048230200507","2026-02-28","","01","영업/정상","01","정상영업","","","","","","","","경기도 안산시 상록구 이동 ***-* 월드프라자","경기도 안산시 상록구 중보로 **, 월드프라자 ***-***호 (이동)","15495","쏠미(SSOLMI)","2026-03-02 15:25:32","I","2026-03-04 00:20:37","종합몰","186646.616867435","422716.613445175","0","0","0","인터넷",
"9","통신판매업","08_26_04_P","3930000","2026393048230200508","2026-02-28","","01","영업/정상","01","정상영업","","","","","","","","경기도 안산시 단원구 초지동 *** 그린빌주공**단지아파트 ****동 ***호","경기도 안산시 단원구 화정천서로 ***, ****동 ***호 (초지동, 그린빌주공**단지아파트)","15442","최저가농수산","2026-03-02 15:52:27","I","2026-03-04 00:20:37","건강/식품","183875.420066154","423293.993186418","0","0","0","인터넷",
"10","통신판매업","08_26_04_P","3930000","2026393048230200509","2026-02-28","","01","영업/정상","01","정상영업","","","","","","","","경기도 안산시 단원구 선부동 **** 수정한양아파트 ***동 ***호","경기도 안산시 단원구 선부광장북로 **, ***동 ***호 (선부동, 수정한양아파트)","15235","루이마켓","2026-03-02 16:18:38","I","2026-03-04 00:20:37","교육/도서/완구/오락 의류/패션/잡화/뷰티","183607.833754358","426385.004910461","0","0","0","인터넷",
