보조직원수,사업장명,욕실면적,업태구분명,폐업일자,좌표X,좌표Y,자격증소유자수,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,직원수,기타직원수,시설관리자수,총면적,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,의료유사업종별명,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,병상수,휴업시작일자,휴업종료일자,소재지전화번호
,온수장안마시술소,,안마시술소,2010-06-30,198490.52283987,452281.291019868,,2026-04-28 22:31:24,I,03,폐업,10,,,363.84,2010-06-30 17:49:16,,1981-02-04,110-170,서울특별시 종로구 견지동 91번지,안마시술소,PHMB419813000034042400001,3000000,서울특별시 종로구 우정국로 38-11 (견지동),,03,폐업,24,2009-07-30,2010-01-30,02-739-2287
,오아시스안마시술소,,안마시술소,2010-07-14,,,,2026-04-28 22:31:24,I,03,폐업,3,,,468.9,2010-07-16 10:58:46,,1984-10-13,110-102,서울특별시 종로구 평동 26번지 22호,안마시술소,PHMB419843000034042400001,3000000,서울특별시 종로구 송월길 51 (평동),,03,폐업,18,,,02-720-2028
,태양온천안마시술소,,안마시술소,2011-05-19,,,,2026-04-28 22:31:24,I,03,폐업,8,,,312.64,2011-05-19 14:59:11,,1991-02-13,110-130,서울특별시 종로구 청진동 153번지,안마시술소,PHMB419913000034042400001,3000000,,,03,폐업,23,,,02-733-4420
,여우안마시술소,,안마시술소,2008-11-04,198992.400636487,452172.172080221,,2026-04-28 22:31:24,I,03,폐업,2,,,824.9,2010-07-16 11:00:24,,2003-12-04,110-320,"서울특별시 종로구 낙원동 143번지 2,3,4,5층",안마시술소,PHMB420033000034042400001,3000000,"서울특별시 종로구 수표로 118 (낙원동,2,3,4,5층)",,03,폐업,33,,,02-765-3681
,황제안마시술소,,안마시술소,2012-10-31,200876.602915538,452108.981034905,,2026-04-28 22:31:24,I,03,폐업,4,,,806,2012-11-07 10:04:36,,2008-05-09,110-842,"서울특별시 종로구 창신1동 464번지 6호 3층, 4층, 5층",안마시술소,PHMB420083000034042400001,3000000,"서울특별시 종로구 종로 294 (창신동,3층, 4층, 5층)",,03,폐업,18,,,
,힐링더하기안마원,,안마원,2017-09-27,199878.13319881,453508.076908785,,2026-04-28 22:31:24,I,03,폐업,0,,,72.07,2017-09-27 16:21:43,,2015-04-13,110-522,서울특별시 종로구 명륜2가 8번지 27호 2층,안마원,PHMB420153000034042400001,3000000,"서울특별시 종로구 창경궁로 249, 2층 (명륜2가)",03075,03,폐업,,,,
,효자약손지압안마원,,안마원,2023-11-30,197289.37035385,453439.217221675,,2026-04-28 22:31:24,I,03,폐업,1,,,44.5,2023-11-22 16:18:55,,2017-05-02,,서울특별시 종로구 신교동 52번지,안마원,PHMB420173000034042400001,3000000,"서울특별시 종로구 자하문로 81, 2층 (신교동)",03035,03,폐업,,,,02-2231-7579
,즐겨찾기안마시술소,,안마시술소,2009-05-06,198005.134283014,451061.213099678,,2026-04-28 22:31:24,I,03,폐업,6,,,462.12,2009-05-19 17:52:52,,1992-07-20,100-080,서울특별시 중구 북창동 108번지 5호,안마시술소,PHMB419923010033042400001,3010000,서울특별시 중구 남대문로 25-13 (북창동),,03,폐업,20,,,
,수안마시술소,,안마시술소,2013-04-08,200112.127300648,451452.285186011,,2026-04-28 22:31:24,I,03,폐업,1,,,100,2013-04-08 13:20:00,,2002-03-21,100-310,서울특별시 중구 오장동 139번지 1호 지하1층,안마시술소,PHMB420023010033042400001,3010000,"서울특별시 중구 동호로 347 (오장동,지하1층)",,03,폐업,1,,,
,상상플러스,,안마시술소,2012-05-29,198118.296565976,450847.771205029,,2026-04-28 22:31:24,I,03,폐업,1,,,423.64,2012-05-29 17:44:43,,2002-08-24,100-874,"서울특별시 중구 회현동1가 194번지 18호  2,3층",안마시술소,PHMB420023010033042400002,3010000,"서울특별시 중구 퇴계로 67 (회현동1가,2,3층)",,03,폐업,1,,,
,이과수안마시술소,80,안마시술소,2019-09-25,198264.78394422,451746.92183856,,2026-04-28 22:31:24,I,03,폐업,4,,,502.4,2019-09-25 13:14:29,,2012-09-25,100-180,"서울특별시 중구 다동 58번지 1호 (효광빌딩5,6층)",안마시술소,PHMB420033010033042400001,3010000,"서울특별시 중구 다동길 33 (다동, 효광빌딩5,6층)",04521,03,폐업,20,2018-05-01,2020-04-30,
,무교안마시술소,,안마시술소,2010-06-09,198342.279092973,451614.068606022,,2026-04-28 22:31:24,I,03,폐업,2,,,386.49,2014-10-17 10:58:58,,2008-01-02,100-180,서울특별시 중구 다동 114번지,안마시술소,PHMB420083010033042400001,3010000,서울특별시 중구 남대문로9길 8 (다동),,03,폐업,17,,,
,효사랑안마원,,안마원,2013-03-13,201136.269113712,451568.105333961,,2026-04-28 22:31:24,I,03,폐업,1,,,56.2,2013-03-13 15:44:58,,2009-06-08,100-454,서울특별시 중구 신당4동 251번지 74호 유영빌딩2층,안마원,PHMB420093010033042400001,3010000,"서울특별시 중구 다산로47길 43 (신당동,유영빌딩2층)",,03,폐업,,,,22351151
,이범석전통안마원,,안마원,2011-06-02,201658.268763917,451217.424002883,,2026-04-28 22:31:24,I,03,폐업,2,,,105.6,2011-06-02 10:37:11,,2009-06-04,100-450,서울특별시 중구 신당동 52번지 100호,안마원,PHMB420093010033042400002,3010000,서울특별시 중구 퇴계로88길 61 (신당동),,03,폐업,2,,,22388085
,즐겨찾기안마시술소,49,안마시술소,2014-01-01,198005.134283014,451061.213099678,,2026-04-28 22:31:24,I,03,폐업,2,,,503.22,2013-12-23 13:17:14,,2010-01-04,100-080,서울특별시 중구 북창동 108-5,안마시술소,PHMB420103010033042400001,3010000,서울특별시 중구 남대문로 25-13 (북창동),,03,폐업,20,,,
,전통경락안마원,,안마원,2011-01-26,,,,2026-04-28 22:31:24,I,03,폐업,1,,,22.55,2011-01-26 17:47:06,,2010-06-28,100-300,서울특별시 중구 초동 158-6 (2층),안마원,PHMB420103010033042400002,3010000,,,03,폐업,,,,22669675
,덕산안마원,,안마원,2011-05-26,,,,2026-04-28 22:31:24,I,03,폐업,2,,,8.2,2011-05-26 17:38:47,,2010-09-30,100-195,서울특별시 중구 을지로5가 273-3 3층,안마원,PHMB420103010033042400003,3010000,,,03,폐업,,,,22688259
,OJS치유안마원,,안마원,2013-04-26,,,,2026-04-28 22:31:24,I,03,폐업,1,,,78.7,2013-04-26 11:15:03,,2011-06-16,100-866,서울특별시 중구 필동1가 21-2 선일빌딩2층,안마원,PHMB420113010033042400003,3010000,,,03,폐업,,,,22750675
,젠틀맨안마시술소,,안마시술소,2019-04-26,200112.127300648,451452.285186011,,2026-04-28 22:31:24,I,03,폐업,2,,,348.48,2019-04-26 16:59:18,,2013-05-16,,,안마시술소,PHMB420133010033042400001,3010000,"서울특별시 중구 동호로 347, 지하1층 (오장동)",04547,03,폐업,16,,,02-2277-6955
,루아흐의핑거스토리안마원,,안마원,2018-05-30,199604.188741058,450751.154910554,,2026-04-28 22:31:24,I,03,폐업,0,,,48.74,2018-06-20 16:46:09,,2016-05-02,,서울특별시 중구 필동3가 41번지 2호 2층,안마원,PHMB420163010033042400001,3010000,"서울특별시 중구 필동로 27-1, 2층 (필동3가)",04623,03,폐업,,,,02-2272-8770
,시원지압안마원,,안마원,2019-12-06,199272.350281075,450950.170297912,,2026-04-28 22:31:24,I,03,폐업,1,,,42,2019-12-26 09:54:38,,2016-08-22,,서울특별시 중구 필동1가 36번지 2호 203호,안마원,PHMB420163010033042400002,3010000,"서울특별시 중구 퇴계로 188, 2층 203호 (필동1가)",04627,03,폐업,,,,
,씨티안마시술소,,안마시술소,2011-03-12,186079.559805793,443702.009083588,,2026-04-28 22:00:50,I,03,폐업,3,,,514.14,2011-03-10 17:42:22,,2001-10-11,152-894,서울특별시 구로구 오류1동 51번지 31호,안마시술소,PHMB420013160034042400001,3160000,서울특별시 구로구 경인로 200 (오류동),,03,폐업,13,,,
,디지털안마시술소,,안마시술소,2015-06-10,191191.131566069,442491.81823395,,2026-04-28 22:00:50,I,03,폐업,6,,,820,2015-06-10 16:20:15,,2003-05-21,152-880,서울특별시 구로구 구로3동 1124번지 42호,안마시술소,PHMB420033160034042400001,3160000,"서울특별시 구로구 디지털로32나길 38 (구로동, 서림빌딩 지하1층)",,03,폐업,34,,,
,낙원안마시술소,1,안마시술소,2018-07-24,186374.487755575,443969.640518828,,2026-04-28 22:00:50,I,03,폐업,2,,,534,2018-07-24 14:55:38,,2004-12-15,152-803,서울특별시 구로구 개봉동 70번지 16호,안마시술소,PHMB420043160034042400001,3160000,서울특별시 구로구 고척로18길 59-20 (개봉동),08267,03,폐업,19,,,02-2060-0192
,중앙안마시술소,,안마시술소,2010-02-26,191173.834097241,442316.325150566,,2026-04-28 22:00:50,I,03,폐업,2,,,373.8,2010-02-26 14:19:14,,2007-09-04,152-880,서울특별시 구로구 구로3동 1125번지 9호,안마시술소,PHMB420073160034042400001,3160000,서울특별시 구로구 시흥대로 557 (구로동),,03,폐업,8,2009-07-03,2009-12-31,02-859-8692
,행복안마원,0,안마원,2011-12-09,190845.231594802,442639.420821243,,2026-04-28 22:00:50,I,03,폐업,1,,,40.96,2011-12-09 15:58:17,,2009-01-07,152-050,서울특별시 구로구 구로동 182번지 13호 대륭포스트타워2(422-1호),안마원,PHMB420093160034042400001,3160000,"서울특별시 구로구 디지털로 306 (구로동,대륭포스트타워2(422-1호))",,03,폐업,0,,,02-831-0033
,액티브안마원,,안마원,2011-08-31,,,,2026-04-28 22:00:50,I,03,폐업,1,,,38.36,2011-08-31 13:41:16,,2010-10-05,152-748,서울특별시 구로구 신도림동 신도림1차푸르지오아파트 상가 240,안마원,PHMB420103160034042400002,3160000,,,03,폐업,1,,,02-3439-7730
,도인기혈지압안마원,,안마원,2011-02-15,189556.142460589,444208.154113814,,2026-04-28 22:00:50,I,03,폐업,1,,,85,2011-02-15 16:38:05,,2010-10-21,152-858,서울특별시 구로구 구로2동 497번지 5호 4층,안마원,PHMB420103160034042400003,3160000,"서울특별시 구로구 구로동로 240 (구로동,4층)",,03,폐업,,,,
,쿨지압안마원,,안마원,2020-03-17,190085.623194836,444761.707302979,,2026-04-28 22:00:50,I,03,폐업,1,,,99.28,2020-03-17 14:17:21,,2011-04-05,152-838,서울특별시 구로구 구로5동 7번지 12호 2층,안마원,PHMB420113160034042400001,3160000,"서울특별시 구로구 새말로 77 (구로동,2층)",,03,폐업,,,,02-839-1156
,스마일안마원,,안마원,2024-12-05,186011.186176542,443388.300124845,,2026-04-28 22:00:50,I,03,폐업,,,,88.11,2024-12-05 18:21:23,,2022-09-07,,서울특별시 구로구 오류동 135-67,안마원,PHMB420223160034042400001,3160000,"서울특별시 구로구 서해안로 2320, 3층 (오류동)",08341,03,폐업,,,,02-2060-6856
,리베안마시술소,,안마시술소,2008-07-23,192900.792391738,457611.926155564,,2026-04-28 22:31:25,I,03,폐업,2,,,577.27,2008-12-17 10:54:13,,1997-09-10,122-860,서울특별시 은평구 불광동 484번지 75호,안마시술소,PHMB419973110032042400001,3110000,서울특별시 은평구 통일로82길 11 (불광동),,03,폐업,18,,,
,뉴욕안마시술소,,안마시술소,2018-07-30,192859.357586305,457401.253093059,,2026-04-28 22:31:25,I,03,폐업,2,,,375.31,2018-07-30 14:37:43,,1997-10-08,122-808,서울특별시 은평구 갈현동 398번지 6호,안마시술소,PHMB419973110032042400002,3110000,서울특별시 은평구 통일로 855-9 (갈현동),,03,폐업,18,2018-07-11,2019-05-10,02-383-0680
,동원안마시술소,,안마시술소,2014-08-04,193868.154939764,455457.016651431,,2026-04-28 22:31:25,I,03,폐업,3,,,369.92,2014-08-04 16:23:31,,2004-10-08,122-836,서울특별시 은평구 녹번동 215번지,안마시술소,PHMB420043110032042400001,3110000,서울특별시 은평구 은평로 213 (녹번동),,03,폐업,18,,,
,평강안마원,,안마원,2014-06-30,192938.646660906,457216.299752993,,2026-04-28 22:31:25,I,03,폐업,1,,,56.23,2014-06-30 15:14:04,,2009-08-07,122-837,서울특별시 은평구 대조동 197번지 20호 도원빌딩 1층,안마원,PHMB420093110032042400001,3110000,"서울특별시 은평구 연서로26길 9-5 (대조동,도원빌딩 1층)",,03,폐업,,,,31417582
