"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","한실수","양실수","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","여성종사자수","남성종사자수","다중이용업소여부",
"1","숙박업","03_11_03_P","5370000","5370000-201-2026-00001","2026-01-23","","01","영업/정상","01","영업","","","","","","58.51","656-852","경상남도 거제시 동부면 구천리 901 주1동 1층","경상남도 거제시 동부면 거제중앙로 410, 주1동 1층","53332","오늘스테이","2026-01-23 11:39:54","I","2026-01-25 00:20:02","숙박업 기타","349139.225689321","144781.357720406","숙박업 기타","2","0","1","1","0","0","1","0","","","","","0","0","N",
"2","숙박업","03_11_03_P","3000000","3000000-214-2026-00006","2026-01-20","","01","영업/정상","01","영업","","","","","","64.00","110-836","서울특별시 종로구 종로5가 503-7","서울특별시 종로구 종로36나길 10-1, 4층 (종로5가)","03197","고유리(Goyu;re)","2026-01-23 10:48:29","I","2026-01-25 00:20:02","숙박업(생활)","200328.85058794","451973.845648666","숙박업(생활)","0","0","4","4","0","0","0","1","","","","임대","0","0","N",
"3","숙박업","03_11_03_P","3000000","3000000-214-2026-00007","2026-01-20","","01","영업/정상","01","영업","","","","","","141.25","110-841","서울특별시 종로구 창신동 330-7","서울특별시 종로구 종로54길 9-9, 2층 (창신동)","03121","동대문 스테이가든","2026-01-23 10:49:33","I","2026-01-25 00:20:02","숙박업(생활)","201192.319848224","452214.352544411","숙박업(생활)","0","0","2","2","0","0","0","13","","","","자가","0","0","N",
"4","숙박업","03_11_03_P","4331000","4331000-214-2026-00001","2026-01-23","","01","영업/정상","01","영업","","","","","","394.20","","강원특별자치도 인제군 북면 한계리 1247-6","강원특별자치도 인제군 북면 예술인촌길 31-11, 1~3층","24607","한계령 펜션","2026-01-23 11:00:41","I","2026-01-25 00:20:02","숙박업(생활)","309728.163053989","516160.487461527","숙박업(생활)","3","0","1","3","0","0","5","3","","","","","0","0","N",
"5","숙박업","03_11_03_P","3000000","3000000-214-2026-00008","2026-01-23","","01","영업/정상","01","영업","","","","","","263.41","110-450","서울특별시 종로구 원남동 228-1","서울특별시 종로구 창경궁로21가길 7-2 (원남동)","03136","Apple-stay","2026-01-23 13:19:01","I","2026-01-25 00:20:02","숙박업(생활)","199607.788245225","452537.19409774","숙박업(생활)","4","0","0","0","0","0","0","15","","","","","0","0","N",
"6","숙박업","03_11_03_P","3270000","3270000-214-2026-00003","2026-01-23","","01","영업/정상","01","영업","","","","","","483.48","601-839","부산광역시 동구 초량동 1203-17","부산광역시 동구 중앙대로196번길 12-9, 3~5층 (초량동)","48821","첼로하우스","2026-01-23 14:46:32","I","2026-01-25 00:20:02","숙박업(생활)","385953.346847996","181288.732418292","숙박업(생활)","5","1","3","5","0","0","0","16","","","","","0","0","N",
"7","숙박업","03_11_03_P","3270000","3270000-214-2026-00004","2026-01-23","","01","영업/정상","01","영업","","","","","","125.62","601-827","부산광역시 동구 초량동 167-6","부산광역시 동구 중앙대로251번길 18, 3층 (초량동)","48798","(주)서호재","2026-01-23 16:44:27","I","2026-01-25 00:20:02","숙박업(생활)","385982.672609667","181978.14183119","숙박업(생활)","3","0","3","3","0","0","0","3","","","","","0","0","N",
"8","숙박업","03_11_03_P","5530000","5530000-214-2023-00005","2023-06-16","","03","폐업","02","폐업","2026-01-23","","","","","722.38","445-922","경기도 화성시 향남읍 구문천리 925-8","경기도 화성시 향남읍 발안공단로 86, 38개호실","18623","트윈테라스타워-A","2026-01-23 17:35:17","U","2026-01-25 02:40:00","숙박업(생활)","191910.421736856","398365.049748517","숙박업(생활)","0","0","0","0","0","0","0","32","","","","","0","0","N",
"9","숙박업","03_11_03_P","5530000","5530000-214-2023-00006","2023-06-16","","03","폐업","02","폐업","2026-01-23","","","","","867.96","445-922","경기도 화성시 향남읍 구문천리 925-6","경기도 화성시 향남읍 발안공단로 82, 30개호실","18623","트윈테라스타워-B","2026-01-23 17:34:28","U","2026-01-25 02:40:00","숙박업(생활)","191956.572686377","398366.335136611","숙박업(생활)","17","0","2","16","0","0","0","30","","","","","0","0","Y",
"10","숙박업","03_11_03_P","3490000","3490000-201-2014-00004","2014-08-04","","01","영업/정상","01","영업","","","","","032 745 1234","23485.00","400-340","인천광역시 중구 운서동 2850-8","인천광역시 중구 영종해안남로321번길 190 (운서동)","22382","하얏트리젠시인천파라다이스시티","2026-01-23 14:43:27","U","2026-01-25 02:40:00","관광호텔","151811.802443159","437653.715118863","관광호텔","12","0","3","11","0","0","0","501","","","","","0","0","N",
"11","숙박업","03_11_03_P","4140000","4140000-214-2016-00002","2016-09-07","","01","영업/정상","01","영업","","","","","031 832 0506","69.39","486-851","경기도 연천군 청산면 대전리 406 3동, 4동, 5동","경기도 연천군 청산면 청창로200번길 33","11022","반려견호텔 랩도그빌","2026-01-23 15:59:19","U","2026-01-25 02:40:00","숙박업(생활)","207707.744616364","500587.109629541","숙박업(생활)","1","0","1","1","0","0","3","0","","","","자가","0","0","N",
"12","숙박업","03_11_03_P","4170000","4170000-201-2001-00007","2001-07-11","","01","영업/정상","01","영업","","","","","","1317.98","476-922","경기도 양평군 강하면 전수리 548-1","경기도 양평군 강하면 강남로 361","12575","사보이","2026-01-23 14:05:12","U","2026-01-25 02:40:00","여관업","237471.098269552","444678.686541386","여관업","8","0","8","0","0","0","0","38","","","","","0","0","N",
"13","숙박업","03_11_03_P","3820000","3820000-201-1987-00005","1987-04-29","","01","영업/정상","01","영업","","","","","070 88855355","489.50","480-841","경기도 의정부시 의정부동 89-9","경기도 의정부시 평화로439번길 15 (의정부동)","11700","더블유(W)스테이","2026-01-23 15:30:54","U","2026-01-25 02:40:00","여관업","204094.775302623","469882.845031129","여관업","0","0","0","0","0","0","0","18","","","","","","","N",
"14","숙박업","03_11_03_P","4181000","4181000-214-2021-00005","2021-12-06","","01","영업/정상","01","영업","","","","","","7254.45","","강원특별자치도 춘천시 효자동 651","강원특별자치도 춘천시 효자로 136 (효자동)","24334","(주)호텔더베네치아","2026-01-23 13:41:54","U","2026-01-25 02:40:00","숙박업(생활)","264602.570816305","486034.827228068","숙박업(생활)","15","2","0","0","0","0","30","152","","","","임대","0","0","N",
"15","숙박업","03_11_03_P","4191000","4191000-201-1965-00001","1965-08-13","","03","폐업","02","폐업","2026-01-23","","","","033 7462934","0.00","","강원특별자치도 원주시 학성동 462","","","두꺼비여인숙","2026-01-23 11:09:55","U","2026-01-25 02:40:00","여인숙업","","","여인숙업","0","0","0","0","0","0","8","0","","","","","0","0","N",
