"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","자본금","거래처",
"1","석유판매업","09_28_08_P","5350000","2005535013401500006","2005-10-17","","01","영업/정상","07","영업개시","","","","","055 329 3248","722","","경상남도 김해시 내동 1123-1","경상남도 김해시 내외중앙로 99 (내동)","","굿모닝주유소","2026-01-23 09:29:40","U","2026-01-25 02:40:00","주유소","369888.630934761","194878.400032974","","",
"2","석유판매업","09_28_08_P","4600000","2015460009101500001","2015-03-03","","01","영업/정상","07","영업개시","","","","","041 642 3380","1193","","충청남도 홍성군 은하면 장척리 40-3","충청남도 홍성군 은하면 충서로 87-1","","탑셀프","2026-01-23 10:58:30","U","2026-01-25 02:40:00","주유소","165390.533802603","332468.527499759","","",
"3","석유판매업","09_28_08_P","5060000","1994506001201500002","1994-03-26","","01","영업/정상","01","신규등록","","","","","054 431 1329","909","","경상북도 김천시 개령면 신룡리 758-2","경상북도 김천시 개령면 감문로 241","","모광주유소","2026-01-23 16:31:10","U","2026-01-25 02:40:00","주유소","303451.808607976","295442.535704199","","",
"4","석유판매업","09_28_08_P","5670000","1995567046201500039","1995-12-12","","02","휴업","05","사업휴지","","2025-11-03","2026-02-28","","055 253 7647","1395","","경상남도 창원시 의창구 동읍 신방리 440","경상남도 창원시 의창구 동읍 동읍로 195","51118","주남그린주유소","2026-01-23 16:05:28","U","2026-01-25 02:40:00","주유소","352348.31779689","200487.580895555","","",
"5","석유판매업","09_28_08_P","4890000","1992489001101500017","1992-04-07","","02","휴업","05","사업휴지","","2024-12-30","2025-12-29","","061-853-2111","1480","","전라남도 보성군 득량면 예당리 1086-1","전라남도 보성군 득량면 녹색로 3685","","예당주유소","2026-01-23 17:58:43","U","2026-01-25 02:40:00","주유소","216642.327711133","142296.848536713","","",
"6","석유판매업","09_28_08_P","4311000","1991431000701500007","1991-09-28","","01","영업/정상","06","휴지사업재개","","","","2025-12-30","033-441-5152","","","강원특별자치도 화천군 화천읍 대이리 136-3 2반","강원특별자치도 화천군 화천읍 평화로 523","","파로호주유소","2026-01-23 10:03:25","U","2026-01-25 02:40:00","주유소","266182.773679797","510253.61432516","","",
"7","석유판매업","09_28_08_P","5670000","1993532001401500021","1993-11-27","","02","휴업","05","사업휴지","","2025-07-23","2026-01-22","","055  5522103","959","","경상남도 창원시 진해구 용원동 19-1 주유소","경상남도 창원시 진해구 진해대로 2467, 주유소 (용원동)","51603","Sh부경신항주유소","2026-01-23 09:01:05","U","2026-01-25 02:40:00","주유소","366509.414951699","179688.873367939","","",
"8","석유판매업","09_28_08_P","5020000","2018502031101200004","2018-08-10","","03","폐업","03","폐지","2026-01-23","","","","","","","경상북도 포항시 남구 오천읍 원리 1266","","","한솔에너지","2026-01-23 15:22:11","U","2026-01-25 02:40:00","일반판매소","416866.47797743","277520.272815268","","",
"9","석유판매업","09_28_08_P","5670000","1987527002201500111","1987-03-13","","02","휴업","05","사업휴지","","2026-02-13","2027-02-12","","055 252 6638","1995","","경상남도 창원시 의창구 대산면 제동리 366-11 SK 광진주유소","경상남도 창원시 의창구 대산면 진산대로 296, SK 광진주유소","51123","신우에너지(주)","2026-01-23 16:02:41","U","2026-01-25 02:40:00","주유소","355769.307671892","204493.488713009","","",
"10","석유판매업","09_28_08_P","4010000","2017401029601500005","2017-10-20","","01","영업/정상","07","영업개시","","","","","","","","경기도 시흥시 조남동 산 15-10 101동","경기도 시흥시 서울외곽순환고속도로 105-1 (조남동)","","시흥하늘주유소(일산방향)","2026-01-23 10:59:04","U","2026-01-25 02:40:00","주유소","","","","",
