"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","사업자등록번호",
"1","종합여행업","03_12_03_P","3230000","CDFI2260042026000005","2026-01-23","","01","영업/정상","13","영업중","","","","","","","","서울특별시 송파구 가락동 99-3 제일오피스텔","서울특별시 송파구 송파대로 260, 제일오피스텔 비즈액티브 5층 505-20호 (가락동)","05719","퀸투어","2026-01-23 11:11:35","I","2026-01-25 00:20:02","","210431.832858016","443465.4592322","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","4","","0","","","","","","","50000000","","","","4","",
"2","종합여행업","03_12_03_P","4040000","CDFI2260042026000002","2026-01-23","","01","영업/정상","13","영업중","","","","","","","","경기도 하남시 망월동 1083-3 부강타워","경기도 하남시 미사강변중앙로 208, 부강타워 701-E-19호 (망월동)","12913","코어비","2026-01-23 17:06:22","I","2026-01-25 00:20:02","","216686.582807308","451434.941198908","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","",
"3","종합여행업","03_12_03_P","3320000","CDFI2260042026000001","2026-01-23","","01","영업/정상","13","영업중","","","","","051-343-9697","","","부산광역시 북구 만덕동 675-12","부산광역시 북구 만덕1로 84, 2층 (만덕동)","46559","주식회사 로프앤조이","2026-01-23 17:33:24","I","2026-01-25 00:20:02","","384622.066616285","192417.570512897","종합여행업","","","0","","","","근린생활시설","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","","","","0","",
"4","종합여행업","03_12_03_P","3540000","CDFI2260042026000001","2026-01-23","","01","영업/정상","13","영업중","","","","","","","","인천광역시 부평구 청천동 425 부평우림라이온스밸리","인천광역시 부평구 부평대로 283, 부평우림라이온스밸리 A동 B115-14호 (청천동)","21315","케이에스링크","2026-01-23 11:06:20","I","2026-01-25 00:20:02","","175126.717022995","446169.201205367","종합여행업","","일반공업지역","0","","","","","0","0","0","0","","","0","0","","0","0","","0","16.5","","0","","","","","","","500000000","","","","17","",
"5","종합여행업","03_12_03_P","3150000","CDFI2260042026000007","2026-01-23","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강서구 등촌동 849 더리브골드타워 410호","서울특별시 강서구 양천로 400-12, 더리브골드타워 410호 (등촌동)","07573","주식회사 비알에스트레이딩","2026-01-23 09:59:01","I","2026-01-25 00:20:02","","186317.207037672","451462.350090067","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","92","","0","","","","","","","50000000","","","","92","",
"6","종합여행업","03_12_03_P","4291000","CDFI2260042026000002","2026-01-23","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 정선군 고한읍 고한리 62-180","강원특별자치도 정선군 고한읍 고한4길 58-3, 2층","26155","정암 여행사","2026-01-23 11:06:04","I","2026-01-25 00:20:02","","364592.061553172","412606.675129347","종합여행업","","근린상업지역","0","","","","사무실","0","0","0","0","","","0","0","","0","0","","0","33","","0","","","","","","","50000000","","","","33","",
"7","종합여행업","03_12_03_P","3170000","CDFI2260042026000005","2026-01-23","","01","영업/정상","13","영업중","","","","","","","","서울특별시 금천구 가산동 680 우림라이온스밸리2차","서울특별시 금천구 가산디지털1로 2, 우림라이온스밸리2차 1010호 (가산동)","08591","주식회사 동경기획","2026-01-23 17:36:35","I","2026-01-25 00:20:02","","190050.903572929","440523.497478209","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","55000000","","","","0","",
"8","종합여행업","03_12_03_P","3200000","CDFI2260042026000001","2026-01-23","","01","영업/정상","13","영업중","","","","","","","","서울특별시 관악구 봉천동 916-14 IND빌딩","서울특별시 관악구 청룡길 36, IND빌딩 2층 202호 (봉천동)","08785","하정","2026-01-23 11:12:24","I","2026-01-25 00:20:02","","195149.080369385","442009.870645127","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","","","","0","",
"9","종합여행업","03_12_03_P","3050000","CDFI2260042026000002","2026-01-23","","01","영업/정상","13","영업중","","","","","02-732-5671","","","서울특별시 동대문구 신설동 103-2","서울특별시 동대문구 천호대로 10, 광일빌딩 308호 (신설동)","02586","(주)엑스포관광","2026-01-23 15:47:47","I","2026-01-25 00:20:02","","202090.972773264","452491.968718078","종합여행업","","","0","","","","","0","0","0","0","EXPO TOUR Co., Ltd.","General travel business","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","",
"10","종합여행업","03_12_03_P","3240000","CDFI2260042026000002","2026-01-23","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강동구 성내동 469-6 남경빌딩","서울특별시 강동구 강동대로 189, 남경빌딩 비1층 비1-4호 (성내동)","05402","주식회사 파크존","2026-01-23 16:27:16","I","2026-01-25 00:20:02","","211220.340952408","446942.269130178","종합여행업","","","0","","","","","0","0","0","0","PARKZON Co., Ltd","GENERAL TRAVEL BUSINESS","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","",
