"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총직원수",
"1","식육포장처리업","07_22_06_P","3990000","399000010420230016","2023-09-11","","01","영업/정상","0000","정상","","","","","","0","","경기도 남양주시 화도읍 녹촌리 331","경기도 남양주시 화도읍 마치로284번길 120, 1층","12187","비에프 에프앤비","2026-01-23 10:51:25","U","2026-01-25 02:40:00","","225007.139521253","460295.967736404","식육포장처리업","식육포장처리업","0","L00","0",
"2","식육포장처리업","07_22_06_P","4490000","449000010420160008","2016-10-13","","01","영업/정상","0000","정상","","","","","041-584-1414","0","","충청남도 천안시 서북구 입장면 도림리 30","충청남도 천안시 서북구 입장면 성진로 1319","31061","농업회사법인(주)도모","2026-01-23 09:36:04","U","2026-01-25 02:40:00","","224315.614189628","378804.913360907","식육포장처리업","식육포장처리업","0","L00","0",
"3","식육포장처리업","07_22_06_P","6510000","651000010420120002","2012-04-13","","01","영업/정상","0000","정상","","","","","","0","","제주특별자치도 제주시 아라일동 2905","제주특별자치도 제주시 대원북길 18 (아라일동)","63236","(주)고진유통","2026-01-23 23:17:22","U","2026-01-25 02:40:00","","156453.818497739","-2113.32779030065","식육포장처리업","식육포장처리업","0","L00","0",
"4","식육포장처리업","07_22_06_P","3650000","365000010420160007","2016-12-22","","04","취소/말소/만료/정지/중지","0003","행정처분","2025-12-23","","","","","0","","대전광역시 중구 안영동 656-5","대전광역시 중구 성산로 16 (안영동, 대원주택)","35083","육장군 푸드","2026-01-23 10:40:06","U","2026-01-25 02:40:00","","234052.840466001","310125.619326496","식육포장처리업","식육포장처리업","0","000","0",
"5","식육포장처리업","07_22_06_P","3650000","365000010420220003","2022-02-24","","04","취소/말소/만료/정지/중지","0003","행정처분","2026-01-09","","","","","0","","대전광역시 중구 안영동 658-1","대전광역시 중구 성산로 23, 0층 (안영동)","35084","계백축산","2026-01-23 10:39:14","U","2026-01-25 02:40:00","","233978.119781398","310141.573020098","식육포장처리업","식육포장처리업","0","000","0",
"6","식육포장처리업","07_22_06_P","3560000","356000010420240023","2023-11-08","","03","폐업","0002","폐업","2026-01-23","","","","","0","","인천광역시 서구 가좌동 524-8","인천광역시 서구 가재울로 109, 5층 503호 (가좌동)","22830","바르다유통","2026-01-23 18:01:26","U","2026-01-25 02:40:00","","172016.451068214","441650.600278654","식육포장처리업","식육포장처리업","0","000","0",
"7","식육포장처리업","07_22_06_P","3450000","345000000420030005","2003-11-18","","03","폐업","0002","폐업","2026-01-23","","","","053-383-1475","129","","대구광역시 북구 검단동 777-25","대구광역시 북구 검단동로 27-11 (검단동)","41512","(주)가나안식품","2026-01-23 15:47:26","U","2026-01-25 02:40:00","","346545.412645085","269323.133648516","식육포장처리업","식육포장처리업","0","L00","0",
"8","식육포장처리업","07_22_06_P","5590000","559000010420250005","2025-05-28","","01","영업/정상","0000","정상","","","","","","0","","경기도 양주시 고암동 150 1층","경기도 양주시 엄상동길 80, 1층 (고암동)","11457","주식회사 미스터짝갈비","2026-01-23 10:24:38","U","2026-01-25 02:40:00","","206141.936822139","480982.75789519","식육포장처리업","식육포장처리업","0","L00","0",
"9","식육포장처리업","07_22_06_P","3400000","340000010420220009","2022-09-29","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 기장군 일광읍 신평리 8-1","부산광역시 기장군 일광읍 일광로 570, 103호","46040","부산최가네(주)","2026-01-23 13:36:42","U","2026-01-25 02:40:00","","405455.712659449","201621.219370438","식육포장처리업","식육포장처리업","0","L00","0",
"10","식육포장처리업","07_22_06_P","5340000","534000010420180002","2018-10-19","","01","영업/정상","0000","정상","","","","","055-882-5289","0","","경상남도 사천시 곤양면 서정리 993-3 활력냉동냉장","경상남도 사천시 곤양면 곤북로 40, 활력냉동냉장","52504","주식회사 덕이덕이","2026-01-23 11:24:17","U","2026-01-25 02:40:00","","287227.942676963","173361.407645361","식육포장처리업","식육포장처리업","0","L00","0",
"11","식육포장처리업","07_22_06_P","3650000","365000010420250003","2025-02-21","","01","영업/정상","0000","정상","","","","","","0","","대전광역시 중구 문화동 669-1","대전광역시 중구 문화로 112 (문화동)","34992","빛고을푸드","2026-01-23 16:14:11","U","2026-01-25 02:40:00","","235685.324419077","312459.927118958","식육포장처리업","식육포장처리업","0","000","0",
"12","식육포장처리업","07_22_06_P","3630000","363000010420210001","2021-01-28","","01","영업/정상","0000","정상","","","","","","0","","광주광역시 광산구 비아동 673-1","광주광역시 광산구 비아로147번길 8-23 (비아동)","62237","에코푸드","2026-01-23 09:34:50","U","2026-01-25 02:40:00","","183693.448932262","191591.82291685","식육포장처리업","식육포장처리업","0","000","0",
