"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","휴게실면적","사무실면적","탈의실면적","회원모집총인원","세부업종명","법인명",
"1","체력단련장업","10_42_01_P","4060000","CDFH3301062026000002","2026-01-23","","01","영업/정상","13","영업중","","","","","","212.31","","경기도 파주시 법원읍 가야리 327-7","경기도 파주시 법원읍 사임당로 695, 2층","10827","강종근 트레이닝센터","2026-01-23 13:56:55","I","2026-01-25 00:20:02","","187498.4711201","483159.406524368","체력단련장업","사립","","1","0","0","0","0","0","0","","",
"2","체력단련장업","10_42_01_P","5690000","CDFH3301062026000004","2026-01-23","","01","영업/정상","13","영업중","","","","","","188.84","","세종특별자치시 도담동 831","세종특별자치시 다솜1로 113, 지하1층 101호 (도담동)","30098","결 트레이닝짐","2026-01-23 10:39:21","I","2026-01-25 00:20:02","","222973.603028422","334171.441629728","체력단련장업","사립","","1","0","0","0","0","0","0","","",
"3","체력단련장업","10_42_01_P","3910000","CDFH3301062026000007","2026-01-23","","01","영업/정상","13","영업중","","","","","","191.62","","경기도 평택시 고덕면 방축리 667-10","경기도 평택시 고덕면 효학길 102, B동","17822","크로스핏 피닉스 고덕","2026-01-23 13:13:02","I","2026-01-25 00:20:02","","202861.990547666","390373.671751107","체력단련장업","사립","","1","2","189.35","0","0","0","0","","",
"4","체력단련장업","10_42_01_P","6520000","CDFH3301062026000001","2026-01-23","","01","영업/정상","13","영업중","","","","","","","","제주특별자치도 서귀포시 중문동 1884-8","제주특별자치도 서귀포시 대포중앙로 6-8, 3층 (중문동)","63544","리셋 중문점","2026-01-23 13:38:30","I","2026-01-25 00:20:02","","147073.168733957","-27086.5277830889","체력단련장업","사립","","1","0","1216.4","0","254.49","0","0","","",
"5","체력단련장업","10_42_01_P","4721000","CDFH3301062026000001","2023-03-23","","01","영업/정상","13","영업중","","","","","","190.45","","전북특별자치도 완주군 봉동읍 둔산리 896-1","전북특별자치도 완주군 봉동읍 원둔산2길 17, 테마빌딩 302호","55319","디펜스짐(DefenseGym)","2026-01-23 18:05:58","I","2026-01-25 00:20:02","","211194.910997587","273301.562397921","체력단련장업","사립","","1","0","0","0","0","0","0","","",
"6","체력단련장업","10_42_01_P","3230000","CDFH3301062026000002","2026-01-23","","01","영업/정상","13","영업중","","","","","","234.18","","서울특별시 송파구 풍납동 496-1 미고빌딩","서울특별시 송파구 올림픽로 583-1, 2,3층 (풍납동)","05520","여성전문 아라짐 천호 pt&필라테스","2026-01-23 09:13:28","I","2026-01-25 00:20:02","","210662.444155708","447978.607438541","체력단련장업","사립","","0","1","599.18","0","0","0","0","","",
"7","체력단련장업","10_42_01_P","3620000","CDFH3301062026000003","2026-01-23","","01","영업/정상","13","영업중","","","","","","322","","광주광역시 북구 본촌동 2923","광주광역시 북구 본촌택지로29번길 8, 1, 2층 (본촌동)","61020","트레이닝판 본촌","2026-01-23 16:47:41","I","2026-01-25 00:20:02","","188957.321367344","190859.358906613","체력단련장업","사립","","1","0","0","0","0","0","0","","",
"8","체력단련장업","10_42_01_P","3940000","CDFH3301062016000022","2016-10-14","","01","영업/정상","13","영업중","","","","","","499.29","","경기도 고양시 일산동구 중산동 1569-3 고은프라자 6층","경기도 고양시 일산동구 중산로 244, 고은프라자 6층 (중산동)","10331","(주)1986피트니스헬스PT24시 중산점","2026-01-23 10:45:45","U","2026-01-25 02:40:00","","180607.643873876","465731.677828297","체력단련장업","사립","","0","0","0","0","0","0","0","","",
"9","체력단련장업","10_42_01_P","3600000","CDFH3301062024000005","2024-06-28","","01","영업/정상","13","영업중","","","","","","1086.78","","광주광역시 서구 쌍촌동 994-1","광주광역시 서구 상무대로956번길 6, 지하 1, 2층 (쌍촌동)","61993","평생헬스 쌍촌점","2026-01-23 15:48:25","U","2026-01-25 02:40:00","","187729.601313674","183536.594734212","체력단련장업","사립","","2","0","14143.49","0","0","0","0","","",
"10","체력단련장업","10_42_01_P","3540000","CDFH3301062004000006","2004-10-08","","01","영업/정상","13","영업중","","","","","","315.92","","인천광역시 부평구 부개동 139-1 청오빌딩 4층","인천광역시 부평구 부평문화로 164 (부개동, 청오빌딩)","21399","플레인짐","2026-01-23 14:31:05","U","2026-01-25 02:40:00","","176451.135871877","443527.265840191","체력단련장업","사립","","0","0","1978.89","0","0","0","0","","",
