"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","의자수","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","여성종사자수","남성종사자수","침대수","다중이용업소여부",
"1","미용업","05_18_01_P","3250000","3250000-221-2018-00002","2018-03-16","","01","영업/정상","01","영업","","","","","","29.76","600-061","부산광역시 중구 신창동1가 35-4","부산광역시 중구 광복중앙로33번길 11-1, 3층 (신창동1가)","48947","더챠밍","2026-01-23 16:28:31","I","2026-01-25 00:20:02","메이크업업","384995.947999359","179998.596382734","피부미용업, 화장ㆍ분장 미용업","3","0","3","3","0","0","1","","","","","0","0","1","N",
"2","미용업","05_18_01_P","3470000","3470000-212-2024-00051","2024-01-04","","01","영업/정상","01","영업","","","","","","0.00","704-834","대구광역시 달서구 진천동 255-5","대구광역시 달서구 월배로24길 52, 2층 (진천동)","42800","벨레아","2026-01-23 17:30:46","I","2026-01-25 00:20:02","피부미용업","338071.11889518","258022.411500739","피부미용업","2","0","2","2","0","0","2","","","","","0","0","0","N",
"3","미용업","05_18_01_P","3460000","3460000-218-2026-00001","2026-01-23","","01","영업/정상","01","영업","","","","","","0.00","706-837","대구광역시 수성구 중동 23-3 1층","대구광역시 수성구 수성로52안길 11, 1층 (중동)","42133","노블랑","2026-01-23 11:58:17","I","2026-01-25 00:20:02","피부미용업","345881.380985856","262291.344804959","피부미용업, 네일미용업","0","0","0","0","0","0","0","","","","","0","0","0","N",
"4","미용업","05_18_01_P","3480000","3480000-212-2026-00002","2026-01-23","","01","영업/정상","01","영업","","","","","","0.00","","대구광역시 달성군 옥포읍 교항리 2919","대구광역시 달성군 옥포읍 돌미상업로 9, 401호","42974","귀빈","2026-01-23 16:18:09","I","2026-01-25 00:20:02","피부미용업","330283.226862912","254512.172379155","피부미용업","0","0","0","0","0","0","0","","","","","0","0","0","N",
"5","미용업","05_18_01_P","4080000","4080000-215-2026-00001","2026-01-23","","01","영업/정상","01","영업","","","","","","38.86","456-260","경기도 안성시 옥산동 591 302호","경기도 안성시 아양1로 73, 302호 (옥산동)","17577","오라네일","2026-01-23 16:36:04","I","2026-01-25 00:20:02","네일아트업","222932.895631286","389650.982927548","네일미용업","9","3","3","0","0","0","3","","","","","0","0","0","N",
"6","미용업","05_18_01_P","3230000","3230000-212-2026-00002","2026-01-23","","01","영업/정상","01","영업","","","","","","21.62","138-915","서울특별시 송파구 잠실동 35-2 트리지움","서울특별시 송파구 석촌호수로 61, 트리지움상가 2층 231호 (잠실동)","05555","피비 FIVY","2026-01-23 14:58:54","I","2026-01-25 00:20:02","피부미용업","207553.918225133","445383.338011122","피부미용업","0","0","0","0","0","0","2","","","","","0","0","2","N",
"7","미용업","05_18_01_P","3220000","3220000-215-2026-00004","2026-01-23","","01","영업/정상","01","영업","","","","","","21.04","135-951","서울특별시 강남구 청담동 39-11","서울특별시 강남구 학동로55길 12-7, 지상1층 102호 (청담동)","06065","플디아네일","2026-01-23 16:15:57","I","2026-01-25 00:20:02","네일아트업","203636.460791329","446289.116060426","네일미용업","0","0","0","0","0","0","2","","","","","0","0","0","N",
"8","미용업","05_18_01_P","4050000","5640000-215-2026-00001","2026-01-23","","01","영업/정상","01","영업","","","","","","8.91","448-170","경기도 용인시 수지구 풍덕천동 1065-2 용인수지 신정마을1단지","경기도 용인시 수지구 풍덕천로 89, 용인수지 신정마을1단지 가상가동 1층 104호 일부호 (풍덕천동)","16836","벨리티","2026-01-23 10:06:32","I","2026-01-25 00:20:02","네일아트업","208084.489387121","424373.164785491","네일미용업","0","0","1","1","0","0","1","","","","","0","0","0","N",
"9","미용업","05_18_01_P","5710000","5730000-213-2026-00003","2026-01-22","","01","영업/정상","01","영업","","","","","","27.00","361-819","충청북도 청주시 흥덕구 봉명동 1773","충청북도 청주시 흥덕구 과상미로9번길 12, 1층 일부호 (봉명동)","28452","지지뷰티(Zee Zee Beauty)","2026-01-23 14:37:18","I","2026-01-25 00:20:02","네일아트업","241151.324877039","349271.367536279","종합미용업","0","0","0","0","0","0","4","","","","","0","0","2","N",
"10","미용업","05_18_01_P","3740000","3750000-211-2026-00003","2026-01-23","","01","영업/정상","01","영업","","","","","","187.10","440-825","경기도 수원시 장안구 율전동 291-4","경기도 수원시 장안구 서부로 2125, 3층 일부호 (율전동)","16360","디모어헤어 수원성대점","2026-01-23 13:42:53","I","2026-01-25 00:20:02","일반미용업","197364.230680357","421823.088206744","일반미용업","4","1","3","3","0","0","12","","","","임대","0","0","0","N",
"11","미용업","05_18_01_P","3740000","3770000-211-2026-00006","2026-01-23","","01","영업/정상","01","영업","","","","","","0.00","442-120","경기도 수원시 팔달구 중동 14","경기도 수원시 팔달구 향교로 154, 1층 102호 (중동)","16263","브이8(V8)헤어","2026-01-23 11:31:37","I","2026-01-25 00:20:02","일반미용업","201331.227983387","419108.091112478","일반미용업","0","0","1","1","0","0","3","","","","","0","0","0","N",
"12","미용업","05_18_01_P","3240000","3240000-218-2019-00007","2019-04-04","","01","영업/정상","01","영업","","","","","","11.12","463-864","경기도 성남시 분당구 수내동 63-2 동신코아빌딩","경기도 성남시 분당구 돌마로 361, 동신코아빌딩 1층 일부(17호)호 (수내동)","13599","연두","2026-01-23 13:23:40","I","2026-01-25 00:20:02","네일아트업","210818.818495558","429844.390589942","피부미용업, 네일미용업","0","0","0","0","0","0","2","","","","","0","0","1","N",
"13","미용업","05_18_01_P","3910000","3910000-212-2026-00003","2026-01-23","","01","영업/정상","01","영업","","","","","","36.00","451-801","경기도 평택시 팽성읍 객사리 134-4","경기도 평택시 팽성읍 동서촌로 72, 1층 일부호","17989","다온뷰티샾","2026-01-23 16:11:26","I","2026-01-25 00:20:02","피부미용업","205272.657632092","384771.065447189","피부미용업","0","0","1","1","0","0","0","","","","임대","0","0","2","N",
"14","미용업","05_18_01_P","3600000","3600000-211-2026-00001","2026-01-23","","01","영업/정상","01","영업","","","","","","68.46","502-856","광주광역시 서구 쌍촌동 870-4 101동 101호(일부)","광주광역시 서구 마륵복개로 155, 101동 1층 101호 (쌍촌동)","61998","이에오","2026-01-23 14:59:38","I","2026-01-25 00:20:02","일반미용업","186618.717927528","183112.101188819","일반미용업","1","0","0","0","0","0","2","","","","","0","0","0","N",
"15","미용업","05_18_01_P","3830000","3850000-211-2026-00004","2026-01-23","","01","영업/정상","01","영업","","","","","","0.00","431-837","경기도 안양시 동안구 호계동 928-6 평촌트리지아아파트 1단지상가","경기도 안양시 동안구 귀인로 90, 평촌트리지아아파트 1단지상가 2층 1026호 (호계동)","14081","가빈,헤어","2026-01-23 15:44:51","I","2026-01-25 00:20:02","일반미용업","195497.968021258","431087.928079341","일반미용업","0","0","0","0","0","0","0","","","","","0","0","0","N",
"16","미용업","05_18_01_P","4840000","4840000-215-2026-00003","2026-01-23","","01","영업/정상","01","영업","","","","","","30.56","545-803","전라남도 광양시 광양읍 목성리 921 4층중 1층일부","전라남도 광양시 광양읍 신재로 46, 4층중 1층일부","57744","오소네일(osonail)","2026-01-23 09:15:27","I","2026-01-25 00:20:02","네일아트업","253725.900945571","164209.003201927","네일미용업","4","0","1","1","0","0","6","","","","","0","0","0","N",
"17","미용업","05_18_01_P","3060000","3060000-215-2026-00001","2026-01-23","","01","영업/정상","01","영업","","","","","","46.48","131-230","서울특별시 중랑구 망우동 584 신내역 프라디움 더 테라스","서울특별시 중랑구 용마산로 670, 판매시설동 2층 제 씨204호 (망우동, 신내역 프라디움 더 테라스)","02057","아오테 네일","2026-01-23 13:21:32","I","2026-01-25 00:20:02","네일아트업","208947.072330515","456501.735079654","네일미용업","0","0","2","0","0","0","6","","","","","0","0","0","N",
"18","미용업","05_18_01_P","3150000","3150000-212-2026-00005","2026-01-23","","01","영업/정상","01","영업","","","","","","18.11","157-897","서울특별시 강서구 화곡동 780-3 진흥펠리스","서울특별시 강서구 등촌로3길 16, 진흥펠리스 2층 203호 (화곡동)","07785","미빚다","2026-01-23 16:48:57","I","2026-01-25 00:20:02","피부미용업","187800.910638243","447707.530022121","피부미용업","0","0","0","0","0","0","1","","","","","0","0","1","N",
"19","미용업","05_18_01_P","3150000","3150000-212-2026-00006","2026-01-23","","01","영업/정상","01","영업","","","","","","4.10","157-210","서울특별시 강서구 마곡동 794-1 우성에스비타워","서울특별시 강서구 강서로 385, 우성에스비타워 6층 610호 (마곡동)","07803","레브로 왁싱 발산점","2026-01-23 16:39:14","I","2026-01-25 00:20:02","피부미용업","185642.667278438","450883.006755308","피부미용업","0","0","0","0","0","0","3","","","","","0","0","3","N",
"20","미용업","05_18_01_P","5130000","5130000-211-2026-00005","2026-01-23","","01","영업/정상","01","영업","","","","","","0.00","712-110","경상북도 경산시 정평동 181-11","경상북도 경산시 성동로 32-5 (정평동)","38652","하루아르","2026-01-23 10:52:33","I","2026-01-25 00:20:02","일반미용업","","","일반미용업","1","0","1","1","0","0","7","","","","임대","0","0","0","N",
