"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","여성종사자수","남성종사자수","다중이용업소여부",
"1","건물위생관리업","09_30_04_P","4281000","4281000-206-2026-00001","2026-01-23","","01","영업/정상","01","영업","","","","","033 333 0045","129.71","","강원특별자치도 평창군 평창읍 대상리 19","강원특별자치도 평창군 평창읍 평창강로 454-36","25379","새봄 클린업","2026-01-23 17:16:54","I","2026-01-25 00:20:02","건물위생관리업","319271.564155026","426189.740643641","건물위생관리업","1","0","0","0","0","0","","","","","0","0","N",
"2","건물위생관리업","09_30_04_P","3990000","3990000-206-2026-00002","2026-01-23","","01","영업/정상","01","영업","","","","","","12.72","472-501","경기도 남양주시 별내동 816 블루오션별내 주건축물제1동 219호 일부","경기도 남양주시 별내3로 402, 블루오션별내 주건축물제1동 219호 일부 (별내동)","12097","다한파트너스","2026-01-23 14:13:53","I","2026-01-25 00:20:02","건물위생관리업","210100.438606252","463291.63597326","건물위생관리업","0","0","2","0","0","0","","","","임대","0","0","N",
"3","건물위생관리업","09_30_04_P","4490000","5650000-206-2026-00001","2026-01-23","","01","영업/정상","01","영업","","","","","","377.43","330-871","충청남도 천안시 동남구 동면 화계리 252-4 1동 1층","충청남도 천안시 동남구 동면 충절로 2058, 1동 1층","31258","주식회사이서종합개발","2026-01-23 15:16:23","I","2026-01-25 00:20:02","건물위생관리업","229579.488390853","363048.965507062","건물위생관리업","0","0","1","1","0","0","","","","","0","0","N",
"4","건물위생관리업","09_30_04_P","3940000","3950000-206-2026-00002","2026-01-23","","01","영업/정상","01","영업","","","","","","18.98","412-220","경기도 고양시 덕양구 행신동 757-1 남정씨티프라자 204(일부)호","경기도 고양시 덕양구 충경로 52, 남정씨티프라자 204(일부)호 (행신동)","10526","주식회사 한결종합관리","2026-01-23 16:45:06","I","2026-01-25 00:20:02","건물위생관리업","185394.256788058","456999.530003953","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
"5","건물위생관리업","09_30_04_P","5690000","5690000-206-2026-00002","2026-01-23","","01","영업/정상","01","영업","","","","","070 41462433","3.60","339-008","세종특별자치시 보람동 759 강남제일타워","세종특별자치시 남세종로 454, 강남제일타워 8층 802-B816호 (보람동)","30150","주식회사 나란","2026-01-23 14:20:24","I","2026-01-25 00:20:02","건물위생관리업","225890.448392882","330733.456722094","건물위생관리업","0","0","8","8","0","0","","","","임대","0","0","N",
"6","건물위생관리업","09_30_04_P","6520000","6520000-206-2026-00001","2026-01-23","","01","영업/정상","01","영업","","","","","","45.70","699-915","제주특별자치도 서귀포시 표선면 표선리 1019-8 동림빌","제주특별자치도 서귀포시 표선면 표선동서로 200-4, 1층 (동림빌)","63629","청선","2026-01-23 10:49:54","I","2026-01-25 00:20:02","건물위생관리업","184199.955723115","-19378.6014904573","건물위생관리업","1","0","1","1","0","0","","","","임대","0","0","N",
"7","건물위생관리업","09_30_04_P","3930000","3930000-206-2026-00003","2026-01-23","","01","영업/정상","01","영업","","","","","070 77056390","39.60","425-838","경기도 안산시 단원구 신길동 1403-11","경기도 안산시 단원구 신길중앙로 12-1, 1층 일부 (신길동)","15398","청정솔루션","2026-01-23 13:30:14","I","2026-01-25 00:20:02","건물위생관리업","178850.101683417","426187.206265117","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
"8","건물위생관리업","09_30_04_P","3930000","3930000-206-2026-00004","2026-01-23","","01","영업/정상","01","영업","","","","","","19.38","426-855","경기도 안산시 상록구 월피동 508-9 109호","경기도 안산시 상록구 광덕산2로 18, 109호 (월피동)","15258","케이원","2026-01-23 14:13:01","I","2026-01-25 00:20:02","건물위생관리업","186194.795","425949.915","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
"9","건물위생관리업","09_30_04_P","3780000","3800000-206-2026-00002","2026-01-23","","01","영업/정상","01","영업","","","","","","0.00","462-827","경기도 성남시 중원구 성남동 3188 원진빌딩 일부(A389)호","경기도 성남시 중원구 산성대로 106, 원진빌딩 3층 일부(A389)호 (성남동)","13355","인정ENG","2026-01-23 14:41:51","I","2026-01-25 00:20:02","건물위생관리업","211524.145698296","436835.407341909","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
"10","건물위생관리업","09_30_04_P","5670000","5670156-206-2026-00001","2026-01-23","","01","영업/정상","01","영업","","","","","","149.23","631-441","경상남도 창원시 마산합포구 신포동1가 64-3 준빌딩","경상남도 창원시 마산합포구 해안대로 297, 준빌딩 2층 (신포동1가)","51719","한마음 클린","2026-01-23 16:06:58","I","2026-01-25 00:20:02","건물위생관리업","343238.818875555","190074.332748335","건물위생관리업","0","0","2","2","0","0","","","","","0","0","N",
