"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","일반야영장업","03_11_07_P","4580000","CDFI2262132015000005","2015-05-07","","01","영업/정상","13","영업중","","","","","","","","충청남도 서천군 장항읍 송림리 758-1","충청남도 서천군 장항읍 장항산단로34번길 48-44","33661","솔바람 캠핑장","2026-01-23 10:18:23","I","2026-01-25 00:20:02","","169739.01315848","280465.295764095","일반야영장업","","자연녹지지역","0","기타","","","","0","0","0","0","","","0","0","","0","0","","0","2428","","0","","","","","","","0","","","","2428",
"2","일반야영장업","03_11_07_P","4261000","CDFI2262132021000004","2021-11-09","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 횡성군 청일면 갑천리 240","강원특별자치도 횡성군 청일면 봉덕로299번길 65","25256","자연과힐링","2026-01-23 09:21:20","U","2026-01-25 02:40:00","","304486.219557056","453235.567282201","일반야영장업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","60.15","","0","","","","","","","3000000000","","","","60",
"3","일반야영장업","03_11_07_P","4701000","CDFI2262132026000001","2026-01-09","","01","영업/정상","13","영업중","","","","","","","","전북특별자치도 남원시 산동면 대기리 404-2","전북특별자치도 남원시 산동면 요천상로 594","55709","고소바위 게으른 캠핑장","2026-01-23 11:28:53","U","2026-01-25 02:40:00","","244076.337116517","221114.085438559","일반야영장업","","관리지역","0","기타","","","환경위생시설","0","0","13","0","","","0","0","","0","0","","0","101.04","","0","","","","","","","10000000","","","","101",
"4","일반야영장업","03_11_07_P","5070000","CDFI2262132020000001","2020-05-12","","01","영업/정상","13","영업중","","","","","","","","경상북도 안동시 길안면 대사리 702","경상북도 안동시 길안면 대사로 270","36736","선라이즈글램핑","2026-01-23 11:40:55","U","2026-01-25 02:40:00","","374639.342919252","321367.690487441","일반야영장업","","관리지역","0","","","삼성화재","","0","0","0","128","","","0","0","","0","0","","0","2961","","0","","","","","","","0","","","","2961",
"5","일반야영장업","03_11_07_P","4170000","CDFI2262132025000009","2025-11-13","","02","휴업","02","휴업","","2026-01-01","2026-03-31","","","","","경기도 양평군 옥천면 신복리 191-12","경기도 양평군 옥천면 마유산로 869-9","12505","무니 캠핑장","2026-01-23 13:11:22","U","2026-01-25 02:40:00","","240780.184066563","450594.802103868","일반야영장업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"6","일반야영장업","03_11_07_P","4470000","CDFI2262132025000004","2025-10-30","","01","영업/정상","13","영업중","","","","","","","","충청북도 음성군 원남면 주봉리 26-1","충청북도 음성군 원남면 원소로 187","27725","The Shuim","2026-01-23 15:41:33","U","2026-01-25 02:40:00","","260544.122074251","375198.571302693","일반야영장업","","","0","","","","","0","0","0","48","","","0","0","","0","0","","0","0","","0","","","","","","","100000000","","","","0",
"7","일반야영장업","03_11_07_P","5310000","CDFI2262132024000002","2024-01-17","","01","영업/정상","13","영업중","","","","","","","","경상남도 진주시 명석면 용산리 738","경상남도 진주시 명석면 진주대로1918번길 35-29","52640","가는골그린캠핑","2026-01-23 14:32:34","U","2026-01-25 02:40:00","","291825.010681032","193286.539183584","일반야영장업","","보전녹지지역","1","","","현대해상","","0","0","0","0","","","0","0","","0","0","","0","98.82","","0","","","","","","","70000000","","","","99",
"8","일반야영장업","03_11_07_P","4470000","CDFI2262132025000003","2025-08-14","","01","영업/정상","13","영업중","","","","","","","","충청북도 음성군 음성읍 동음리 385-2","충청북도 음성군 음성읍 동음로 319","27686","소노글램핑","2026-01-23 15:41:52","U","2026-01-25 02:40:00","","254807.225272367","381422.299932658","일반야영장업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","180","","0","","","","","","","0","","","","180",
"9","일반야영장업","03_11_07_P","4701000","CDFI2262132015000006","2015-12-01","","01","영업/정상","13","영업중","","","","","","","","전북특별자치도 남원시 산내면 백일리 121","전북특별자치도 남원시 산내면 천왕봉로 892","55804","지리산 산내들 야영장","2026-01-23 14:34:29","U","2026-01-25 02:40:00","","258449.745940837","212689.424514595","일반야영장업","","관리지역","0","기타","","흥국화재해상보험주식회사","기타","0","0","0","0","","","0","0","","0","0","","0","1920","","0","","","","","","","0","","","","1920",
"10","일반야영장업","03_11_07_P","5120000","CDFI2262132015000003","2015-06-11","","01","영업/정상","13","영업중","","","","","","","745-873","경상북도 문경시 농암면 율수리 318-4","경상북도 문경시 농암면 청화로 886-128","37002","숲이조아캠핑장","2026-01-23 17:56:40","U","2026-01-25 02:40:00","","288537.93220596","340960.769567889","일반야영장업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"11","일반야영장업","03_11_07_P","5050000","CDFI2262132018000002","2018-05-18","","01","영업/정상","13","영업중","","","","","","","","경상북도 경주시 천북면 물천리 624-1","경상북도 경주시 천북면 물천안길 31","38038","경주생태원캠핑장","2026-01-23 13:01:37","U","2026-01-25 02:40:00","","406040.415796975","265597.753224096","일반야영장업","","","0","","","","","0","0","0","877","","","0","0","","0","0","","0","9550","","0","","","","","","","0","","","","9550",
