"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","테마파크업(기타)","03_07_08_P","4040000","CDFI5272002018000005","2018-11-13","","04","취소/말소/만료/정지/중지","35","직권말소","2026-01-23","","","","","","","경기도 하남시 덕풍동 744 케이엔몰","경기도 하남시 덕풍동로 111-21, 케이엔몰 901~903호 (덕풍동)","12927","헬로방방 하남풍산점","2026-01-23 17:05:35","U","2026-01-25 02:40:00","","218281.159611217","449964.900329853","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","3","","","","","","","0","","","","0",
"2","테마파크업(기타)","03_07_08_P","5310000","CDFI5272002019000001","2019-01-11","","01","영업/정상","13","영업중","","","","","","","","경상남도 진주시 평거동 908","경상남도 진주시 새평거로 129, 3층 (평거동)","52703","펀스펀스","2026-01-23 13:16:04","U","2026-01-25 02:40:00","","296599.003745337","186270.617444201","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","329","","0","","","","","","","0","","","","329",
"3","테마파크업(기타)","03_07_08_P","4080000","CDFI5272002023000001","2023-08-23","","03","폐업","03","폐업","2025-12-31","","","","070-4640-3338","","","경기도 안성시 공도읍 진사리 354 스타필드 안성","경기도 안성시 공도읍 서동대로 3930-39, 스타필드 안성 3155호","17563","스몹 안성","2026-01-23 13:33:39","U","2026-01-25 02:40:00","","213062.918998049","388093.036705258","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","1","","","","","","","0","","","","0",
"4","테마파크업(기타)","03_07_08_P","5070000","CDFI5272002018000001","2018-03-22","","01","영업/정상","13","영업중","","","","","054-850-4595","","","경상북도 안동시 남후면 단호리 76-3 단호샌드파크캠핑장","경상북도 안동시 남후면 풍산단호로 835-35, 단호샌드파크캠핑장","36754","단호샌드파크캠핑장 트램펄린","2026-01-23 11:42:42","U","2026-01-25 02:40:00","","345892.579405211","340644.145800061","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"5","테마파크업(기타)","03_07_08_P","5080000","CDFI5272002017000007","2017-12-06","","01","영업/정상","13","영업중","","","","","054-604-4646","","","경상북도 구미시 봉곡동 36","경상북도 구미시 야은로 296, B1층 (봉곡동)","39214","헬로쁘띠","2026-01-23 09:19:46","U","2026-01-25 02:40:00","","318307.638698986","293880.281952277","신고테마파크업","","","0","기타","","","","0","1","0","0","","","0","0","","0","0","","0","0","트램폴린 1대, 미니라이더 4대(그외에는 어린이안전놀이기구 등록됨)","0","","","","","","","0","","","","0",
"6","테마파크업(기타)","03_07_08_P","6510000","CDFI5272002015000006","2015-10-21","","01","영업/정상","13","영업중","","","","","064-722-7942","","","제주특별자치도 제주시 노형동 1046-16","제주특별자치도 제주시 남녕로 53, 5층 (노형동, 런던빌딩)","63096","노리파크노형점","2026-01-23 17:55:42","U","2026-01-25 02:40:00","","151521.4317831","-380.570033045907","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","붕붕뜀틀 1종 2대","0","","","","","","","0","","","","0",
"7","테마파크업(기타)","03_07_08_P","4261000","CDFI5272002022000001","2022-01-06","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 횡성군 청일면 갑천리 240","강원특별자치도 횡성군 청일면 봉덕로299번길 65, 3층","25256","자연과힐링","2026-01-23 09:21:50","U","2026-01-25 02:40:00","","304486.219557056","453235.567282201","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","1","","","","","","","0","","","","0",
"8","테마파크업(기타)","03_07_08_P","5670000","CDFI5272002016000017","2016-10-07","","01","영업/정상","13","영업중","","","","","","","","경상남도 창원시 마산합포구 해운동 5-95 1층 105호","경상남도 창원시 마산합포구 월영동2길 16, 1층 105호 (해운동, 해운프라자)","51751","잡아잡아","2026-01-23 13:32:11","U","2026-01-25 02:40:00","","341966.844405245","187792.53865523","신고테마파크업","","상업지역","7","기타","","","근린생활시설","6","1","0","0","","","0","0","","0","0","","0","74.12","","0","","","","","","","0","","","","74",
"9","테마파크업(기타)","03_07_08_P","5670000","CDFI5272002020000006","2020-10-27","","01","영업/정상","13","영업중","","","","","","","","경상남도 창원시 성산구 중앙동 91 창원이마트","경상남도 창원시 성산구 원이대로 608, 창원이마트 2층 (중앙동)","51515","주식회사 케이커머스","2026-01-23 15:18:47","U","2026-01-25 02:40:00","","352870.655048828","193192.657445858","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"10","테마파크업(기타)","03_07_08_P","6510000","CDFI5272002024000001","2024-04-03","","01","영업/정상","13","영업중","","","","","064-799-7007","","","제주특별자치도 제주시 애월읍 봉성리 산 35","제주특별자치도 제주시 애월읍 월각로 929","63039","아르떼키즈파크 제주","2026-01-23 08:16:08","U","2026-01-25 02:40:00","","140177.444412367","-15534.1190140751","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"11","테마파크업(기타)","03_07_08_P","5670000","CDFI5272002021000002","2021-10-20","","01","영업/정상","13","영업중","","","","","","","","경상남도 창원시 성산구 상남동 79 롯데백화점 3층","경상남도 창원시 성산구 중앙대로 124, 롯데백화점 3층 (상남동)","51494","게임파크(GAME PARK)","2026-01-23 15:17:46","U","2026-01-25 02:40:00","","353052.944834244","192993.337825028","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","1","","","","","","","0","","","","0",
"12","테마파크업(기타)","03_07_08_P","5070000","CDFI5272002023000001","2023-02-24","","03","폐업","03","폐업","2026-01-22","","","","054-859-5988","","","경상북도 안동시 성곡동 1548 온뜨레피움","경상북도 안동시 관광단지로 346-95, 온뜨레피움 (성곡동)","36710","주토피움","2026-01-23 08:47:33","U","2026-01-25 02:40:00","","359356.977810883","342039.424025572","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"13","테마파크업(기타)","03_07_08_P","3660000","CDFI5272002025000003","2025-09-25","","01","영업/정상","13","영업중","","","","","042-867-1600","","","대전광역시 서구 관저동 1106","대전광역시 서구 관저중로 70, 3층 (관저동)","35382","라라키즈클럽","2026-01-23 15:42:25","U","2026-01-25 02:40:00","","230044.058965557","310874.215538092","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"14","테마파크업(기타)","03_07_08_P","3200000","CDFI5272002017000002","2017-11-03","","01","영업/정상","13","영업중","","","","","02-877-1136","","","서울특별시 관악구 봉천동 1706 봉천우성아파트상가동 502호","서울특별시 관악구 관악로30길 12, 502호 (봉천동, 봉천우성아파트상가동)","08735","쁘띠몽드 관악점","2026-01-23 15:12:28","U","2026-01-25 02:40:00","","196350.708293561","442532.440501316","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","233.73","","1","","","","","","","0","","","","234",
"15","테마파크업(기타)","03_07_08_P","4671000","CDFI5272002023000002","2023-03-24","","01","영업/정상","13","영업중","","","","","","","","전북특별자치도 군산시 나운동 98-9","전북특별자치도 군산시 나운2길 50, 씨티원빌딩 2층 203,204호 (나운동)","54140","게임메카2씨티원","2026-01-23 09:14:45","U","2026-01-25 02:40:00","","173270.509634367","273817.380300447","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"16","테마파크업(기타)","03_07_08_P","4671000","CDFI5272002023000003","2023-03-24","","01","영업/정상","13","영업중","","","","","","","","전북특별자치도 군산시 나운동 98-9","전북특별자치도 군산시 나운2길 50, 씨티원빌딩 109~111호 (나운동)","54140","게임메카씨티원","2026-01-23 09:13:11","U","2026-01-25 02:40:00","","173270.509634367","273817.380300447","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"17","테마파크업(기타)","03_07_08_P","5080000","CDFI5272002025000002","2025-05-01","","01","영업/정상","13","영업중","","","","","","","","경상북도 구미시 도량동 394","경상북도 구미시 송선로 514 (도량동)","39215","몽돌키즈랜드","2026-01-23 11:20:47","U","2026-01-25 02:40:00","","318977.425021286","293257.386864542","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","3","","","","","","","0","","","","0",
"18","테마파크업(기타)","03_07_08_P","4400000","CDFI5272002000000002","2000-11-21","","01","영업/정상","13","영업중","","","","","640-7000","","390-832","충청북도 제천시 청풍면 교리 산 10-21","충청북도 제천시 청풍면 청풍호로 1798","27215","청풍리조트 퍼팅골프장","2026-01-23 11:39:53","U","2026-01-25 02:40:00","","304722.530337466","391207.333776874","신고테마파크업","테마파크업","","","","","","","","","","","","","","","","","","","","","","","N","N","N","N","","","","","","","",
