"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","자산규모","부채총액","자본금","판매방식명",
"1","방문판매업","08_26_02_P","3050000","2026305021023200001","2026-01-22","","01","영업/정상","01","정상영업","","","","","","","","서울특별시 동대문구 장안동 ***-**","서울특별시 동대문구 사가정로 ***, 지하*층 (장안동)","02525","가온헬스케어","2026-01-23 09:30:38","I","2026-01-25 00:20:02","","206032.980363363","452910.097769573","0","0","0","",
"2","방문판매업","08_26_02_P","4050000","2026563001823200002","2021-03-29","","01","영업/정상","01","정상영업","","","","","","","","경기도 용인시 기흥구 상하동 *** 수원동마을 쌍용아파트 ***동 ***호","경기도 용인시 기흥구 중부대로***번길 **, ***동 ***호 (상하동, 수원동마을 쌍용아파트)","17077","알로에판매원","2026-01-23 11:55:09","I","2026-01-25 00:20:02","","212249.461298354","417253.470041653","0","0","0","",
"3","방문판매업","08_26_02_P","5180000","2026518011423200001","2016-06-03","","01","영업/정상","01","정상영업","","","","","","","","경상북도 영덕군 강구면 오포리 ***-*","경상북도 영덕군 강구면 동해대로 ****, *층","36458","그린","2026-01-23 10:26:38","I","2026-01-25 00:20:02","","413484.467282375","320130.252289163","0","0","0","",
"4","방문판매업","08_26_02_P","4880000","2026488017323200001","2026-01-23","","01","영업/정상","01","정상영업","","","","","","","","전라남도 고흥군 대서면 화산리 ****","전라남도 고흥군 대서면 동서로 ***","59507","주식회사 와이엠정보통신","2026-01-23 14:06:18","I","2026-01-25 00:20:02","","226038.753213976","141522.608491457","0","0","0","",
"5","방문판매업","08_26_02_P","3390000","2026339010923200002","2026-01-20","","01","영업/정상","01","정상영업","","","","","","","","부산광역시 사상구 괘법동 ***-** 장원빌딩","부산광역시 사상구 운산로 **, 장원빌딩 *층 (괘법동)","46963","현대덕포판매대리점","2026-01-23 11:34:20","I","2026-01-25 00:20:02","","380463.469887899","187201.309686978","0","0","0","",
"6","방문판매업","08_26_02_P","5460000","2026546011623200001","2026-01-22","","01","영업/정상","01","정상영업","","","","","055-962-7224","","","경상남도 함양군 지곡면 창평리 ***-**","경상남도 함양군 지곡면 지곡창촌길 *","50018","지곡농업협동조합","2026-01-23 09:31:39","I","2026-01-25 00:20:02","","270192.997878873","229808.462226573","138222567000","127408382000","10814185500","",
"7","방문판매업","08_26_02_P","4231000","2026423109523200001","2026-01-23","","01","영업/정상","01","정상영업","","","","","","","","강원특별자치도 속초시 교동 ***-* 명진빌딩","강원특별자치도 속초시 동해대로 ****-*, 명진빌딩 ***호 (교동)","24862","애터미 속초이루미센터","2026-01-23 16:07:08","I","2026-01-25 00:20:02","","337314.919791261","523289.104154765","0","0","0","",
"8","방문판매업","08_26_02_P","3620000","2026362026123200002","2026-01-23","","01","영업/정상","01","정상영업","","","","","062-575-3471","","","광주광역시 북구 양산동 ***","광주광역시 북구 연양로***번길 **-* (양산동)","61072","(주)엘에이치엔지니어링","2026-01-23 15:40:19","I","2026-01-25 00:20:02","","189036.736908313","190041.104758794","3600000000","1859000060","400000000","",
"9","방문판매업","08_26_02_P","4050000","2016563001823200005","2016-02-29","","03","폐업","03","폐업처리","2026-01-23","","","","","","","경기도 용인시 기흥구 구갈동 ***-* 기흥역 센트럴 푸르지오","경기도 용인시 기흥구 기흥역로**번길 **, ***동 ****호 (구갈동, 기흥역 센트럴 푸르지오)","17066","통교육공부알","2026-01-23 20:42:03","U","2026-01-25 02:40:00","","210564.068181039","419044.869002003","0","0","0","",
"10","방문판매업","08_26_02_P","3530000","2023353017923200012","2023-06-29","","03","폐업","03","폐업처리","2026-01-26","","","","","","","","인천광역시 남동구 장승남로**번길 **-*, *층 (만수동)","21593","오아시스통신","2026-01-23 16:53:17","U","2026-01-25 02:40:00","","176945.984516558","438063.418407152","0","0","0","",
