"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명","기타내역2",
"1","인터넷컴퓨터게임시설제공업","03_05_05_P","4520000","CDFF2241022026000005","2026-01-23","","01","영업/정상","13","영업중","","","","","","","","충청남도 아산시 음봉면 산동리 431-10 태화상가 101호","충청남도 아산시 음봉면 음봉로 844, 행복한순복음교회","31458","성인PC","2026-01-23 13:18:37","I","2026-01-25 00:20:02","","208786.615872631","369459.137604717","인터넷컴퓨터게임시설제공업","유통관련업","0","","","59.38","0","0","","0","0","0","0","","","","","","","","","","","","0","","청소년이용불가","","","","","성인pc방",
"2","인터넷컴퓨터게임시설제공업","03_05_05_P","4010000","CDFF2241022026000003","2026-01-23","","01","영업/정상","13","영업중","","","","","","","","경기도 시흥시 정왕동 1736-1 중앙빌딩 105호","경기도 시흥시 중심상가2길 8, 중앙빌딩 105호 (정왕동)","15066","와라PC","2026-01-23 10:32:51","I","2026-01-25 00:20:02","","176556.418112912","427106.391922235","인터넷컴퓨터게임시설제공업","유통관련업","0","","성인PC방","26.61","0","0","","0","0","0","0","","","","","","","","","","","","7","","청소년이용불가","","","","","",
"3","인터넷컴퓨터게임시설제공업","03_05_05_P","4520000","CDFF2241022026000004","2026-01-23","","01","영업/정상","13","영업중","","","","","","","","충청남도 아산시 배방읍 장재리 1729 천안아산 미소지움","충청남도 아산시 배방읍 희망로46번길 11-9, 천안아산 미소지움 121호","31470","테크노PC","2026-01-23 13:17:50","I","2026-01-25 00:20:02","","209159.812308255","365315.05595789","인터넷컴퓨터게임시설제공업","유통관련업","0","","","35.25","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","","성인pc방",
"4","인터넷컴퓨터게임시설제공업","03_05_05_P","3080000","CDFF2241022026000002","2026-01-23","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강북구 수유동 319-7","서울특별시 강북구 삼양로 473, 1층 (수유동)","01029","럭키PC방","2026-01-23 09:15:58","I","2026-01-25 00:20:02","","201278.543442131","460344.541653359","인터넷컴퓨터게임시설제공업","유통관련업","0","","","27.25","0","0","","0","0","0","0","","","","","","","","","","","","6","","","","","","","",
"5","인터넷컴퓨터게임시설제공업","03_05_05_P","3910000","CDFF2241022026000011","2026-01-23","","01","영업/정상","13","영업중","","","","","","","","경기도 평택시 서정동 335-19","경기도 평택시 서정역로25번길 19, 1층 (서정동)","17783","하이원PC","2026-01-23 17:46:19","I","2026-01-25 00:20:02","","204780.322832259","394968.695724554","인터넷컴퓨터게임시설제공업","유통관련업","0","","","77.3","0","0","","0","0","0","0","","","","","","","","","","","","9","","청소년이용불가","","","","","",
"6","인터넷컴퓨터게임시설제공업","03_05_05_P","5530000","CDFF2241022026000010","2026-01-23","","01","영업/정상","13","영업중","","","","","","","","경기도 화성시 방교동 780-1","경기도 화성시 동탄기흥로257번가길 29, 동탄프리미엄아울렛 D동 1층 109호 (방교동)","18487","미녀PC","2026-01-23 10:21:48","I","2026-01-25 00:20:02","","208102.722165817","408779.613853533","인터넷컴퓨터게임시설제공업","유통관련업","0","","","27.5","0","0","","0","0","0","0","","","","","","","","","","","","6","","청소년이용불가","","","","","",
"7","인터넷컴퓨터게임시설제공업","03_05_05_P","4000000","CDFF2241022026000001","2026-01-23","","01","영업/정상","13","영업중","","","","","","","","경기도 오산시 원동 761-30 (주)주현시스템","경기도 오산시 대원로 25 (주)주현시스템 1층 101호 (원동)","18138","월드PC","2026-01-23 18:00:05","I","2026-01-25 00:20:02","","206258.988911939","404976.630844395","인터넷컴퓨터게임시설제공업","유통관련업","0","","AK홀덤(AK Holdem), AK맞고(AK Matgo), AK바둑이(AK Baduki)","40","0","0","","0","0","0","0","","","","","","","","","","","","5","","청소년이용불가","","","","","",
"8","인터넷컴퓨터게임시설제공업","03_05_05_P","3560000","CDFF2241022026000003","2026-01-23","","01","영업/정상","13","영업중","","","","","","","","인천광역시 서구 석남동 583-7","인천광역시 서구 가정로 191, 1층 108호 (석남동)","22795","오렌지PC","2026-01-23 17:34:06","I","2026-01-25 00:20:02","","170909.327365796","444451.224496635","인터넷컴퓨터게임시설제공업","유통관련업","0","","","44.11","0","0","근린생활시설","0","0","0","0","","","","","","","","","","","","9","","","","","","","",
"9","인터넷컴퓨터게임시설제공업","03_05_05_P","4470000","CDFF2241022026000001","2026-01-23","","01","영업/정상","13","영업중","","","","","","","","충청북도 음성군 대소면 대풍리 437-1","충청북도 음성군 대소면 대금로 98","27671","베스트PC","2026-01-23 08:45:11","I","2026-01-25 00:20:02","","240530.490477901","387123.048192906","인터넷컴퓨터게임시설제공업","유통관련업","0","","","97.2","0","0","","0","0","0","0","","","","","","","","","","","","6","","","","","","","",
"10","인터넷컴퓨터게임시설제공업","03_05_05_P","4390000","CDFF2241022026000001","2026-01-23","","01","영업/정상","13","영업중","","","","","","","","충청북도 충주시 봉방동 147-1 음향공연기획","충청북도 충주시 봉방13길 7, 음향공연기획 1층 (봉방동)","27426","정보PC방","2026-01-23 11:07:15","I","2026-01-25 00:20:02","","281804.995341786","386272.697971251","인터넷컴퓨터게임시설제공업","유통관련업","0","","PC","54.46","0","0","","0","0","0","0","","","","","","","","","","","","8","","청소년이용불가","","","","","",
