"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","실험실면적","사업장구분명","영업소면적","위탁업체명","실험실지역코드","실험실우편번호","실험실산","실험실번지","실험실호","실험실통","실험실반","실험실특수주소","실험실특수주소동","실험실특수주소호","실험실도로명주소시군구코드","실험실도로명주소읍면동코드","실험실도로명주소읍면동구분","실험실도로명주소코드","실험실도로명특수주소","실험실도로명주소건물층구분","실험실도로명주소건물본번호","실험실도로명주소건물부번호","실험실도로명주소우편번호",
"1","환경측정대행업","09_30_17_P","6410000","641000008202600009","2026-01-23","","01","영업/정상","N","신규","","","","","","","","경기도 안성시 신건지동 16-1","경기도 안성시 공단로 19, 2층 (신건지동)","","(주)환경측정기관","2026-01-23 17:07:08","I","2026-01-25 00:20:02","","","","0","측정대행업","0","","","","","","","","","","","","","","","","","","","","",
"2","환경측정대행업","09_30_17_P","3930000","393000066201900001","2019-01-03","","01","영업/정상","BBBB","영업","","","","","031-495-4902","","","경기도 안산시 단원구 초지동 742-2 키즈타워2","경기도 안산시 단원구 원포공원1로 64, 키즈타워2 201,203,206,207호 (초지동)","15455","케이비엔텍(주)","2026-01-23 10:06:42","U","2026-01-25 02:40:00","","183165.555491372","422378.87289029","0","측정대행업","0","","4127310700","","1","742","2","","","키즈타워2","","201,2","41273","4127310700","1","3191064","키즈타워2 201,203,207호 (초지동)","0","64","","15455",
"3","환경측정대행업","09_30_17_P","3230000","323000066201800002","2018-05-17","","01","영업/정상","BBBB","영업","","","","","02-527-1820","","","서울특별시 송파구 문정동 642-3 문정에스케이브이원지엘메트로시티","서울특별시 송파구 법원로 128, 문정에스케이브이원지엘메트로시티 C동 6층 604호 (문정동)","05854","(주)한국건설시험원","2026-01-23 16:38:03","U","2026-01-25 02:40:00","","","","0","측정대행업","0","","1171010800","","1","642","3","","","문정에스케이브이원지엘메트로시티","","","11710","1171010800","1","3350849","문정에스케이브이원지엘메트로시티 C동 6층 601호 (문정동)","0","128","","05854",
"4","환경측정대행업","09_30_17_P","5710000","571000066201900003","2019-03-27","","01","영업/정상","BBBB","영업","","","","","043-255-0071","","","충청북도 청주시 흥덕구 휴암동 151-3","충청북도 청주시 흥덕구 가포산로76번길 175-12 (휴암동)","28374","(주)상현이엔씨","2026-01-23 09:47:52","U","2026-01-25 02:40:00","","236857.04786289","345681.77271392","243","측정대행업","0","","4311311900","","1","151","3","","","","","","43113","4311311900","1","4512164","(휴암동)","0","175","12","28374",
"5","환경측정대행업","09_30_17_P","3930000","393000066201900012","2019-01-04","","01","영업/정상","BBBB","영업","","","","","","","","경기도 안산시 단원구 고잔동 708 웅신아트프라자 404호","경기도 안산시 단원구 광덕대로 161, 웅신아트프라자 404호 (고잔동)","15471","(주)이앤피","2026-01-23 10:06:59","U","2026-01-25 02:40:00","","184780.940100307","423235.932083668","0","측정대행업","0","","4127310100","","1","708","","","","웅신아트프라자","","404","41273","4127310100","1","2190001","웅신아트프라자 404호 (고잔동)","0","161","","15471",
"6","환경측정대행업","09_30_17_P","3930000","393000066201900016","2019-01-04","","01","영업/정상","BBBB","영업","","","","","4314850","","","경기도 안산시 단원구 성곡동 802","경기도 안산시 단원구 엠티브이10로10번길 5 (성곡동)","15656","(주)하이텍환경","2026-01-23 10:07:06","U","2026-01-25 02:40:00","","177030.533761654","422661.039947603","0","측정대행업","0","","4127310400","","1","802","","","","","","","41273","4127310400","1","4373505","1,2층 (성곡동)","0","5","","15656",
"7","환경측정대행업","09_30_17_P","3930000","393000066201900019","2019-01-04","","01","영업/정상","BBBB","영업","","","","","0314949191","","","경기도 안산시 단원구 고잔동 729-9 Win-Win프라자","경기도 안산시 단원구 광덕4로 260, Win-Win프라자 4층 (고잔동)","15464","보성환경이엔텍(주)","2026-01-23 10:07:14","U","2026-01-25 02:40:00","","185871.930223931","423597.658528151","0","측정대행업","0","","4127310100","","1","729","9","","","Win-Win프라자","","401","41273","4127310100","1","3190012","Win-Win프라자 401,402호 (고잔동)","0","260","","15464",
"8","환경측정대행업","09_30_17_P","3930000","393000066201900020","2019-01-04","","01","영업/정상","BBBB","영업","","","","","0314949191","","","경기도 안산시 단원구 고잔동 729-9 Win-Win프라자","경기도 안산시 단원구 광덕4로 260, Win-Win프라자 4층 (고잔동)","15464","보성환경이엔텍(주)","2026-01-23 10:07:22","U","2026-01-25 02:40:00","","185871.930223931","423597.658528151","0","측정대행업","0","","4127310100","","1","729","9","","","Win-Win프라자","","401","41273","4127310100","1","3190012","Win-Win프라자 401,402호 (고잔동)","0","260","","15464",
"9","환경측정대행업","09_30_17_P","3930000","393000066201900022","2019-01-04","","01","영업/정상","BBBB","영업","","","","","0314949191","","","경기도 안산시 단원구 고잔동 729-9 Win-Win프라자","경기도 안산시 단원구 광덕4로 260, Win-Win프라자 4층 (고잔동)","15464","보성환경이엔텍(주)","2026-01-23 10:07:36","U","2026-01-25 02:40:00","","185871.930223931","423597.658528151","0","측정대행업","0","","4127310100","","1","729","9","","","Win-Win프라자","","401","41273","4127310100","1","3190012","Win-Win프라자 401,402호 (고잔동)","0","260","","15464",
"10","환경측정대행업","09_30_17_P","5530000","553000066202300001","2023-07-14","","01","영업/정상","BBBB","영업","","","","","031-366-1861","","","경기도 화성시 향남읍 상신리 1295-5 , 402호","경기도 화성시 향남읍 상신하길로126번길 21, 1동 4층 401호","","(주)삼성토탈환경","2026-01-23 15:19:44","U","2026-01-25 02:40:00","","191112.920596236","400311.796309213","0","측정대행업","0","","4159025924","","1","1295","5","","",", 402호","","","41590","4159025924","0","4848198","1동 4층 401호","0","21","","18617",
"11","환경측정대행업","09_30_17_P","5710000","571000066201900006","2019-04-12","","01","영업/정상","BBBB","영업","","","","","268-4959","","","충청북도 청주시 흥덕구 봉명동 168-4","충청북도 청주시 흥덕구 직지대로 578 (봉명동)","28569","(주)천수환경산업","2026-01-23 09:48:03","U","2026-01-25 02:40:00","","240808.80479993","349184.412819324","213","측정대행업","0","","4311311500","","1","168","4","","","","","","43113","4311311500","1","3236058","2층 (봉명동)","0","578","","28569",
"12","환경측정대행업","09_30_17_P","3830000","383000066201800003","2018-12-26","","01","영업/정상","BBBB","영업","","","","","","","","경기도 안양시 동안구 관양동 224-5 대륭테크노타운15차 1712,호","경기도 안양시 동안구 시민대로 401, 대륭테크노타운15차 1712,2107,401,2103호 (관양동)","14057","(주)대현환경","2026-01-23 13:23:17","U","2026-01-25 02:40:00","","197692.013396525","432777.290185295","0","측정대행업","0","","4117310200","","1","861","","","","","","","41173","4117310200","1","4349128","(관양동)","0","14","","14057",
"13","환경측정대행업","09_30_17_P","5710000","571000066202400002","2024-09-13","","01","영업/정상","BBBB","영업","","","","","","","","충청북도 청주시 흥덕구 오송읍 정중리 805","충청북도 청주시 흥덕구 오송읍 오송생명10로 7","28220","(사)대한산업보건협회","2026-01-23 09:47:40","U","2026-01-25 02:40:00","","227318.5571194","346035.480414868","412","측정대행업","0","","4311325032","","1","805","","","","","","","43113","4311325032","0","3351773","","0","7","","28220",
