"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총직원수",
"1","축산판매업","07_22_04_P","4010000","401000000920260005","2026-01-23","","01","영업/정상","0000","정상","","","","","","82.6","","경기도 시흥시 정왕동 1568-9","경기도 시흥시 정왕천로 371-1, 101호 (정왕동)","15058","메러즈마트","2026-01-23 11:58:03","I","2026-01-25 00:20:02","식육판매업","177695.846139733","426646.106001098","축산물판매업","식육판매업","0","000","0",
"2","축산판매업","07_22_04_P","6520000","652000000920260001","2026-01-23","","01","영업/정상","0000","정상","","","","","","25.92","","제주특별자치도 서귀포시 안덕면 상창리 646-13 1층","제주특별자치도 서귀포시 안덕면 한창로 102-1, 1층","63526","맛더함유통","2026-01-23 09:59:34","I","2026-01-25 00:20:02","축산물유통전문판매업","140813.327319979","-24654.0126040159","축산물판매업","축산물유통전문판매업","0","000","0",
"3","축산판매업","07_22_04_P","3990000","399000000920260005","2026-01-23","","01","영업/정상","0000","정상","","","","","","200","","경기도 남양주시 오남읍 오남리 840-6 리더스밴딩","경기도 남양주시 오남읍 양지로139번길 25, 리더스밴딩","12048","(주)지암인터내셔날","2026-01-23 16:45:12","I","2026-01-25 00:20:02","축산물유통전문판매업","217605.803124728","465331.729050354","축산물판매업","축산물유통전문판매업","0","L00","0",
"4","축산판매업","07_22_04_P","3530000","353000000920260004","2026-01-23","","01","영업/정상","0000","정상","","","","","07046103106","0","","인천광역시 남동구 운연동 43-5","인천광역시 남동구 연락골로 45-11, 1층 (운연동)","21533","(주)이레유통","2026-01-23 17:25:43","I","2026-01-25 00:20:02","우유류판매업","179288.91416001","438011.730252554","축산물판매업","우유류판매업","0","L00","0",
"5","축산판매업","07_22_04_P","3530000","353000000920260005","2026-01-23","","01","영업/정상","0000","정상","","","","","07046103106","0","","인천광역시 남동구 운연동 43-5","인천광역시 남동구 연락골로 45-11, 2층 (운연동)","21533","(주)이레유통","2026-01-23 17:29:34","I","2026-01-25 00:20:02","축산물유통전문판매업","179288.91416001","438011.730252554","축산물판매업","축산물유통전문판매업","0","L00","0",
"6","축산판매업","07_22_04_P","5670000","567000000920260003","2026-01-23","","01","영업/정상","0000","정상","","","","","055-248-5292","32.8","","경상남도 창원시 마산합포구 동성동 279","경상남도 창원시 마산합포구 불종거리로 15-2, 마산합포구 동서북14길 18-1 (동성동)","51729","감나무집 정육","2026-01-23 09:47:30","I","2026-01-25 00:20:02","식육판매업","343456.843766171","190757.192030559","축산물판매업","식육판매업","0","000","0",
"7","축산판매업","07_22_04_P","4820000","482000000920260002","2026-01-23","","01","영업/정상","0000","정상","","","","","","31.05","","전라남도 순천시 동외동 188-5","전라남도 순천시 북부시장길 69 (동외동)","57939","행복상회","2026-01-23 18:01:10","I","2026-01-25 00:20:02","식육판매업","244459.112243854","162365.788270341","축산물판매업","식육판매업","0","000","0",
"8","축산판매업","07_22_04_P","3200000","320000000920260002","2026-01-23","","01","영업/정상","0000","정상","","","","","02-878-5678","27","","서울특별시 관악구 봉천동 1680-11","서울특별시 관악구 남부순환로 1895 (봉천동)","08742","농장사람들 낙성대역점","2026-01-23 18:20:27","I","2026-01-25 00:20:02","식육판매업","196409.202870272","441837.788616059","축산물판매업","식육판매업","0","L00","0",
"9","축산판매업","07_22_04_P","5600000","560000000920260002","2026-01-23","","01","영업/정상","0000","정상","","","","","","198","","경기도 포천시 가산면 마전리 118","경기도 포천시 가산면 좌의길 205","11165","광일미트","2026-01-23 09:43:50","I","2026-01-25 00:20:02","축산물유통전문판매업","219159.189784085","483356.643984999","축산물판매업","축산물유통전문판매업","0","000","0",
"10","축산판매업","07_22_04_P","3170000","317000000920260001","2026-01-23","","01","영업/정상","0000","정상","","","","","","3.6","","서울특별시 금천구 독산동 293-5 협진식품빌딩 지하1층 12호","서울특별시 금천구 범안로 1209, 협진식품빌딩 지하1층 12호 (독산동)","08585","동해축산","2026-01-23 12:59:51","I","2026-01-25 00:20:02","식육부산물전문판매업","190771.595589599","440515.66903538","축산물판매업","식육부산물전문판매업","0","000","0",
