"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총직원수",
"1","축산가공업","07_22_05_P","6410000","641000000420260008","2026-01-23","","01","영업/정상","0000","정상","","","","","07088229550","460.18","","경기도 김포시 대곶면 대명리 391번지 30호","경기도 김포시 대곶면 대명항로 516-50","","주식회사 원글로벌에프앤비","2026-01-23 13:39:19","I","2026-01-25 00:20:02","식육가공업","161489.809851017","460747.318065282","축산물가공업","식육가공업","0","L00","6",
"2","축산가공업","07_22_05_P","6410000","641000000420260007","2026-01-23","","01","영업/정상","0000","정상","","","","","","97.32","","경기도 파주시 동패동  1738번지 1호","경기도 파주시 책향기숲길 65-18, 1층 (동패동)","","영스푸드","2026-01-23 10:57:02","I","2026-01-25 00:20:02","식육가공업","174863.429651772","468653.569225474","축산물가공업","식육가공업","0","000","2",
"3","축산가공업","07_22_05_P","6530000","642000000420210002","2021-03-03","","03","폐업","0002","폐업","2026-01-23","","","","0336336800","853.88","","강원특별자치도 속초시 대포동  946번지 5호","강원특별자치도 속초시 농공단지1길 38-12 (대포동)","","(주) 자연인 에프앤씨","2026-01-23 11:49:49","U","2026-01-25 02:40:00","식육가공업","339743.288600872","520102.799270757","축산물가공업","식육가공업","0","L00","8",
"4","축산가공업","07_22_05_P","6280000","628000000420240026","2024-10-07","","01","영업/정상","0000","정상","","","","","0328689631","582.99","","인천광역시 미추홀구 도화동  831번지 3호 1층대아티아이(주)인천지점","인천광역시 미추홀구 염전로143번길 12, 대아티아이(주)인천지점 1층 (도화동)","","대아티아이 인천지점","2026-01-23 09:27:36","U","2026-01-25 02:40:00","유가공업","","","축산물가공업","유가공업","0","L00","15",
"5","축산가공업","07_22_05_P","6410000","641000000420210136","2021-09-10","","01","영업/정상","0000","정상","","","","","","185.72","","경기도 화성시 반월동  322번지 0호 2동","경기도 화성시 반월길 42, 2동 (반월동)","","에스엠푸드","2026-01-23 10:27:26","U","2026-01-25 02:40:00","식육가공업","205311.290209271","414111.713703233","축산물가공업","식육가공업","0","000","4",
"6","축산가공업","07_22_05_P","6410000","641000000420120044","2012-06-12","","03","폐업","0002","폐업","2026-01-14","","","","","392.7","","경기도 광명시 가학동  937번지 18호","경기도 광명시 노리실로 19 (가학동)","423-070","일승푸드","2026-01-23 09:35:43","U","2026-01-25 02:40:00","식육가공업","187657.897618646","433878.399314947","축산물가공업","식육가공업","0","000","1",
"7","축산가공업","07_22_05_P","6270000","627000000420250012","2025-06-04","","01","영업/정상","0000","정상","","","","","0536303842","9301.09","","대구광역시 달성군 구지면 내리 847번지 15호","대구광역시 달성군 구지면 달성2차4로 37","","리치프로덕츠코리아 유한책임회사","2026-01-23 15:37:12","U","2026-01-25 02:40:00","유가공업","328520.607104741","238531.354079775","축산물가공업","유가공업","0","L00","0",
"8","축산가공업","07_22_05_P","6430000","643000000420060003","2006-01-25","","01","영업/정상","0000","정상","","","","","0432602104","8773.97","363-913","충청북도 청주시 흥덕구 옥산면 덕촌리 214번지 3호","충청북도 청주시 흥덕구 옥산면 덕촌덕절길 21","","티에스유업(주)","2026-01-23 16:29:44","U","2026-01-25 02:40:00","유가공업","232740.787146362","351000.999176187","축산물가공업","유가공업","0","L00","49",
"9","축산가공업","07_22_05_P","6410000","641000000420150067","2015-05-19","","01","영업/정상","0000","정상","","","","","0316582854","1675.42","","경기도 안성시 대덕면 모산리 188번지 1호","경기도 안성시 대덕면 모산로 148","456-833","안성마춤농협조합공동사업법인","2026-01-23 14:09:05","U","2026-01-25 02:40:00","식육가공업","221746.507827864","392393.292501436","축산물가공업","식육가공업","0","L00","54",
"10","축산가공업","07_22_05_P","6410000","641000000420200175","2020-11-23","","01","영업/정상","0000","정상","","","","","0313392356","450.56","","경기도 용인시 처인구 모현읍 초부리 143번지 3호","경기도 용인시 처인구 모현읍 초부로107번길 1-8","","메이플푸드 주식회사","2026-01-23 10:27:13","U","2026-01-25 02:40:00","식육가공업","222249.29111188","423684.106655208","축산물가공업","식육가공업","0","L00","8",
"11","축산가공업","07_22_05_P","6290000","629000000420230011","2023-10-04","","01","영업/정상","0000","정상","","","","","","430","","광주광역시 광산구 장덕동  990번지 12호 가동","광주광역시 광산구 하남산단3번로 90, 가동 1층 (장덕동)","","주식회사 하이진","2026-01-23 16:18:20","U","2026-01-25 02:40:00","식육가공업","182097.917297403","187781.434476805","축산물가공업","식육가공업","0","L00","0",
