"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","의료기관종별명","의료인수","입원실수","병상수","총면적","진료과목내용","진료과목내용명","지정취소일자","완화의료지정형태","완화의료담당부서명","구급차특수","구급차일반","총인원","구조사수","허가병상수","최초지정일자",
"1","의원","01_01_02_P","3780000","PHMA120263780063041100002","2026-01-22","","01","영업/정상","13","영업중","","","","","031-1899-0050","","","경기도 성남시 중원구 상대원동 269-10 노인보건센터, 중원구보건소","경기도 성남시 중원구 금상로 137, 노인보건센터, 중원구보건소 1층 (상대원동)","13200","의료법인메디피아 메디피움성남의원","2026-01-23 17:51:25","I","2026-01-25 00:20:02","의원","215028.245023626","437771.746456896","의원","2","0","0","68.67","122 116 110 105 102 101","내과, 신경과, 정형외과, 산부인과, 영상의학과, 가정의학과","","","","0","0","","","0","",
"2","의원","01_01_02_P","3010000","PHMA120263010033041100008","2026-01-21","","01","영업/정상","13","영업중","","","","","027766600","","","서울특별시 중구 서소문동 120-12 3층","서울특별시 중구 세종대로11길 30, 3층 (서소문동)","04513","시청역성모정형외과의원","2026-01-23 00:43:19","I","2026-01-25 00:20:02","의원","197652.100548006","451118.995526608","의원","1","0","0","350","114 105 106 101 120 109","내과, 정형외과, 신경외과, 마취통증의학과, 피부과, 재활의학과","","","","0","0","","","0","",
"3","의원","01_01_02_P","3740000","PHMA120263740032041100002","2026-01-23","","01","영업/정상","13","영업중","","","","","031-8019-7728","","","경기도 수원시 권선구 서둔동 381 타임빌라스 수원","경기도 수원시 권선구 세화로 134, 타임빌라스 수원 7층 (서둔동)","16621","서울하루치과의원","2026-01-23 14:09:57","I","2026-01-25 00:20:02","치과의원","199673.378589066","418025.547756245","치과의원","2","0","0","348.17","408 407 406 405 404 403","치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과","","","","0","0","","","0","",
"4","의원","01_01_02_P","4191000","PHMA120264191050041100004","2026-01-23","","01","영업/정상","13","영업중","","","","","033-745-7588","","","강원특별자치도 원주시 중앙동 82-1","강원특별자치도 원주시 평원로 45, 2.3층 (중앙동)","26428","연세한울내과의원","2026-01-23 17:50:04","I","2026-01-25 00:20:02","의원","284232.16261196","427980.945373374","의원","4","0","0","526.57","101","내과","","","","0","0","","","0","",
"5","의원","01_01_02_P","5540000","PHMA120265540016041100001","2026-01-16","","01","영업/정상","13","영업중","","","","","031-797-6020","","","경기도 광주시 경안동 25-3 광주종합터미널","경기도 광주시 광주대로 30, 광주종합터미널 2층 2145, 2146호 (경안동)","12757","유앤아이의원","2026-01-23 16:06:30","I","2026-01-25 00:20:02","의원","223061.389182349","434193.70905707","의원","2","0","0","610.15","114","피부과","","","","0","0","","","0","",
"6","의원","01_01_02_P","3180000","PHMA120263180034041100002","2026-01-13","","01","영업/정상","13","영업중","","","","","02-834-8575","","","서울특별시 영등포구 신길동 4493 신길프라자","서울특별시 영등포구 여의대방로 55, 신길프라자 5층 (신길동)","07435","연세길재활의학과의원","2026-01-23 16:40:53","I","2026-01-25 00:20:02","의원","192220.926347426","443838.527610918","의원","1","0","0","207.27","120 109 106 105","정형외과, 신경외과, 마취통증의학과, 재활의학과","","","","0","0","","","0","",
"7","의원","01_01_02_P","3180000","PHMA120263180034041100003","2026-01-14","","01","영업/정상","13","영업중","","","","","02-6673-0123","","","서울특별시 영등포구 신길동 4975 비스타동원","서울특별시 영등포구 신풍로 28, B115~B118호 (신길동, 비스타동원)","07430","아산연산부인과의원","2026-01-23 16:43:01","I","2026-01-25 00:20:02","의원","","","의원","1","0","0","232.37","110","산부인과","","","","0","0","","","0","",
"8","의원","01_01_02_P","3010000","PHMA120263010033041100009","2026-01-23","","01","영업/정상","13","영업중","","","","","02-6954-2565","","","서울특별시 중구 을지로2가 199-48 2~5층","서울특별시 중구 명동9가길 21, 2~5층층 (을지로2가)","04534","커브라인의원","2026-01-23 16:54:18","I","2026-01-25 00:20:02","의원","198455.93879179","451399.515841617","의원","1","0","0","482.16","114","피부과","","","","0","0","","","0","",
"9","의원","01_01_02_P","3410000","PHMA120263410023041100002","2026-01-23","","01","영업/정상","13","영업중","","","","","053-716-0650","","","대구광역시 중구 사일동 59 영스퀘어","대구광역시 중구 동성로 25, 영스퀘어 7층 (사일동)","41937","밴스의원","2026-01-23 19:28:51","I","2026-01-25 00:20:02","의원","343981.615381126","264421.752760284","의원","1","0","0","544.12","114 108","성형외과, 피부과","","","","0","0","","","0","",
"10","의원","01_01_02_P","3210000","PHMA120263210034041100005","2016-09-21","","01","영업/정상","13","영업중","","","","","0507-1322-9234","","","서울특별시 서초구 반포동 723-22","서울특별시 서초구 강남대로 509, A동 6층 (반포동)","06536","타코성형외과의원","2026-01-23 15:00:19","I","2026-01-25 00:20:02","의원","201892.166456524","445046.963252236","의원","3","0","0","246.95","108","성형외과","","","","0","0","","","0","",
"11","의원","01_01_02_P","5350000","PHMA120145350029041100012","2014-05-27","","01","영업/정상","13","영업중","","","","","055-326-4321","","","경상남도 김해시 내동 1140-4","경상남도 김해시 경원로 67, 4~5층 (내동)","50948","미미썸의원 김해점","2026-01-23 00:13:27","U","2026-01-25 02:40:00","의원","369925.20532704","194694.695584288","의원","7","0","0","1015.97","108 114 104 101 111","내과, 외과, 성형외과, 소아청소년과, 피부과","","","","0","0","","","0","",
"12","의원","01_01_02_P","5350000","PHMA120045350029041100003","2004-01-24","","01","영업/정상","13","영업중","","","","","055-335-8822","","","경상남도 김해시 부원동 604번지 8호 3,5,6층","경상남도 김해시 가락로 11, 3,5,6층 (부원동)","50926","김정주정형외과의원","2026-01-23 01:43:27","U","2026-01-25 02:40:00","의원","371294.109595071","193644.5787512","의원","1","0","0","865.59","101 102 103 104 105 106 107 108 109 111 112 113 114 115 119 120","내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 성형외과, 마취통증의학과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 진단검사의학과, 재활의학과","","","","0","0","","","0","",
"13","의원","01_01_02_P","4500000","PHMA119974500029041100003","1997-06-27","","03","폐업","03","폐업","2025-08-12","","","","041-858-2345","","314-030","충청남도 공주시 산성동 180번지 18호","충청남도 공주시 웅진로 197 (산성동)","32540","손경선내과의원","2026-01-23 13:56:12","U","2026-01-25 02:40:00","의원","211101.4513833","328579.571694191","의원","7","0","0","386.03","101","내과","","","","0","0","","","0","",
"14","의원","01_01_02_P","4610000","PHMA120114610020041100001","2011-03-22","","01","영업/정상","13","영업중","","","","","041-335-2504","","","","충청남도 예산군 예산읍 예산로 252","32438","삼산당한의원","2026-01-23 02:13:23","U","2026-01-25 02:40:00","한의원","186745.008147358","353253.331214574","한의원","1","0","0","250","301 302 303 304 305","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과","","","","0","0","","","0","",
"15","의원","01_01_02_P","5710000","PHMA120185710108041100005","2018-05-18","","01","영업/정상","13","영업중","","","","","043-273-1122","","","충청북도 청주시 흥덕구 복대동 162번지 1호","충청북도 청주시 흥덕구 내수동로 2, 10층 (복대동)","28595","연세재활의학과의원","2026-01-23 02:15:34","U","2026-01-25 02:40:00","의원","239975.388264063","348163.565387691","의원","1","1","1","305.09","126 125 124 122 121 120 119 116 115 114 113 112 111 110 109 108 107 106 105 104 103 102 101","내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 진단검사의학과, 재활의학과, 결핵과, 가정의학과, 직업환경의학과, 응급의학과, 예방의학과","","","","0","0","","","0","",
"16","의원","01_01_02_P","5710000","PHMA120104360069041100002","2010-02-16","","02","휴업","02","휴업","","2026-02-02","2026-02-28","","043-284-1001","","","충청북도 청주시 서원구 성화동 717번지","충청북도 청주시 서원구 서부로 1350, 5층 (성화동)","28614","백승일의 참정형외과의원","2026-01-23 13:06:42","U","2026-01-25 02:40:00","의원","240041.629200005","346354.854604259","의원","2","1","2","158.6","120 109 107 106 105 102","신경과, 정형외과, 신경외과, 심장혈관흉부외과, 마취통증의학과, 재활의학과","","","","0","0","","","0","",
"17","의원","01_01_02_P","5710000","PHMA120144360079041100017","2014-05-27","","01","영업/정상","13","영업중","","","","","043-904-2080","","","","충청북도 청주시 흥덕구 대농로 39, 503호 (복대동, LK트리플렉스빌딩)","28424","연세에이치유치과의원","2026-01-23 02:15:32","U","2026-01-25 02:40:00","치과의원","238091.12504653","349102.521980719","치과의원","1","0","0","193","412 411 409 408 407 406 405 403 402","구강악안면외과, 치과보철과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 예방치과, 통합치의학과","","","","0","0","","","0","",
"18","의원","01_01_02_P","4400000","PHMA120014400020041100001","2001-01-19","","01","영업/정상","13","영업중","","","","","043-644-3800","","","","충청북도 제천시 풍양로 107 (중앙로1가)","27173","한사랑외과의원","2026-01-23 01:55:35","U","2026-01-25 02:40:00","의원","307590.641851559","404629.688039991","의원","2","3","6","463.16","101 104 105 111 114 115 116","내과, 외과, 정형외과, 소아청소년과, 피부과, 비뇨의학과, 영상의학과","","","","0","0","","","0","",
"19","의원","01_01_02_P","5710000","PHMA120114410018041100002","2011-02-14","","01","영업/정상","13","영업중","","","","","-232-8275","","","","충청북도 청주시 흥덕구 오송읍 오송생명11로 36, 301,302,303,304호","28222","서울치과의원","2026-01-23 02:45:15","U","2026-01-25 02:40:00","치과의원","","","치과의원","2","0","0","674.53","402 403 404 405 406 407 408 411 412","구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 예방치과, 통합치의학과","","","","0","0","","","0","",
"20","의원","01_01_02_P","5710000","PHMA120165710108041100010","2016-04-29","","01","영업/정상","13","영업중","","","","","043-232-2486","","","충청북도 청주시 흥덕구 복대동 288번지 117호","충청북도 청주시 흥덕구 대농로 66, 4층 402호403호 (복대동)","28427","아가페내과의원","2026-01-23 02:45:17","U","2026-01-25 02:40:00","의원","238338.058930046","349013.75761523","의원","1","0","0","361.08","115 113 104 102 101","내과, 신경과, 외과, 이비인후과, 비뇨의학과","","","","0","0","","","0","",
"21","의원","01_01_02_P","3210000","PHMA120073210034041100072","2007-07-13","","01","영업/정상","13","영업중","","","","","02-595-9567","","","서울특별시 서초구 서초동 1306번지 3호 한승빌딩 402호","서울특별시 서초구 강남대로 455, 3층 304호 (서초동, 강남태영데시앙루브)","06611","맑고고운라벨라의원","2026-01-23 01:43:20","U","2026-01-25 02:40:00","의원","202233.709871973","444233.535744827","의원","1","0","0","158.29","122 114 108","성형외과, 피부과, 가정의학과","","","","0","0","","","0","",
"22","의원","01_01_02_P","3230000","PHMA120153230034041100015","2015-04-13","","01","영업/정상","13","영업중","","","","","02-431-8875","","","서울특별시 송파구 문정동 116번지 4호","서울특별시 송파구 송이로 239, 301호 (문정동, 도은빌딩)","05798","경희케이한의원","2026-01-23 02:43:30","U","2026-01-25 02:40:00","한의원","211591.053808857","442873.351740073","한의원","1","0","0","148.5","308 307 306 305 304 303 302 301","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","",
"23","의원","01_01_02_P","3010000","PHMA120073010033041100012","2007-03-16","","01","영업/정상","13","영업중","","","","","1544-0377","","","서울특별시 중구 명동1가 59-5 타임워크명동빌딩","서울특별시 중구 남대문로 78, 타임워크명동빌딩 지하1층 (명동1가)","04534","아비쥬의원","2026-01-23 00:43:15","U","2026-01-25 02:40:00","의원","198433.903211956","451323.216289926","의원","18","0","0","2596.65","122 114 108","성형외과, 피부과, 가정의학과","","","","0","0","","","0","",
"24","의원","01_01_02_P","3140000","PHMA120183140033041100010","2018-06-19","","01","영업/정상","13","영업중","","","","","02-6952-1117","","","서울특별시 양천구 목동 606-14 동향빌딩","서울특별시 양천구 등촌로 230, 동향빌딩 2,6층 (목동)","07946","원정형외과의원","2026-01-23 03:43:19","U","2026-01-25 02:40:00","의원","187930.037785561","449767.441786782","의원","1","0","0","510","120 109 106 105 101","내과, 정형외과, 신경외과, 마취통증의학과, 재활의학과","","","","0","0","","","0","",
