"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업무구분명","상세업무구분명","권리주체일련번호","총직원수",
"1","동물약국","02_03_02_P","4191000","419100001120260002","2026-01-22","","01","영업/정상","0000","정상","","","","","033-762-2783","52.8","","강원특별자치도 원주시 단구동 1713-1","강원특별자치도 원주시 오성마을길 57-22, 1층 103호 (단구동)","26400","나나약국","2026-01-23 15:43:53","I","2026-01-25 00:20:02","","283999.416107608","424451.153333608","동물약국","","000","0",
"2","동물약국","02_03_02_P","3510500","351050001120260001","2026-01-23","","01","영업/정상","0000","정상","","","","","","","","인천광역시 미추홀구 주안동 24-68","인천광역시 미추홀구 염창로 51, 103호 (주안동)","22128","주안팔팔약국","2026-01-23 09:23:01","I","2026-01-25 00:20:02","","171575.834730522","440469.450301891","동물약국","","000","0",
"3","동물약국","02_03_02_P","3730000","373000001120260002","2026-01-23","","01","영업/정상","0000","정상","","","","","0527162366","","","울산광역시 울주군 언양읍 남부리 145-2","울산광역시 울주군 언양읍 헌양길 37","44946","호호약국","2026-01-23 15:29:18","I","2026-01-25 00:20:02","","392601.324004917","231514.87978138","동물약국","","000","0",
"4","동물약국","02_03_02_P","4010000","401000001120220005","2022-04-18","","03","폐업","0002","폐업","2026-01-23","","","","","0","","경기도 시흥시 은행동 646-6 아리테타워","경기도 시흥시 은계번영길 13, 아리테타워 109호 (은행동)","14923","바른약국","2026-01-23 13:35:07","U","2026-01-25 02:40:00","","182455.724042505","437264.79332952","동물약국","","000","0",
"5","동물약국","02_03_02_P","4500000","450000001120240001","2024-06-25","","03","폐업","0002","폐업","2026-01-23","","","","042-826-6488","","","충청남도 공주시 반포면 학봉리 289-11","충청남도 공주시 반포면 동학사1로 133","32626","동학사약국","2026-01-23 13:43:57","U","2026-01-25 02:40:00","","222580.876523333","317903.342665436","동물약국","","000","0",
"6","동물약국","02_03_02_P","3940000","394000001120240023","2024-06-26","","01","영업/정상","0000","정상","","","","","07088461930","","","경기도 고양시 일산서구 주엽동 106-3 동영빌딩 4층 401일부호","경기도 고양시 일산서구 중앙로 1413, 동영빌딩 4층 401일부호 (주엽동)","10386","4층앤약국","2026-01-23 13:28:14","U","2026-01-25 02:40:00","","179004.476773814","462990.207993189","동물약국","","000","0",
"7","동물약국","02_03_02_P","3720000","372000001120130007","2013-11-17","","03","폐업","0002","폐업","2025-12-31","","","","052-297-9334","0","","울산광역시 북구 상안동 357 107호, 프리지아","울산광역시 북구 신답로 48, 107호 (상안동, 프리지아)","44209","정성약국","2026-01-23 17:13:51","U","2026-01-25 02:40:00","","412186.126630814","239113.362725732","동물약국","","000","0",
"8","동물약국","02_03_02_P","3940000","394000001120220021","2022-08-31","","03","폐업","0002","폐업","2026-01-19","","","","023521515","","","경기도 고양시 덕양구 지축동 0","경기도 고양시 덕양구 지축로 86, 지에스프라자 103호 (지축동)","10585","기린약국","2026-01-23 11:15:52","U","2026-01-25 02:40:00","","","","동물약국","","000","0",
"9","동물약국","02_03_02_P","3220000","322000001120180014","2018-07-09","","03","폐업","0002","폐업","2026-01-04","","","","02-557-5697","","","서울특별시 강남구 신사동 599 압구정빌딩 1층","서울특별시 강남구 논현로 842, 압구정빌딩 1층 (신사동)","06025","생생온누리약국","2026-01-23 13:15:29","U","2026-01-25 02:40:00","","202471.179675178","446885.874640296","동물약국","","000","0",
"10","동물약국","02_03_02_P","3940000","394000001120200029","2020-12-28","","03","폐업","0002","폐업","2024-07-15","","","","","","","경기도 고양시 일산서구 대화동 2203-1 그린월드","경기도 고양시 일산서구 중앙로 1564, 그린월드 403-1호 (대화동)","10381","대화동물약국","2026-01-23 11:06:47","U","2026-01-25 02:40:00","","177714.776919902","463793.08097656","동물약국","","000","0",
