"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","자산규모","부채총액","자본금","판매방식명",
"1","통신판매업","08_26_04_P","4800000","2026480035930200038","2026-01-21","","01","영업/정상","01","정상영업","","","","","","","","전라남도 목포시 만호동 *-** 호스텔","전라남도 목포시 만호로**번길 *-*, 호스텔 (만호동)","58753","폐가부활전","2026-01-23 15:19:11","I","2026-01-25 00:20:02","기타","143532.385234295","143076.872841141","0","0","0","인터넷",
"2","통신판매업","08_26_04_P","4800000","2026480035930200039","2026-01-21","","01","영업/정상","01","정상영업","","","","","","","","전라남도 목포시 산정동 ****-** *층 에이**호","전라남도 목포시 용당로 **, *층 에이**호 (산정동)","58738","머천다이즈977 유한회사","2026-01-23 15:36:55","I","2026-01-25 00:20:02","의류/패션/잡화/뷰티","145182.261045116","143790.889371204","0","0","0","인터넷",
"3","통신판매업","08_26_04_P","4800000","2026480035930200040","2026-01-21","","01","영업/정상","01","정상영업","","","","","","","","전라남도 목포시 연산동 **** 용해*차골드클래스 ***동 ***호","전라남도 목포시 연산백련로 **, ***동 ***호 (연산동, 용해*차골드클래스)","58763","인셀렉트","2026-01-23 15:49:54","I","2026-01-25 00:20:02","종합몰","144233.076805547","146809.91173804","0","0","0","인터넷",
"4","통신판매업","08_26_04_P","4800000","2026480035930200041","2026-01-22","","01","영업/정상","01","정상영업","","","","","","","","전라남도 목포시 산정동 ****-* 올쌉스토어","전라남도 목포시 영산로 ***, 올쌉스토어 (산정동)","58654","올쌉스토어","2026-01-23 15:56:41","I","2026-01-25 00:20:02","건강/식품 의류/패션/잡화/뷰티 기타","144241.769716918","144931.326101646","0","0","0","인터넷",
"5","통신판매업","08_26_04_P","4800000","2026480035930200042","2026-01-20","","01","영업/정상","01","정상영업","","","","","","","","전라남도 목포시 상동 ***-** *층 ***호","전라남도 목포시 비파로 ***, *층 ***호 (상동)","58660","쉼표공간","2026-01-23 17:02:54","I","2026-01-25 00:20:02","종합몰","146903.980522916","145864.476433695","0","0","0","인터넷, 기타",
"6","통신판매업","08_26_04_P","3360000","2026336018730200081","2022-03-24","","01","영업/정상","01","정상영업","","","","","","","","부산광역시 강서구 녹산동 ***-** *동 ***호","부산광역시 강서구 낙동남로***번길 **-*, *동 *층 ***호 (녹산동)","46735","사랑은퀼트","2026-01-23 18:13:26","I","2026-01-25 00:20:02","의류/패션/잡화/뷰티","371656.184269077","180768.884211862","0","0","0","인터넷",
"7","통신판매업","08_26_04_P","3360000","2026336018730200082","2026-01-23","","01","영업/정상","01","정상영업","","","","","","","","부산광역시 강서구 화전동 ***-* ***호","부산광역시 강서구 화전산단*로*번길 **, ***호 (화전동)","46735","제이이엠(JEM)몰","2026-01-23 19:31:49","I","2026-01-25 00:20:02","종합몰 건강/식품 의류/패션/잡화/뷰티 기타","371200.672979457","180646.7566754","0","0","0","인터넷",
"8","통신판매업","08_26_04_P","3360000","2026336018730200083","2026-01-23","","01","영업/정상","01","정상영업","","","","","","","","부산광역시 강서구 대저*동 ****-* ***동 ***호","부산광역시 강서구 유통단지*로 **, ***동 ***호 (대저*동)","46721","삼원정보통신","2026-01-23 19:32:54","I","2026-01-25 00:20:02","종합몰 가전 컴퓨터/사무용품 기타","378260.668627298","186989.385407114","0","0","0","인터넷",
"9","통신판매업","08_26_04_P","3360000","2026336018730200084","2026-01-23","","01","영업/정상","01","정상영업","","","","","","","","부산광역시 강서구 신호동 ***-* ***동 ****호","부산광역시 강서구 신호오로 **, ***동 ****호 (신호동, 부산신호사랑으로부영*차)","46760","우선유통","2026-01-23 19:34:35","I","2026-01-25 00:20:02","종합몰","371014.893311947","177767.966775932","0","0","0","인터넷",
"10","통신판매업","08_26_04_P","3360000","2026336018730200085","2026-01-23","","01","영업/정상","01","정상영업","","","","","","","","부산광역시 강서구 신호동 *** ***호","부산광역시 강서구 신호이로 **, *층 ***호 (신호동)","46759","피피유통","2026-01-23 19:35:46","I","2026-01-25 00:20:02","종합몰","371180.376049706","177972.675102548","0","0","0","인터넷",
