"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","약국영업면적","지정일자",
"1","약국","01_01_06_P","3740000","PHMD120263740031084000001","2026-01-19","","01","영업/정상","13","영업중","","","","","031-302-2002","","","경기도 수원시 장안구 율전동 285-2 SK HUB BLUE","경기도 수원시 장안구 서부로 2139, SK HUB BLUE 1층 1004호 (율전동)","16360","1층문약국","2026-01-23 14:17:39","I","2026-01-25 00:20:02","","197415.841321941","421942.320630788","36.88","20260119",
"2","약국","01_01_06_P","4671000","PHMD120264671044084000001","2026-01-23","","01","영업/정상","13","영업중","","","","","063-910-1193","","","전북특별자치도 군산시 미장동 519-5","전북특별자치도 군산시 수송로 315, 106호 (미장동)","54094","큰별약국","2026-01-23 16:45:05","I","2026-01-25 00:20:02","","175597.180248811","273826.176231921","59","20260123",
"3","약국","01_01_06_P","3520000","PHMD120133520019084000007","2013-12-16","","01","영업/정상","13","영업중","","","","","032-858-8817","","","","인천광역시 연수구 컨벤시아대로 177, 2층 (송도동, 롯데마트)","21998","하늘약국","2026-01-23 10:23:56","U","2026-01-25 02:40:00","","168348.646973511","431855.205739156","36.75","20131216",
"4","약국","01_01_06_P","3460000","PHMD120023460023084000003","2002-02-22","","01","영업/정상","13","영업중","","","","","053-751-8616","","706-817","대구광역시 수성구 범어동 41번지 1호","대구광역시 수성구 달구벌대로 2401 (범어동)","42019","해솔약국","2026-01-23 10:07:41","U","2026-01-25 02:40:00","","346735.126332147","263415.8051692","41","20020222",
"5","약국","01_01_06_P","3470000","PHMD120003470022084000003","2000-05-13","","01","영업/정상","13","영업중","","","","","053-583-6623","","704-742","대구광역시 달서구 파호동 89번지 삼성명가타운상가 105호","대구광역시 달서구 호산로 125, 105호 (파호동, 삼성명가타운상가)","42706","혜율온누리약국","2026-01-23 09:50:56","U","2026-01-25 02:40:00","","333231.030913403","262182.395988806","30.6","20000513",
"6","약국","01_01_06_P","3420000","PHMD120113420023084000022","2011-12-01","","03","폐업","03","폐업","2026-01-23","","","","053-426-1141","","","대구광역시 동구 신천동 621 신천역센트럴리버파크","대구광역시 동구 동부로 26, 309호 (신천동, 신천역센트럴리버파크)","41265","조아약국","2026-01-23 17:54:58","U","2026-01-25 02:40:00","","345855.347031814","264812.056616036","37.44","20111201",
"7","약국","01_01_06_P","4050000","PHMD120244050147084000007","2024-10-07","","01","영업/정상","13","영업중","","","","","070-4667-2088","","","경기도 용인시 처인구 고림동 761","경기도 용인시 처인구 고림로 140, 1층 일부호 (고림동)","17149","고림하나로약국","2026-01-23 18:16:52","U","2026-01-25 02:40:00","","219414.920144213","415796.274599516","71.11","20241007",
"8","약국","01_01_06_P","4800000","PHMD120144800026084000003","2014-07-01","","01","영업/정상","13","영업중","","","","","284-4859","","530-822","전라남도 목포시 상동 867번지 2호","전라남도 목포시 옥암로 101 (상동)","58662","전약국","2026-01-23 10:19:45","U","2026-01-25 02:40:00","","147386.764989365","145640.657658986","48.94","20140701",
"9","약국","01_01_06_P","3260000","PHMD120143260022084000002","2014-06-30","","01","영업/정상","13","영업중","","","","","051-253-2492","","","","부산광역시 서구 감천로 251 (암남동)","49265","건강한약국","2026-01-23 11:02:58","U","2026-01-25 02:40:00","","383750.674511452","177704.102543665","0","20140630",
"10","약국","01_01_06_P","5380000","PHMD120255380356084000009","2025-10-15","","03","폐업","03","폐업","2026-01-23","","","","055-383-7478","","","경상남도 양산시 물금읍 범어리 385-7","경상남도 양산시 물금읍 동중6길 5, 1층","50597","주차왕약국","2026-01-23 17:08:06","U","2026-01-25 02:40:00","","382341.269201837","205297.482904472","103.5","20251015",
"11","약국","01_01_06_P","5680000","PHMD120255680060084000003","2025-12-12","","01","영업/정상","13","영업중","","","","","","","","충청남도 당진시 송악읍 한진리 112-19","충청남도 당진시 송악읍 한진포구길 13, 104호","31720","한진바다약국","2026-01-23 09:57:17","U","2026-01-25 02:40:00","","180324.564578085","385165.885565026","120","20251212",
"12","약국","01_01_06_P","3990000","PHMD120203990309084000011","2020-08-31","","01","영업/정상","13","영업중","","","","","031-521-1383","","","경기도 남양주시 와부읍 덕소리 462-50 세양아르비채리버 111호","경기도 남양주시 와부읍 덕소로 73, 111호 (세양아르비채리버)","12205","밝은미소약국","2026-01-23 12:49:13","U","2026-01-25 02:40:00","","218612.70470743","453914.57624936","68.08","20200831",
"13","약국","01_01_06_P","3990000","PHMD120213990310084000009","2021-08-12","","03","폐업","03","폐업","2026-01-24","","","","031-575-1727","","","경기도 남양주시 진접읍 장현리 216-1 홈플러스","경기도 남양주시 진접읍 금강로 1447, 홈플러스 1층 일부호","12008","더하기약국","2026-01-23 11:45:35","U","2026-01-25 02:40:00","","216587.285919176","468805.572134094","31.4","20210812",
"14","약국","01_01_06_P","5670000","PHMD120205670066084000006","2020-11-12","","01","영업/정상","13","영업중","","","","","055-292-1101","","","경상남도 창원시 마산회원구 석전동 230-7","경상남도 창원시 마산회원구 석전동14길 18, 1층 (석전동)","51303","동마산봄약국","2026-01-23 17:47:12","U","2026-01-25 02:40:00","","343546.362214419","193870.725011906","72.73","20201112",
"15","약국","01_01_06_P","3780000","PHMD120173780064084000012","2017-08-16","","01","영업/정상","13","영업중","","","","","031-716-2119","","","경기도 성남시 분당구 금곡동 159 한국프라자","경기도 성남시 분당구 성남대로 170, 한국프라자 507호 (금곡동)","13618","미금스마일약국","2026-01-23 09:25:00","U","2026-01-25 02:40:00","","209631.991430699","427685.482703527","52.54","20170816",
"16","약국","01_01_06_P","3780000","PHMD120123780064084000031","2012-12-31","","01","영업/정상","13","영업중","","","","","070-8815-1626","","","경기도 성남시 분당구 삼평동 651번지 럭스타워","경기도 성남시 분당구 대왕판교로606번길 39, 럭스타워 109,110호 (삼평동)","13524","다낫는럭스타워약국","2026-01-23 13:54:04","U","2026-01-25 02:40:00","","209803.285457684","432715.116081085","47","20121231",
"17","약국","01_01_06_P","3200000","PHMD120173200033084000016","2017-07-17","","01","영업/정상","13","영업중","","","","","02-6404-1468","","","서울특별시 관악구 신림동 1634번지 17호","서울특별시 관악구 신림로 271, 1층 (신림동)","08775","메디컬우리약국","2026-01-23 15:57:38","U","2026-01-25 02:40:00","","193866.325980556","441853.034682347","76.3","20170717",
"18","약국","01_01_06_P","3040000","PHMD120123040033084000010","2012-06-29","","03","폐업","03","폐업","2026-01-17","","","","02-467-8667","","","서울특별시 광진구 화양동 11-2","서울특별시 광진구 능동로13길 19, 1층 (화양동)","05016","햇살온누리약국","2026-01-23 17:19:28","U","2026-01-25 02:40:00","","206189.569199535","448959.735473105","59.07","20120629",
"19","약국","01_01_06_P","4010000","PHMD120204010281084000011","2020-09-14","","01","영업/정상","13","영업중","","","","","0507-1432-8380","","","경기도 시흥시 배곧동 18-3 더 프리미엄 타워","경기도 시흥시 배곧5로 66-7, 더 프리미엄 타워 103호 (배곧동)","15010","배꽃온누리약국","2026-01-23 16:44:20","U","2026-01-25 02:40:00","","176434.772029146","431151.3148036","35.94","20200914",
"20","약국","01_01_06_P","3200000","PHMD120223200033084000011","2022-09-29","","01","영업/정상","13","영업중","","","","","02-867-5425","","","서울특별시 관악구 신림동 706-22 남강빌딩","서울특별시 관악구 난곡로 197, 남강빌딩 지1층 (신림동)","08858","새로이약국","2026-01-23 15:39:42","U","2026-01-25 02:40:00","","192759.647509281","441154.136417329","33.8","20220929",
"21","약국","01_01_06_P","3990000","PHMD119853990029084000001","1985-12-06","","01","영업/정상","13","영업중","","","","","031-577-1495","","","경기도 남양주시 와부읍 덕소리 462-50 세양아르비채리버 107,108호","경기도 남양주시 와부읍 덕소로 73, 107,108호 (세양아르비채리버)","12205","적십자약국","2026-01-23 12:58:45","U","2026-01-25 02:40:00","","218612.70470743","453914.57624936","90.67","19851206",
"22","약국","01_01_06_P","3180000","PHMD120153180034084000013","2015-12-14","","03","폐업","03","폐업","2026-01-23","","","","028459369","","","","서울특별시 영등포구 도림로 192 (대림동, 동성빌딩)","07423","나래약국","2026-01-23 10:59:41","U","2026-01-25 02:40:00","","191301.284742374","443775.2428814","56.82","20151214",
"23","약국","01_01_06_P","5530000","PHMD120235530506084000015","2025-09-22","","01","영업/정상","13","영업중","","","","","070-8657-0894","","","경기도 화성시 반송동 216-1 신성프라자","경기도 화성시 동탄솔빛로 44, 신성프라자 105호 (반송동)","18442","동탄새봄약국","2026-01-23 10:16:31","U","2026-01-25 02:40:00","","206408.543831306","410113.56622087","51.52","20250922",
"24","약국","01_01_06_P","3210000","PHMD120233210034084000028","2023-11-14","","01","영업/정상","13","영업중","","","","","02-575-5008","","","서울특별시 서초구 양재동 277-6 두상빌딩1층","서울특별시 서초구 언남길 87, 두상빌딩 1층 (양재동)","06775","서초스마트약국","2026-01-23 14:09:38","U","2026-01-25 02:40:00","","204014.614217485","441506.621663299","127.1","20231114",
