»ç¾÷Àå¸í,Æó¾÷ÀÏÀÚ,ÁÂÇ¥X,ÁÂÇ¥Y,µ¥ÀÌÅÍ°»½Å½ÃÁ¡,µ¥ÀÌÅÍ°»½Å±¸ºÐ,»ó¼¼¿µ¾÷»óÅÂÄÚµå,»ó¼¼¿µ¾÷»óÅÂ¸í,ÃÖÁ¾¼öÁ¤½ÃÁ¡,ÀÎÇã°¡Ãë¼ÒÀÏÀÚ,ÀÎÇã°¡ÀÏÀÚ,¼ÒÀçÁö¿ìÆí¹øÈ£,Áö¹øÁÖ¼Ò,°ü¸®¹øÈ£,°³¹æÀÚÄ¡´ÜÃ¼ÄÚµå,µµ·Î¸íÁÖ¼Ò,µµ·Î¸í¿ìÆí¹øÈ£,¿µ¾÷»óÅÂ±¸ºÐÄÚµå,¿µ¾÷»óÅÂ¸í,ÈÞ¾÷½ÃÀÛÀÏÀÚ,ÈÞ¾÷Á¾·áÀÏÀÚ,¼ÒÀçÁöÀüÈ­¹øÈ£,ÃÑ±Ô¸ð
¼¼ºìÀÏ·¹ºì³«¿øÁ¡,,198754.634182719,452404.979894277,2026-04-26 22:32:28,I,13,¿µ¾÷Áß,2023-10-27 15:13:34,,2022-02-10,,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ °æ¿îµ¿ **-* *Ãþ,PHMG120223000034047000049,3000000,"¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ÀÎ»çµ¿*±æ **, *Ãþ (°æ¿îµ¿)",03148,01,¿µ¾÷/Á¤»ó,,,02-723-0478,47.96
(ÁÖ)ºñ¿¡½º,2020-10-23,206866.808198159,455792.782633181,2026-04-26 22:32:16,I,03,Æó¾÷,2020-10-23 13:52:33,,2015-05-20,131-881,"ÁßÈ­µ¿ ***¹øÁö *È£ °­¿Àºôµù Áö*,*,*Ãþ",PHMG120153060034047000046,3060000,"¼­¿ïÆ¯º°½Ã Áß¶û±¸ µ¿ÀÏ·Î ***, ÁöÇÏ*,*,*Ãþ (ÁßÈ­µ¿)",02014,03,Æó¾÷,,,02-495-2055,
±Â¸ð´× ¸ÞµðÄ®,2015-02-06,207462.158544969,455354.185365746,2026-04-26 22:32:09,I,24,Á÷±ÇÆó¾÷,2015-02-09 09:29:32,,2011-03-02,131-876,¼­¿ïÆ¯º°½Ã Áß¶û±¸ ÁßÈ­*µ¿ ***¹øÁö *È£,PHMG120113060034047000008,3060000,¼­¿ïÆ¯º°½Ã Áß¶û±¸ »óºÀÁß¾Ó·Î*±æ ** (ÁßÈ­µ¿),,04,Ãë¼Ò/¸»¼Ò/¸¸·á/Á¤Áö/ÁßÁö,,,02-434-3051,76
GS25 Á¾·Î¼þÀÎÁ¡,2016-09-07,201960.951300031,452506.178595954,2026-04-26 22:32:17,I,03,Æó¾÷,2016-09-07 16:26:41,,2014-12-19,110-826,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ¼þÀÎµ¿ ****¹øÁö °æÀÏ¿ÀÇÇ½ºÅÚ ***È£,PHMG120143000034047000121,3000000,"¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ³­°è·Î ***, ***È£ (¼þÀÎµ¿, °æÀÏ¿ÀÇÇ½ºÅÚ)",03116,03,Æó¾÷,,,02-2253-1782,
ÁÖ½ÄÈ¸»ç ÃàÁ¦ÀÇ¸ðµç°Í,,206924.416083049,454011.120237739,2026-04-26 22:32:24,I,15,ÀüÃâ,2020-06-24 16:31:07,,2020-04-01,,¼­¿ïÆ¯º°½Ã Áß¶û±¸ ¸é¸ñµ¿ ***¹øÁö **È£,PHMG120203060034047000017,3060000,"¼­¿ïÆ¯º°½Ã Áß¶û±¸ µ¿ÀÏ·Î***±æ **-**, *Ãþ ***È£ (¸é¸ñµ¿)",02135,05,Á¦¿Ü/»èÁ¦/ÀüÃâ,,,,
¼¼ºìÀÏ·¹ºì ¸Á¿ì½á³Ê½º,2025-03-05,208267.592391698,455042.983909137,2026-04-26 22:32:26,I,03,Æó¾÷,2025-03-06 10:39:00,,2021-05-07,,¼­¿ïÆ¯º°½Ã Áß¶û±¸ ¸Á¿ìµ¿ *** ÇÑÀÏ½á³Ê½ººô¸®Á¨½Ã*´ÜÁö,PHMG120213060034047000064,3060000,"¼­¿ïÆ¯º°½Ã Áß¶û±¸ ¿ë¸¶»ê·Î***±æ *** (¸Á¿ìµ¿, ÇÑÀÏ½á³Ê½ººô¸®Á¨½Ã*´ÜÁö)",02163,03,Æó¾÷,,,,
·Ôµ¥ÇÏÀÌ¸¶Æ®(ÁÖ)»óºÀÁöÁ¡,,208453.37338563,455223.404030359,2026-04-26 22:32:02,I,13,¿µ¾÷Áß,2020-11-27 15:33:44,,2008-12-12,131-810,¼­¿ïÆ¯º°½Ã Áß¶û±¸ ¸Á¿ìº»µ¿ ***¹øÁö **È£,PHMG120083060034047000042,3060000,¼­¿ïÆ¯º°½Ã Áß¶û±¸ ¸Á¿ì·Î *** (¸Á¿ìµ¿),02086,01,¿µ¾÷/Á¤»ó,,,02-2207-8881,
·ç½Ãµå¾ØÄÚ º»Á¡,2025-05-31,206750.160791631,454573.62584679,2026-04-26 22:32:34,I,03,Æó¾÷,2025-06-09 09:51:54,,2024-06-11,,¼­¿ïÆ¯º°½Ã Áß¶û±¸ »óºÀµ¿ ***-**,PHMG120243060034047000038,3060000,"¼­¿ïÆ¯º°½Ã Áß¶û±¸ Áß¶ûÃµ·Î**±æ **, *Ãþ (»óºÀµ¿)",02121,03,Æó¾÷,,,,
°èÃø±â¿Á¼Ç,,198592.597470985,452190.992738652,2026-04-26 22:32:01,I,13,¿µ¾÷Áß,2019-05-03 13:30:15,,2005-06-08,,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ÀÎ»çµ¿ ***¹øÁö **È£ ÅÂÈ­ºôµù *Ãþ***-*È£,PHMG120053000034047000006,3000000,"¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ÀÎ»çµ¿*±æ **, ÅÂÈ­ºôµù *Ãþ ***-*È£ (ÀÎ»çµ¿)",03162,01,¿µ¾÷/Á¤»ó,,,02-732-3671,
¼øÀ½º¸Ã»±â,,199159.679411,452041.504146287,2026-04-26 22:32:17,I,13,¿µ¾÷Áß,2025-10-31 17:09:20,,2014-12-08,110-123,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ Á¾·Î*°¡ **¹øÁö,PHMG120143000034047000115,3000000,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ Á¾·Î *** (Á¾·Î*°¡),03139,01,¿µ¾÷/Á¤»ó,,,02-742-7742,
