사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,비상시설위치,시설명건물명,시설구분명,최종수정시점,인허가취소일자,인허가일자,소재지면적,지번주소,관리번호,개방자치단체코드,해제일자,도로명주소,도로명우편번호,영업상태구분코드,영업상태명
창동대동아파트,,203818.037107347,462141.800281296,2026-03-20 22:26:56,I,18,사용중,서울특별시 도봉구 창동 811 대동아파트,창동대동아파트,공공용시설,2026-03-19 14:25:46,,2016-11-01,23.86,서울특별시 도봉구 창동 811 대동아파트,3090000-E201600016,3090000,,"서울특별시 도봉구 도봉로 642-30 (창동, 대동아파트)",01397,01,영업/정상
도봉한양수자인아파트,,204136.58447783,463573.102150294,2026-03-20 22:26:56,I,18,사용중,서울특별시 도봉구 도봉동 657 도봉한양수자인,도봉한양수자인아파트,공공용시설,2026-03-19 14:26:07,,2016-11-01,23.86,서울특별시 도봉구 도봉동 657 도봉한양수자인,3090000-E201600017,3090000,,"서울특별시 도봉구 마들로 724 (도봉동, 도봉한양수자인)",01325,01,영업/정상
성원아파트,,204322.735946107,462047.520465466,2026-03-20 22:26:56,I,18,사용중,서울특별시 도봉구 창동 743-15 성원아파트,성원아파트,공공용시설,2026-03-19 14:26:23,,2016-11-01,8.58,서울특별시 도봉구 창동 743-15 성원아파트,3090000-E201600018,3090000,,"서울특별시 도봉구 마들로16길 56 (창동, 성원아파트)",01408,01,영업/정상
경원민자역사신축공사(창동역),,204138.204768094,461223.191625815,2026-03-20 22:26:56,I,18,사용중,서울특별시 도봉구 창동 135-1 창동역,경원민자역사신축공사(창동역),공공용시설,2026-03-19 14:27:45,,2016-11-01,20.98,서울특별시 도봉구 창동 135-1 창동역,3090000-E201600019,3090000,,"서울특별시 도봉구 마들로11길 77, 창동역 (창동)",01413,01,영업/정상
창동월가타워,,204258.587772043,461096.29696208,2026-03-20 22:26:56,I,18,사용중,서울특별시 도봉구 창동 7 월가타워,창동월가타워,공공용시설,2026-03-19 14:28:01,,2016-11-01,.1,서울특별시 도봉구 창동 7 월가타워,3090000-E201600020,3090000,,"서울특별시 도봉구 마들로11가길 6-25 (창동, 월가타워)",01414,01,영업/정상
쌍문역,,203023.886822597,460695.381113012,2026-03-20 22:26:56,I,18,사용중,서울특별시 도봉구 창동 659-12,쌍문역,공공용시설,2026-03-19 14:28:19,,2016-11-01,45,서울특별시 도봉구 창동 659-12,3090000-E201600021,3090000,,서울특별시 도봉구 도봉로 484 (창동),01454,01,영업/정상
(주)티지알엔,,203511.533290165,462249.755144886,2026-03-20 22:26:56,I,18,사용중,서울특별시 도봉구 방학동 676-21 SYO빌딩,(주)티지알엔,공공용시설,2026-03-19 14:28:41,,2018-01-01,.26,서울특별시 도봉구 방학동 676-21 SYO빌딩,3090000-E201800004,3090000,,"서울특별시 도봉구 방학로3길 6, SYO빌딩 (방학동)",01390,01,영업/정상
엠블램오피스텔,,204166.098619898,464463.403607965,2026-03-20 22:26:56,I,18,사용중,서울특별시 도봉구 도봉동 62-1,엠블램오피스텔,공공용시설,2026-03-19 14:28:53,,2018-01-01,5.7,서울특별시 도봉구 도봉동 62-1,3090000-E201800005,3090000,,서울특별시 도봉구 도봉로180길 38 (도봉동),01320,01,영업/정상
인터엠빌딩,,203719.070066405,462926.277853107,2026-03-20 22:26:56,I,18,사용중,서울특별시 도봉구 방학동 653-5 인터엠빌딩,인터엠빌딩,공공용시설,2026-03-19 14:29:09,,2019-01-01,27.34,서울특별시 도봉구 방학동 653-5 인터엠빌딩,3090000-E201900003,3090000,,"서울특별시 도봉구 도봉로 719, 인터엠빌딩 (방학동)",01350,01,영업/정상
백상빌딩,,204506.921108086,461239.917552563,2026-03-20 22:26:56,I,18,사용중,서울특별시 도봉구 창동 15-1 백상빌딩,백상빌딩,공공용시설,2026-03-19 14:29:23,,2019-01-01,23.86,서울특별시 도봉구 창동 15-1 백상빌딩,3090000-E201900004,3090000,,"서울특별시 도봉구 노해로 397-15, 백상빌딩 (창동)",01415,01,영업/정상
하이마트종합전자백화점,,204528.315643675,461177.27144294,2026-03-20 22:26:56,I,18,사용중,서울특별시 도봉구 창동 16-3 하이마트종합전자백화점,하이마트종합전자백화점,공공용시설,2026-03-19 14:29:37,,2019-01-01,19.09,서울특별시 도봉구 창동 16-3 하이마트종합전자백화점,3090000-E201900005,3090000,,"서울특별시 도봉구 노해로 397, 하이마트종합전자백화점 (창동)",01415,01,영업/정상
