사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,판매방식명,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
에이치(h)컴퍼니,종합몰 의류/패션/잡화/뷰티,,186509.17836371,423245.066800401,2026-05-23 03:03:03,U,01,정상영업,2026-05-22 22:35:43,,2018-04-23,,경기도 안산시 상록구 이동 ***-* ***호,2018393028730200485,인터넷,3930000,"경기도 안산시 상록구 양지편*길 **, ***호 (이동)",15489,,01,영업/정상,,,1588-8502
와이에스로지스,컴퓨터/사무용품 가구/수납용품 의류/패션/잡화/뷰티 자동차/자동차용품,2026-05-22,184720.356435118,425280.382882736,2026-05-23 03:03:03,U,03,폐업처리,2026-05-22 16:52:44,,2025-02-01,,경기도 안산시 단원구 고잔동 *** 광신연립 E동 ***호,2025393048230200618,인터넷,3930000,"경기도 안산시 단원구 적금로*길 **, E동 ***호 (고잔동, 광신연립)",15332,,03,폐업,,,
주식회사 한진엠앤에이,기타,,196999.461801061,450317.202952904,2026-05-23 03:03:03,U,01,정상영업,2026-05-22 14:20:41,,2015-10-15,,서울특별시 중구 만리동*가 **-**,2018301013030201186,기타,3010000,"서울특별시 중구 만리재로**길 **, *층 (만리동*가)",04501,,01,영업/정상,,,02-585-8164
온리아워,건강/식품,2026-05-21,,,2026-05-23 03:03:03,U,03,폐업처리,2026-05-22 14:41:28,,2025-06-01,,경기도 용인시 기흥구 마북동 *** e편한세상 구성역 플랫폼시티,2025563001830202136,인터넷,4050000,"경기도 용인시 기흥구 구성로 **, ***동 ***호 (마북동, e편한세상 구성역 플랫폼시티)",16917,,03,폐업,,,
오유니버,종합몰 의류/패션/잡화/뷰티,2025-12-31,175051.536682254,469329.561686701,2026-05-23 03:03:03,U,03,폐업처리,2026-05-22 10:03:11,,2024-01-25,,경기도 파주시 동패동 ****-* 센타프라자*,2024406050730200537,인터넷,4060000,"경기도 파주시 청석로 ***, 센타프라자* ****-A***호 (동패동)",10874,,03,폐업,,,
주식회사 쿱파트너스,종합몰 기타,2026-05-22,200706.658462318,443295.844111214,2026-05-23 03:03:03,U,05,타시군구이관,2026-05-22 13:20:54,,2016-11-15,,서울특별시 서초구 서초동 ****-*,2023321015330201203,인터넷,3210000,"서울특별시 서초구 서초대로 ***, ***호 (서초동)",06647,,05,제외/삭제/전출,,,02-569-6090
뷰티빌딩스,의류/패션/잡화/뷰티,2026-05-23,206857.022582235,416617.071549667,2026-05-23 03:03:03,U,03,폐업처리,2026-05-22 10:30:53,,2025-07-04,,경기도 수원시 영통구 영통동 ****-* 경기지방중소기업청,2025561001830200891,"TV홈쇼핑, 인터넷",3740000,"경기도 수원시 영통구 반달로 **, 경기지방중소기업청 *층 (영통동)",16705,,03,폐업,,,
샵아담(#ADAM),의류/패션/잡화/뷰티,,194344.193030158,445535.651805109,2026-05-23 03:03:03,U,01,정상영업,2026-05-22 15:07:28,,2018-09-20,,서울특별시 동작구 노량진동 ***-**,2018319015830200755,인터넷,3190000,"서울특별시 동작구 노량진로*나길 **, ***호 (노량진동)",06930,,01,영업/정상,,,
세일마트,종합몰,2026-05-21,193678.587941618,429918.680294349,2026-05-23 03:03:03,U,03,폐업처리,2026-05-22 14:41:34,,2020-03-24,,경기도 군포시 산본동 ****번지 *호,2020402010830200276,인터넷,4020000,"경기도 군포시 고산로***번길 **, ***호 (산본동)",15800,,03,폐업,,,
워크룸804호,가구/수납용품 기타,2026-05-23,195775.680587139,433506.204196091,2026-05-23 03:03:03,U,03,폐업처리,2026-05-22 11:17:30,,2021-06-11,,경기도 안양시 동안구 비산동 ****-*,2021385003730201058,인터넷,3830000,"경기도 안양시 동안구 관악대로***번길 **, ***호 (비산동)",13941,,03,폐업,,,
