사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,판매방식명,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
스푼,교육/도서/완구/오락 건강/식품,2026-04-16,197056.728931087,447077.126289262,2026-04-17 03:03:03,U,05,타시군구이관,2026-04-16 13:41:15,,2024-07-30,,서울특별시 용산구 한강로*가 **,2024302020330201034,인터넷,3020000,"서울특별시 용산구 서빙고로 **, *층 *호 용산구청년창업지원센터 (한강로*가)",04387,,05,제외/삭제/전출,,,
더 끌리는,의류/패션/잡화/뷰티,2026-04-16,248868.632768627,410321.2142845,2026-04-17 03:03:03,U,05,타시군구이관,2026-04-16 13:21:09,,2021-07-30,,경기도 여주시 가남읍 건장리 ***-**,2023570009730200237,인터넷,5700000,"경기도 여주시 가남읍 건장*길 **-**, *층",12663,,05,제외/삭제/전출,,,
뮤아,의류/패션/잡화/뷰티,2026-04-16,201760.103529334,470941.397281502,2026-04-17 03:03:03,U,03,폐업처리,2026-04-16 14:18:10,,2022-07-11,,경기도 의정부시 가능동 ***-** 스타파크빌,2022382023930200293,인터넷,3820000,"경기도 의정부시 호국로 ****, ***동 ***호 (가능동, 스타파크빌)",11619,,03,폐업,,,
세르비아컴퍼니,종합몰,2026-04-17,183515.10497574,452340.255955496,2026-04-17 03:03:03,U,03,폐업처리,2026-04-16 19:39:32,,2024-05-09,,서울특별시 강서구 방화동 ***-**,2024315020030201482,"인터넷, 기타",3150000,"서울특별시 강서구 양천로 **, ***호C**호 (방화동)",07604,,03,폐업,,,
해다름글로벌,종합몰,,212481.618347928,449133.956765955,2026-04-17 03:03:03,U,07,직권말소,2026-04-16 15:40:01,,2024-03-28,,서울특별시 강동구 천호동 **-* 선진빌딩,2024324028930200750,인터넷,3240000,"서울특별시 강동구 양재대로 ****, 선진빌딩 *층 ***-K***호 (천호동)",05314,,04,취소/말소/만료/정지/중지,,,
금무리농장,건강/식품,,276964.444310906,475232.112642243,2026-04-17 03:03:03,U,01,정상영업,2026-04-16 09:20:19,,2017-01-04,,,2017425012130200002,인터넷,4251000,강원특별자치도 홍천군 북방면 성동로 ***-**,25113,,01,영업/정상,,,033-433-8066
리인르샵,종합몰,2026-04-15,182701.032235562,425074.094925844,2026-04-17 03:03:03,U,03,폐업처리,2026-04-16 10:26:06,,2024-07-12,,경기도 안산시 단원구 초지동 *** 안산롯데캐슬더퍼스트,2024393048230204304,인터넷,3930000,"경기도 안산시 단원구 원초로 **, ***동 ****호 (초지동, 안산롯데캐슬더퍼스트)",15384,,03,폐업,,,
만키로컴퍼니,종합몰,2026-04-17,175051.536682254,469329.561686701,2026-04-17 03:03:03,U,03,폐업처리,2026-04-16 17:24:37,,2023-05-09,,경기도 파주시 동패동 ****-* 센타프라자*,2023406045930202120,인터넷,4060000,"경기도 파주시 청석로 ***, 센타프라자* ****-F**호 (동패동)",10874,,03,폐업,,,
주식회사 킬로그람밀리리터,건강/식품,,197244.100509941,449714.230334698,2026-04-17 03:03:03,U,01,정상영업,2026-04-16 13:08:18,,2024-12-19,,서울특별시 용산구 서계동 ***-*,2024302020330201583,인터넷,3020000,"서울특별시 용산구 청파로 ***, *층 (서계동)",04304,,01,영업/정상,,,
주식회사 거목인터내셔날,기타,2026-04-16,228103.7505801,409693.1500803,2026-04-17 03:03:03,U,05,타시군구이관,2026-04-16 14:32:11,,2010-03-18,,,2017562002730200063,인터넷,4050000,경기도 용인시 처인구 원삼면 생안로 **,17166,,05,제외/삭제/전출,,,031-798-8911
