건물용도명,사업장명,폐업일자,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,제작취급품목내용,시설면적,지상층수,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,주변환경명,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수
,버드뷰필름,,212828.316145801,450633.424645698,,비디오물제작업,2026-04-24 22:09:01,I,13,영업중,"홍보, 광고, 중계, 다큐멘터리, 교육, 행사 및 축제 하이라이트 영상 제작",84.91,,2026-04-21 16:32:39,,2026-04-17,,서울특별시 강동구 고덕동 *** 아남아파트 *동 ***호,CDFF1241072026000011,3240000,,"서울특별시 강동구 양재대로 ****, *동 ***호 (고덕동, 아남아파트)",05230,01,영업/정상,,,,,,
,주식회사 디지털다임,,200077.107433126,448146.970842078,,비디오물제작업,2026-04-24 22:38:39,I,13,영업중,디지털콘텐츠마케팅,32.28,,2026-04-21 13:50:10,,2026-04-21,,서울특별시 용산구 한남동 ***-***,CDFF1241072026000016,3020000,,서울특별시 용산구 대사관로**길 ** (한남동),04400,01,영업/정상,,,,02-790-7765,,
,주식회사 어반스퀘어,,202881.283050203,450779.217847607,,비디오물제작업,2026-04-24 22:08:40,I,13,영업중,"전시장, 박물관 영상",167.28,,2026-04-21 12:44:07,,2026-04-21,,서울특별시 성동구 행당동 ***-*,CDFF1241072026000030,3030000,,"서울특별시 성동구 행당로**길 *, *, *층 (행당동)",04714,01,영업/정상,,,,,,
,주식회사 춘록,,195756.365749679,451383.24486527,,비디오물제작업,2026-04-24 22:09:03,I,13,영업중,"영상 콘텐츠, 광고 영상(영화) 및 비디오물제작업, 광고 디자인, 방송 영상 제작",16.53,,2026-04-22 13:29:03,,2026-04-22,,서울특별시 서대문구 북아현동 ***-** 혜전빌딩 지층,CDFF1241072026000010,3120000,,"서울특별시 서대문구 북아현로 **, 혜전빌딩 지층 (북아현동)",03761,01,영업/정상,,,,,,
,(주) 캐치미디어,,202601.794463486,442612.039801165,,비디오물제작업,2026-04-24 22:08:48,I,13,영업중,"웹드라마, 유튜브, 독립, 콘텐츠미디어",1.65,,2026-04-22 16:15:17,,2026-04-22,,서울특별시 서초구 서초동 ****-** 서현빌딩,CDFF1241072026000033,3210000,,"서울특별시 서초구 강남대로**길 **-**, 서현빌딩 *층 에이***호 (서초동)",06734,01,영업/정상,,,,,,
,코리아에이원,,195267.783521371,455369.311721128,,비디오물제작업,2026-04-24 22:09:03,I,13,영업중,온라인 플랫폼용 영상콘텐츠 및 광고영상 제작,59.99,,2026-04-21 16:17:34,,2026-04-21,,서울특별시 서대문구 홍은동 **-*** 서대문센트럴아이파크 ***동 ****호,CDFF1241072026000009,3120000,,"서울특별시 서대문구 홍은중앙로**길 **, 서대문센트럴아이파크 ***동 ****호 (홍은동)",03603,01,영업/정상,,,,,,
,나우무비 주식회사,,193383.415924936,450602.382290296,,비디오물제작업,2026-04-24 22:09:32,I,13,영업중,영상 및 비디오물,3.42,,2026-04-21 10:14:18,,2026-04-21,,서울특별시 마포구 동교동 ***-* LC TOWER ***호,CDFF1241072026000040,3130000,,"서울특별시 마포구 양화로 ***, LC TOWER *층 ***호 (동교동)",04051,01,영업/정상,,,,,,
,안전이음(주),,189930.50790426,441616.460710064,,비디오물제작업,2026-04-24 22:08:37,I,13,영업중,"재난 및 안전교육 영상물, 홍보 영상물 제작",33.1,,2026-04-21 11:12:02,,2026-04-21,,서울특별시 금천구 가산동 **-**,CDFF1241072026000017,3170000,,"서울특별시 금천구 디지털로 ***, A동 SA***-***호 (가산동)",08513,01,영업/정상,,,,,,
,주식회사 큰미르,,191545.954709646,446994.897418443,,비디오물제작업,2026-04-24 22:09:05,I,13,영업중,"방송프로그램, 콘텐츠(텔레비전, 온라인, 영화, 교육영상 등)",66.99,,2026-04-21 13:17:17,,2026-04-21,,서울특별시 영등포구 영등포동*가 **-*,CDFF1241072026000025,3180000,,"서울특별시 영등포구 영중로**길 *, 지하*층 (영등포동*가)",07245,01,영업/정상,,,,,,
,주식회사 비롯시앤엠,,202959.913735133,444005.824784709,,비디오물제작업,2026-04-24 22:11:10,I,13,영업중,"광고,홍보 및 행사영상 등",198.3,,2026-04-21 11:11:11,,2025-06-05,,서울특별시 강남구 역삼동 ***-** 메가존빌딩,CDFF1241072026000085,3220000,,"서울특별시 강남구 논현로**길 **, 메가존빌딩 **층 (역삼동)",06235,01,영업/정상,,,,,,
,스튜디오 레이수,,201787.943575607,443613.612488653,,비디오물제작업,2026-04-24 22:08:48,I,13,영업중,미디어콘텐츠창작업/광고 영화 및 비디오물 제작업,84.98,,2026-04-22 17:14:05,,2026-04-22,,서울특별시 서초구 서초동 ****-* 서초한일아파트,CDFF1241072026000034,3210000,,"서울특별시 서초구 서초대로**길 **, 서초한일아파트 ***동 *층 ***호 (서초동)",06631,01,영업/정상,,,,,,
,휴마인 주식회사,,203829.552782693,442412.918318588,,비디오물제작업,2026-04-24 22:11:10,I,13,영업중,"교육, 홍보영상",159.92,,2026-04-22 11:05:44,,2026-04-22,,서울특별시 강남구 도곡동 ***-*,CDFF1241072026000086,3220000,,"서울특별시 강남구 논현로**길 **, *층 (도곡동)",06301,01,영업/정상,,,,,,
,커크프로덕션,,,,,비디오물제작업,2026-04-24 21:08:30,I,13,영업중,비디오물,0,,2026-04-22 18:01:26,,2026-04-22,,경기도 부천시 원미구 춘의동 **-* 부천 R&D 종합센터,CDFF1241072026000016,3860000,,"경기도 부천시 원미구 소사로 ***, ***호 (춘의동)",14560,01,영업/정상,,,,,,
,이음(EUM),,376606.933136451,409161.524489915,,비디오물제작업,2026-04-24 21:08:52,I,13,영업중,영상,55,,2026-04-22 17:27:43,,2026-04-22,,강원특별자치도 태백시 황지동 **-***,CDFF1241072026000001,4221000,,"강원특별자치도 태백시 문화로*길 **, *층 (황지동)",26017,01,영업/정상,,,,,,
,(주)로이테미디어,,189031.670933573,442239.943267799,,비디오물제작업,2026-04-24 22:08:37,I,13,영업중,비디오물,225.3,,2026-04-22 10:31:39,,2016-04-14,,서울특별시 금천구 가산동 ***-**,CDFF1241072026000012,3170000,,"서울특별시 금천구 가산디지털*로 ***-**, *층 ***-*호 (가산동)",08504,01,영업/정상,,,,,,
