자동확산소화기대수,건물형태구분명,사업장명,조식제공여부,일산화탄소감지기대수,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,완강기대수,상세영업상태코드,상세영업상태명,피난구유도등개수,유도표지개수,소화기개수,가스누설경보기대수,객실수,주택면적,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,관리번호,개방자치단체코드,휴대용비상조명등대수,방면적비율,도로명주소,도로명우편번호,화장실수,화장실종류명,영업상태구분코드,영업상태명,단독경보형감지기개수,휴업시작일자,휴업종료일자,소재지전화번호,용도지역,오수처리시설용량
1,,대부도 세비아 풀빌라,,1,,166660.109353004,414701.241165683,2026-04-24 21:39:56,I,0,1,정상,2,0,2,1,3,229.68,2026-04-21 13:48:06,2017-11-17,331.4,425-310,경기도 안산시 단원구 선감동 685번지 6호,AGCV039300002019000012,3930000,2,,경기도 안산시 단원구 참살이번영길 6 (선감동),15651,,,01,영업/정상,2,,,,자연녹지지역,
0,,이야기가있는바다,,0,2026-04-23,160308.701733414,420047.778284719,2026-04-24 03:03:03,U,0,3,폐업,0,0,1,0,7,135.85,2026-04-23 15:20:18,2008-11-14,768,425-330,경기도 안산시 단원구 대부북동 1870-83,AGCV039300002008000006,3930000,0,,경기도 안산시 단원구 구봉타운길 55 (대부북동),15639,,,03,폐업,1,,,032-881-4141,생산녹지지역,
1,,더블나인하우스,,1,,228756.024934669,412253.334188717,2026-04-24 21:40:01,I,0,1,정상,3,3,3,1,2,28.5,2026-04-21 11:02:36,2024-01-25,666,449-871,경기도 용인시 처인구 원삼면 좌항리 1-99,AGCV040500002024000002,4050000,3,,경기도 용인시 처인구 원삼면 죽양대로1980번길 38-1,17163,1,,01,영업/정상,1,,,,,2
1,,숲속의안뜰,,1,,227291.97118388,409063.463148313,2026-04-24 21:40:01,I,1,1,정상,1,1,1,1,,,2026-04-21 13:45:17,2013-06-27,,449-872,경기도 용인시 처인구 원삼면 사암리 82-1,AGCV040500002013000006,4050000,1,,경기도 용인시 처인구 원삼면 원양로 250-23,17167,,,01,영업/정상,1,,,,,
1,,루트청평,,1,,238197.955802094,477123.353677507,2026-04-24 21:09:51,I,0,1,정상,0,1,2,1,1,126.11,2026-04-22 15:26:02,2016-07-04,711,477-814,경기도 가평군 청평면 상천리 783-9,AGCV041600002016000046,4160000,1,126,경기도 가평군 청평면 수리재길 407-93,12449,3,,01,영업/정상,3,,,,계획관리지역,
2,,가평해마루,,2,2026-04-21,233093.988872972,472520.637774131,2026-04-24 21:09:51,I,0,3,폐업,0,4,1,1,,148.6,2026-04-22 13:03:45,2025-10-01,903,,,AGCV041600002025000071,4160000,4,149,경기도 가평군 상면 임초밤안골로 119-153,12447,,,03,폐업,4,,,,계획관리지역,5
1,,어싱사계,,1,,247648.549199422,440104.879012419,2026-04-24 21:40:25,I,0,1,정상,0,1,3,1,1,34.32,2026-04-21 16:13:31,2024-12-03,182,476-892,경기도 양평군 개군면 공세리 160-2,AGCV041700002024000085,4170000,1,34,경기도 양평군 개군면 공서울길88번길 63-5,12566,2,,01,영업/정상,4,,,,보전관리지역,
0,,버선발,,0,2026-04-22,366798.737827623,478899.766342412,2026-04-24 21:12:43,I,0,3,폐업,0,2,2,0,2,224.57,2026-04-22 16:25:54,2020-05-15,896,,강원특별자치도 강릉시 저동 64-6,AGCV042010002020000062,4201000,2,225,강원특별자치도 강릉시 저동골길 25 (저동),25461,4,,03,폐업,6,,,,계획관리지역,
1,,솔향집,,1,,362251.116142197,483808.292725373,2026-04-24 03:03:03,U,0,1,정상,0,1,2,1,1,133.9,2026-04-23 16:38:10,2024-06-04,420,,강원특별자치도 강릉시 사천면 판교리 644-6,AGCV042010002024000050,4201000,1,134,강원특별자치도 강릉시 사천면 조부동길 25-28,25435,2,,01,영업/정상,1,,,,계획관리지역,
0,,오크포레스트,,0,2013-10-20,261036.573015374,463980.051051568,2026-04-24 03:03:03,U,0,3,폐업,0,0,5,0,5,197.02,2026-04-23 14:18:22,2006-05-09,965,,강원특별자치도 홍천군 서면 팔봉리 산 263,AGCV042510002020000132,4251000,0,151,강원특별자치도 홍천군 서면 한치골길 751-34,25101,5,,03,폐업,6,,,033-435-1745,관리지역,6
0,,배건너는집,,0,2026-04-22,338711.418024711,419492.544492732,2026-04-24 21:09:52,I,0,3,폐업,0,0,2,0,3,90,2026-04-22 17:47:35,2009-11-12,177.8,,강원특별자치도 영월군 영월읍 문산리 161번지,AGCV042710002019000068,4271000,0,,강원특별자치도 영월군 영월읍 가정마을길 14,26221,,,03,폐업,4,,,,계획관리,
1,,젊은달,,1,,312474.675639868,429983.701725305,2026-04-24 21:09:52,I,0,1,정상,0,4,6,1,2,218.6,2026-04-22 11:38:56,2025-10-28,1495,,강원특별자치도 영월군 무릉도원면 법흥리 516,AGCV042710002025000026,4271000,4,,강원특별자치도 영월군 무릉도원면 무릉법흥로 1231-13,26201,2,,01,영업/정상,5,,,,계획관리지역,
2,,영월리버사이드,,2,,325626.373171779,412323.016548155,2026-04-24 21:09:52,I,0,1,정상,0,3,5,2,2,220.67,2026-04-22 18:06:37,2021-01-07,826,,강원특별자치도 영월군 남면 북쌍리 150-4,AGCV042710002021000001,4271000,4,221,강원특별자치도 영월군 남면 문개실길 28-31,26215,4,,01,영업/정상,5,,,,계획관리,12
0,,몰운대농원쉼터민박,,0,2026-04-22,360573.749859,424986.905823274,2026-04-24 21:09:53,I,0,3,폐업,0,0,0,0,4,256.02,2026-04-22 14:04:19,2006-04-21,660,,강원특별자치도 정선군 화암면 몰운리 262-5,AGCV042910002006000020,4291000,0,256,강원특별자치도 정선군 화암면 소금강로 1688,26117,5,,03,폐업,0,,,,계획관리,
