사업장명,폐업일자,좌표X,좌표Y,민원종류명,데이터갱신시점,데이터갱신구분,지정일자,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
눈편안세상,2026-04-24,195421.126969389,455302.937994473,제7조의3제2항에따른경우,2026-04-24 22:26:38,I,2020-07-21,2,폐업처리,2026-04-21 09:58:34,,2020-07-21,,서울특별시 서대문구 홍은동 9-59,2020312019205600029,3120000,"서울특별시 서대문구 홍은중앙로 108-1, 1층 (홍은동)",03605,03,폐업,,,
씨유 하중성원,,182375.272176325,432934.893191235,제7조의3제2항에따른경우,2026-04-24 21:56:34,I,2021-11-09,6,영업정지,2026-04-21 11:13:35,,2021-11-09,,경기도 시흥시 하중동 827 성원아파트,2021401031705600156,4010000,"경기도 시흥시 하중로 135, 성원아파트 상가동 105,106,107호 (하중동)",14974,04,취소/말소/만료/정지/중지,2026-04-20,2026-04-27,
지에스(GS)25포천호국로점,2026-04-23,221028.175974293,494619.994406354,제7조의3제2항에따른경우,2026-04-24 03:03:03,U,2021-03-05,2,폐업처리,2026-04-23 14:52:39,,2021-03-05,,경기도 포천시 신북면 만세교리 264-8,2021560017005600008,5600000,경기도 포천시 신북면 호국로 2318,11139,03,폐업,,,
용미식품,2026-04-21,196883.634428259,449781.89747561,제7조의3제2항에따른경우,2026-04-24 22:56:32,I,2022-01-28,2,폐업처리,2026-04-21 13:38:27,,2022-01-28,,서울특별시 용산구 청파동1가 1-113,2022302015005600006,3020000,서울특별시 용산구 효창원로104길 34(청파동1가),04304,03,폐업,,,
롯데쇼핑(주) 롯데슈퍼정릉점,,201548.495615664,455659.81785175,2009년11월법개정전자료,2026-04-24 03:03:03,U,2009-05-27,0,정상영업,2026-04-23 11:05:16,,2009-05-27,136-101,"서울특별시 성북구 정릉1동 1034번지 길음뉴타운 10단지 상가동 제지1층 117,118,119,120,126호",2009307013405600049,3070000,"서울특별시 성북구 정릉로 307 (정릉동,길음뉴타운 10단지 상가동 제지1층 117,118,119,120,126호)",,01,영업/정상,,,02-914-5601
스페이스,,,,제7조의3제2항에따른경우,2026-04-24 21:56:31,I,2021-04-29,0,정상영업,2026-04-22 13:20:20,,2021-04-29,,경기도 안산시 상록구 건건동 995 반월역 동문 디 이스트,2021555000205600031,3930000,"경기도 안산시 상록구 건건1길 16, 101호 (건건동, 반월역 동문 디 이스트)",15521,01,영업/정상,,,
세븐일레븐 정왕세일점,2026-04-22,177712.225522031,426471.082321077,제7조의3제2항에따른경우,2026-04-24 21:56:34,I,2018-12-13,2,폐업처리,2026-04-22 17:48:46,,2018-12-13,,경기도 시흥시 정왕동 1416번지,2018401031705600030,4010000,"경기도 시흥시 정왕대로337번안길 2, 1층 102호 (정왕동)",15059,03,폐업,,,
씨유 의왕백운호수점,2026-04-21,200201.776292564,430023.310362886,제7조의3제2항에따른경우,2026-04-24 21:57:34,I,2022-11-21,2,폐업처리,2026-04-21 15:02:31,,2022-11-21,,경기도 의왕시 학의동 1111-1,2022403021505600027,4030000,"경기도 의왕시 백운로 370, 1층 (학의동)",16016,03,폐업,,,
(주)코리아세븐 파주우미린점,,175831.0655895,470235.032372188,제7조의3제2항에따른경우,2026-04-24 21:59:24,I,2019-04-19,0,정상영업,2026-04-21 13:19:43,,2019-04-19,,경기도 파주시 다율동 1040 해오름마을11단지 우미린 더퍼스트,2019406038105600042,4060000,"경기도 파주시 해올로 11, 상가1동 103, 104호 (다율동, 해오름마을11단지 우미린 더퍼스트)",10865,01,영업/정상,,,
CU용인유림점,,219168.859272634,414969.162313909,제7조의3제2항에따른경우,2026-04-24 03:03:03,U,2022-08-03,6,영업정지,2026-04-23 09:18:23,,2022-08-03,,경기도 용인시 처인구 고림동 797-27 통통치킨,2022562002705600054,4050000,"경기도 용인시 처인구 고진로59번길 2, 1층 (고림동)",17151,04,취소/말소/만료/정지/중지,2023-07-17,2023-08-16,
주식회사 윈플러스마트동부 호매실점,,194823.659987977,419044.695103539,제7조의3제2항에따른경우,2026-04-24 21:56:34,I,2025-04-14,0,정상영업,2026-04-22 17:54:17,,2025-04-14,,경기도 수원시 권선구 금곡동 1088,2025376003405600011,3740000,경기도 수원시 권선구 금곡로118번길 10-31 (금곡동),16388,01,영업/정상,,,031-292-1113
온누리유통,,190683.552008711,444381.312025757,2009년11월법개정전자료,2026-04-24 22:28:15,I,2009-10-06,3,직권취소,2026-04-21 13:21:14,2026-04-21,2009-10-06,150-816,서울특별시 영등포구 대림3동 786번지 2호,2009318011705600160,3180000,서울특별시 영등포구 대림로43길 7 (대림동),,04,취소/말소/만료/정지/중지,,,
신한매점,2026-04-21,190555.768991595,446698.814322782,2009년11월법개정전자료,2026-04-24 22:28:15,I,2000-01-11,2,폐업처리,2026-04-21 14:11:08,,2000-01-11,,서울특별시 영등포구 당산동2가 30번지 2   호,2001318007605600744,3180000,서울특별시 영등포구 영등포로 109 (당산동2가),,03,폐업,,,02-1111-1111
씨유(CU) 뉴수원농수산물점,,202944.150030107,417061.265798178,제7조의3제2항에따른경우,2026-04-24 21:56:34,I,2021-07-16,0,정상영업,2026-04-21 16:34:18,,2021-07-16,,경기도 수원시 권선구 권선동 1230,2021376003405600047,3740000,"경기도 수원시 권선구 권중로15번길 22, 1층 일부호 (권선동)",16563,01,영업/정상,,,
지에스25 은계유테라스점,,182530.648419537,437247.010006635,제7조의3제2항에따른경우,2026-04-24 03:03:03,U,2023-04-20,0,정상영업,2026-04-23 17:59:23,,2023-04-20,,경기도 시흥시 은행동 646-9 은계 유테라스,2023401031705600057,4010000,"경기도 시흥시 은계번영길 21, 은계 유테라스 113호 (은행동)",14922,01,영업/정상,,,
