사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,관리번호,개방자치단체코드,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
무악재약국,,,,2026-04-24 22:02:26,I,0000,정상,2026-04-22 09:52:03,,2026-04-22,,,서울특별시 서대문구 홍제동 478 서대문푸르지오센트럴파크아파트,312000001120260005,3120000,000,"서울특별시 서대문구 통일로 339, 상가121동 B216호 (홍제동, 서대문푸르지오센트럴파크아파트)",03731,,01,영업/정상,,,
양재참약국,,203106.455386229,442342.803652458,2026-04-24 22:02:17,I,0000,정상,2026-04-22 09:10:47,,2026-04-22,,,서울특별시 서초구 양재동 13-7 구구빌딩,321000001120260007,3210000,000,"서울특별시 서초구 강남대로 214, 구구빌딩 1층 101호 (양재동)",06736,,01,영업/정상,,,
치유약국,,187753.34,421342.35,2026-04-24 21:32:19,I,0000,정상,2026-04-22 15:21:25,,2026-04-22,,,경기도 안산시 상록구 본오동 880-14 우성프라자,393000001120260012,3930000,000,"경기도 안산시 상록구 샘골로 113, 우성프라자 203호 (본오동)",15540,,01,영업/정상,,,
수약국,,204857.220307004,456595.055195377,2026-04-24 22:02:17,I,0000,정상,2026-04-23 09:10:03,,2026-04-23,,,서울특별시 성북구 장위동 64-91 우성빌딩,307000001120260004,3070000,000,"서울특별시 성북구 돌곶이로 97, 우성빌딩 1층 4호 (장위동)",02771,,01,영업/정상,,,
정다운온누리약국,,192533.245686036,457523.059641315,2026-04-24 22:32:20,I,0000,정상,2026-04-23 10:52:32,,2026-04-23,,,서울특별시 은평구 갈현동 451-1 1층,311000001120260011,3110000,000,"서울특별시 은평구 갈현로 260, 1층 (갈현동)",03331,,01,영업/정상,,,
본365약국,,211425.537822823,434474.106083114,2026-04-24 21:32:24,I,0000,정상,2026-04-23 14:45:36,,2026-04-23,,,경기도 성남시 분당구 야탑동 361-5 야탑 대덕프라자 211호,378000001120260015,3780000,000,"경기도 성남시 분당구 성남대로926번길 6, 야탑 대덕프라자 2층 211호 (야탑동)",13506,,01,영업/정상,,,
일층약국,,218209.54169655,414813.228004699,2026-04-24 21:32:39,I,0000,정상,2026-04-23 10:17:28,,2026-04-23,65.52,,경기도 용인시 처인구 김량장동 301-3,562000001120260006,4050000,000,"경기도 용인시 처인구 금령로 86, 118, 119호 (김량장동)",17051,,01,영업/정상,,,031-328-6412
미소약국,,237740.291369619,397216.757948547,2026-04-24 21:32:18,I,0000,정상,2026-04-23 17:00:03,,2026-04-23,,,경기도 안성시 죽산면 죽산리 492,408000001120260003,4080000,000,경기도 안성시 죽산면 죽주로 271,17519,,01,영업/정상,,,031-676-0711
자연약국,,188954.524397407,446824.338404844,2026-04-24 22:02:19,I,0000,정상,2026-04-21 17:36:29,,2026-04-21,,,서울특별시 양천구 목동 404-156 대경프라자,314000001120260005,3140000,000,"서울특별시 양천구 신목로 102, 대경프라자 104호 (목동)",08007,,01,영업/정상,,,
르엘센트럴약국,,209393.076054654,446147.977949052,2026-04-24 22:02:18,I,0000,정상,2026-04-21 14:55:00,,2026-04-21,,,서울특별시 송파구 신천동 17-6 잠실르엘상가동 2층 219호,323000001120260012,3230000,000,"서울특별시 송파구 올림픽로 329, 잠실르엘상가동 2층 219호 (신천동)",05509,,01,영업/정상,,,
천사약국,2026-04-04,203161.490165952,452794.8079147,2026-04-24 22:02:18,I,0002,폐업,2026-04-21 13:48:44,,2023-09-12,,,서울특별시 동대문구 용두동 52-8,305000001120230014,3050000,000,"서울특별시 동대문구 왕산로26길 13, 1층 (용두동)",02566,,03,폐업,,,
힐링약국,2026-04-22,210969.894988622,444593.375332437,2026-04-24 03:03:03,U,0002,폐업,2026-04-23 10:35:54,,2025-09-03,,,서울특별시 송파구 가락동 3-3 1층,323000001120250025,3230000,000,"서울특별시 송파구 오금로36길 4-17, 1층 (가락동)",05700,,03,폐업,,,
엔터약국,2026-04-20,203772.831832169,470619.109108938,2026-04-24 03:03:03,U,0002,폐업,2026-04-23 10:03:57,,2025-12-04,,,경기도 의정부시 의정부동 494 센트럴타워,382000001120250016,3820000,000,"경기도 의정부시 시민로 80, 센트럴타워 (의정부동)",11651,,03,폐업,,,031-870-2255
드림약국,2026-04-23,204519.411004897,456418.703834684,2026-04-24 03:03:03,U,0002,폐업,2026-04-23 09:35:54,,2024-04-26,,,서울특별시 성북구 장위동 66-309,307000001120240008,3070000,000,서울특별시 성북구 돌곶이로27길 79 (장위동),02771,,03,폐업,,,02-916-6222
