건축연면적,건물용도명,사업장명,회의실별동시수용인원,폐업일자,자본금,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,영문상호주소,영문상호명,제작취급품목내용,시설면적,시설규모,지상층수,객실수,보험시작일자,보험종료일자,보험기관명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,좌석수,무대면적,주변환경명,기념품종류,휴업시작일자,휴업종료일자,소재지전화번호,총층수,관광숙박업상세명,지하층수,선박척수,선박제원,선박총톤수
,,에이치 호스텔,,,50000000,204219.516378396,452430.518547191,,관광숙박업,2026-04-24 22:09:09,I,13,영업중,,,,171.04,171,4,,,,,2026-04-22 13:10:03,,2026-04-08,,서울특별시 동대문구 답십리동 472-46,CDFI2260032026000001,3050000,일반주거지역,"서울특별시 동대문구 서울시립대로4길 35, 3층 (답십리동)",02595,01,영업/정상,,,,,,,,,호스텔업,1,,,
,,룩앤스테이,,,,193031.771142009,450456.462818787,,관광숙박업,2026-04-24 22:09:43,I,13,영업중,HOSTEL BUSINESS,LOOK N STAY,,130.86,131,,6,,,,2026-04-21 17:08:22,,2026-04-07,,서울특별시 마포구 동교동 161-10,CDFI2260032026000008,3130000,근린상업지역,"서울특별시 마포구 월드컵북로2길 19, 8층 (동교동)",03995,01,영업/정상,,,,,,,,,호스텔업,,,,
257,숙박시설,로와 스테이 군자,,,30000000,206458.372484975,450629.308196297,,관광숙박업,2026-04-24 22:09:19,I,13,영업중,,,,257.1,257,,7,,,,2026-04-21 14:05:41,,2026-04-17,,서울특별시 광진구 군자동 465-10 1~4층,CDFI2260032026000002,3040000,일반주거지역,"서울특별시 광진구 천호대로102길 25, 1~4층 (군자동)",04994,01,영업/정상,,,,,,,,4,호스텔업,,,,
2145,,레이지큐브,,,,193015.548461056,450448.445879387,,관광숙박업,2026-04-24 22:09:43,I,13,영업중,HOSTEL BUSINESS,Lazy cube,,355.64,356,,2,,,,2026-04-22 14:28:52,,2026-04-22,,서울특별시 마포구 동교동 161-3 7-8층,CDFI2260032026000009,3130000,근린상업지역,"서울특별시 마포구 동교로 178, 7-8층 (동교동)",03995,01,영업/정상,,,,,,,,,호스텔업,,,,
,,코스모하버 홍대,,,,192721.261485839,450003.219247786,,관광숙박업,2026-04-24 22:09:43,I,13,영업중,HOSTEL BUSINESS,COSMOHARBOR Hongdae,,490.05,490,5,8,,,,2026-04-21 17:04:01,,2026-03-19,,서울특별시 마포구 서교동 373-2,CDFI2260032026000004,3130000,준주거지역,서울특별시 마포구 잔다리로 49 (서교동),04043,01,영업/정상,,,,,,,,6,호스텔업,1,,,
,,스테이히어어게인,,,,193031.771142009,450456.462818787,,관광숙박업,2026-04-24 22:09:43,I,13,영업중,HOSTEL BUSINESS,"STAY HERE, AGAIN",,261.72,262,,6,,,,2026-04-21 17:05:27,,2026-03-19,,서울특별시 마포구 동교동 161-10,CDFI2260032026000005,3130000,근린상업지역,서울특별시 마포구 월드컵북로2길 19 (동교동),03995,01,영업/정상,,,,,,,,,호스텔업,,,,
,,유스테이 호스텔 가산,,,,190098.918650186,441873.000933179,,관광숙박업,2026-04-24 22:09:06,I,13,영업중,,,,174.21,174,3,10,,,,2026-04-22 09:33:06,,2026-03-11,,서울특별시 금천구 가산동 139-18,CDFI2260032026000001,3170000,일반상업지역,"서울특별시 금천구 디지털로11길 8, 3층 (가산동)",08512,01,영업/정상,,,,,,,,,호스텔업,,,,
,,코다 호스텔,,,50000000,205395.213783532,448617.77773105,,관광숙박업,2026-04-24 22:08:45,I,13,영업중,,,,97.96,98,,,,,,2026-04-23 16:38:44,,2026-04-23,,서울특별시 성동구 성수동2가 250-51,CDFI2260032026000005,3030000,,"서울특별시 성동구 동일로 75-33, 2층 (성수동2가)",04786,01,영업/정상,,,,,,,,2,호스텔업,,,,
,,코다 호스텔#2,,,50000000,205395.213783532,448617.77773105,,관광숙박업,2026-04-24 22:08:45,I,13,영업중,,,,97.96,98,,,,,,2026-04-23 16:40:27,,2026-04-23,,서울특별시 성동구 성수동2가 250-51,CDFI2260032026000006,3030000,,"서울특별시 성동구 동일로 75-33, 3층 (성수동2가)",04786,01,영업/정상,,,,,,,,3,호스텔업,,,,
,숙박시설,STAY On-A,,,165000000,193359.00888808,442512.948972322,,관광숙박업,2026-04-24 22:09:37,I,13,영업중,,,,166.81,167,4,,,,,2026-04-23 10:56:54,,2026-04-23,,서울특별시 관악구 신림동 1433-169,CDFI2260032026000001,3200000,준주거지역,서울특별시 관악구 관천로 62 (신림동),08759,01,영업/정상,,,,,,,,4,호스텔업,1,,,
,근린생활시설,오스텔로마레(OstelloMaree),,,389000000,201437.049312333,445538.593786956,,관광숙박업,2026-04-24 22:08:58,I,13,영업중,,,,336.5,337,5,,,,,2026-04-23 14:35:35,,2026-04-23,,서울특별시 서초구 잠원동 34-13,CDFI2260032026000002,3210000,일반주거지역,"서울특별시 서초구 강남대로95길 69, 오스텔로마레 (잠원동)",06529,01,영업/정상,,,주택가주변,,,,,5,호스텔업,1,,,
,숙박시설,포치 호스텔,,,230000000,194440.82868746,450426.983897449,,관광숙박업,2026-04-24 22:09:30,I,13,영업중,,,,214.62,215,5,,,,,2026-04-21 16:15:01,,2026-04-21,,서울특별시 서대문구 창천동 29-63 도아빌딩,CDFI2260032026000002,3120000,일반상업지역,"서울특별시 서대문구 연세로2길 17, 도아빌딩 3~5층 (창천동)",03779,01,영업/정상,,,기타,,,,,6,호스텔업,1,,,
