사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호,총규모
(주)피에스메디칼,2026-04-22,209140.885315651,446042.592367722,2026-04-24 22:01:45,I,03,폐업,2026-04-22 14:50:29,,2025-06-04,,서울특별시 송파구 신천동 **-* 한신잠실코아,PHMG120253230034047000111,3230000,"서울특별시 송파구 올림픽로**가길 **, ****호 (신천동, 한신잠실코아)",05510,03,폐업,,,,
아가방갤러리,2026-04-21,203790.013568785,462495.417040876,2026-04-24 22:01:45,I,03,폐업,2026-04-22 09:37:20,,2011-07-05,132-854,서울특별시 도봉구 방학*동 ***번지 *호 홈플러스내 *층,PHMG120113090033047000030,3090000,"서울특별시 도봉구 도봉로 ***, *층 (방학동, 홈플러스)",01334,03,폐업,,,,
씨유 이천양우점,2026-04-22,240043.880451543,419398.105400052,2026-04-24 21:31:48,I,03,폐업,2026-04-22 13:08:09,,2022-07-13,,"경기도 이천시 안흥동 *** 양우내안애 클래스*** ***,***호",PHMG120224070023047000179,4070000,"경기도 이천시 애련정로 **-**, 양우내안애 클래스*** ***,***호 (안흥동)",17372,03,폐업,,,,3.3
에스엠메디컬,,189133.785005948,444562.755976432,2026-04-24 22:01:12,I,15,전출,2026-04-21 15:17:47,,2022-05-16,,서울특별시 구로구 구로동 ***-* 구로기계공구상가,PHMG120223160034047000205,3160000,"서울특별시 구로구 구로중앙로 ***, 구로기계공구상가 D블럭 **동 ***호 (구로동)",08212,05,제외/삭제/전출,,,,
텔레플렉스코리아(유),,197554.559528663,450865.625894953,2026-04-24 22:31:50,I,15,전출,2026-04-22 17:13:12,,2015-06-23,,서울특별시 중구 봉래동*가 **번지 HSBC빌딩,PHMG120153010033047000151,3010000,"서울특별시 중구 칠패로 **, **층 (봉래동*가)",04511,05,제외/삭제/전출,,,02-6291-3423,
웨이브히어링 스타키보청기 도봉점,,204263.706546457,461207.244729609,2026-04-24 03:03:03,U,13,영업중,2026-04-23 14:04:35,,2018-07-04,,서울특별시 도봉구 창동 *번지 *호 *층 *호,PHMG120183090033047000018,3090000,"서울특별시 도봉구 마들로**길 **, *층 *호 (창동)",01414,01,영업/정상,,,02-997-1580,
티앤디메디칼,,210252.165477788,447898.150759337,2026-04-24 03:03:03,U,13,영업중,2026-04-23 10:40:35,,2016-01-21,,서울특별시 송파구 풍납동 ***번지 **호,PHMG120163230034047000009,3230000,"서울특별시 송파구 풍성로**길 **, 지하*층 ***호 (풍납동)",05533,01,영업/정상,,,02-420-7490,
씨에스피주식회사,2026-04-16,179453.275359905,467558.444803112,2026-04-24 21:31:48,I,03,폐업,2026-04-22 09:16:21,,2020-07-23,,경기도 파주시 야당동 ***-**,PHMG120214060023047000025,4060000,"경기도 파주시 번뛰기길 **, ***호 (야당동)",10909,03,폐업,,,,35.71
주식회사 헬로,,212978.137709539,444300.917646975,2026-04-24 03:03:03,U,13,영업중,2026-04-23 14:16:03,,2020-04-21,,서울특별시 송파구 마천동 **번지 *호 대우빌딩,PHMG120203230034047000072,3230000,"서울특별시 송파구 거마로 **, 대우빌딩 *층 (마천동)",05734,01,영업/정상,,,02-400-9961,
지에스(GS)25 구의무학점,2026-04-20,207473.281996522,448719.730917125,2026-04-24 22:01:45,I,03,폐업,2026-04-21 13:34:50,,2022-03-23,,서울특별시 광진구 구의동 ***-**,PHMG120223040033047000110,3040000,"서울특별시 광진구 아차산로**길 **, *층 (구의동)",05040,03,폐업,,,,
