영업장주변구분명,건물소유구분명,사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,자가,숲에서,,180967.416219354,430528.266185406,2026-04-24 03:03:03,U,01,영업,0,0,0,0,,,,0,,2026-04-23 11:07:05,2023-09-25,107.00,429-430,경기도 시흥시 장곡동 ***-*,N,,4010000-134-2023-00296,,4010000,"경기도 시흥시 노루우물길 *, *층 일부호 (장곡동)",15002,01,영업/정상,영업장판매,,,,
,,부발농협 하나로마트,2026-04-21,243253.882512166,420523.129944466,2026-04-24 21:43:49,I,02,폐업,0,0,0,0,,,,0,,2026-04-21 13:56:42,2004-06-18,,467-863,경기도 이천시 부발읍 무촌리 ***-**,N,,4070000-134-2004-00060,,4070000,경기도 이천시 부발읍 무촌로***번길 **,17324,03,폐업,영업장판매,031-632-0565,,,상수도전용
,자가,스토어 나눔,2026-04-23,197581.603863761,452968.203708514,2026-04-24 03:03:03,U,02,폐업,0,,,,,,,,,2026-04-23 14:57:41,2021-12-03,6.00,110-040,서울특별시 종로구 통의동 *-* *층,N,,3000000-134-2021-00109,,3000000,"서울특별시 종로구 효자로*길 *-*, *층 (통의동)",03044,03,폐업,전자상거래(통신판매업),,,,
,,롯데쇼핑(주)롯데슈퍼점,,211002.183633595,444519.973310444,2026-04-24 03:03:03,U,01,영업,0,,,,,,,,,2026-04-23 14:49:34,2010-09-06,3.30,138-800,서울특별시 송파구 가락동 *-*,N,,3230000-134-2010-00222,,3230000,서울특별시 송파구 오금로**길 * (가락동),05700,01,영업/정상,영업장판매,02-401-5601,,,
,임대,(주)윈플러스 마트 동부,,214761.228719522,449236.409882765,2026-04-24 22:14:07,I,01,영업,0,,,,,,,,,2026-04-22 15:48:15,2018-04-30,3.30,134-838,서울특별시 강동구 상일동 ***-* 우주아케이드,N,,3240000-134-2018-00049,,3240000,"서울특별시 강동구 천호대로***길 **, 우주아케이드 지*층 (상일동)",05291,01,영업/정상,영업장판매,02-482-3782,,,
,,50여단2대대,,,,2026-04-24 03:03:03,U,01,영업,0,,,,,,,,,2026-04-23 11:54:34,2012-10-12,,,강원특별자치도 화천군 사내면 명월리 ***,N,,4311000-134-2012-00049,,4311000,,,01,영업/정상,영업장판매,,,,
,,어썸앤블라썸,2026-04-22,203920.549325193,458591.953040614,2026-04-24 22:14:28,I,02,폐업,0,,,,,,,,,2026-04-22 13:42:32,2023-01-30,,139-852,서울특별시 노원구 월계동 *** 유원아파트,N,,3100000-134-2023-00049,,3100000,"서울특별시 노원구 덕릉로**길 ***, ***동 ***호 (월계동, 유원아파트)",01873,03,폐업,전자상거래(통신판매업),,,,
,,(주)비타큐어,,207002.785697952,450846.436421639,2026-04-24 22:14:57,I,01,영업,0,,,,,,,,,2026-04-21 11:28:03,2022-09-02,,143-912,서울특별시 광진구 중곡동 ***-*,N,,3040000-134-2022-00361,,3040000,서울특별시 광진구 긴고랑로**길 ** (중곡동),04918,01,영업/정상,전자상거래(통신판매업),,,,
,,퓨어즘,,176505.409935414,468566.751923343,2026-04-24 21:43:48,I,01,영업,0,,,,,,,,,2026-04-22 17:59:26,2023-01-27,3.30,413-110,경기도 파주시 목동동 **** 운정신도시 센트럴 푸르지오,N,,4060000-134-2023-00065,,4060000,"경기도 파주시 심학산로 ***, ****동 **층 ****호 (목동동, 운정신도시 센트럴 푸르지오)",10891,01,영업/정상,전자상거래(통신판매업),,,,
,,베스트홀,2026-04-23,205748.935594929,416186.934829112,2026-04-24 03:03:03,U,02,폐업,0,,,,,,,,,2026-04-23 17:01:11,2022-01-13,,443-811,경기도 수원시 영통구 영통동 ***-* 벽적골*단지 주공아파트,N,,3740000-134-2022-00962,,3740000,"경기도 수원시 영통구 봉영로****번길 **, ***동 ***호 (영통동, 벽적골*단지 주공아파트)",16700,03,폐업,전자상거래(통신판매업),,,,
,,(주)윈플러스마트서부시화점,,176191.576400187,427029.098075243,2026-04-24 03:03:03,U,01,영업,0,0,0,0,,,,0,,2026-04-23 10:24:59,2017-08-31,3.00,429-862,경기도 시흥시 정왕동 ****-*,N,,4010000-134-2017-00051,,4010000,"경기도 시흥시 옥구공원로 *** (정왕동, 일부)",15036,01,영업/정상,영업장판매,1833-6222,,,
,,태삼,,201626.404482442,417670.194501205,2026-04-24 21:43:50,I,01,영업,0,0,0,0,,,,0,,2026-04-21 14:31:10,2024-04-09,,441-821,경기도 수원시 권선구 권선동 ***,N,,3740000-134-2024-00144,,3740000,"경기도 수원시 권선구 권선로 ***, *층 일부호 (권선동)",16564,01,영업/정상,전자상거래(통신판매업),,,,
,,에코스카이,2026-04-22,286737.127898559,425074.335936994,2026-04-24 21:13:43,I,02,폐업,0,,,,,,,,,2026-04-22 09:47:32,2024-03-26,,,강원특별자치도 원주시 반곡동 ****-*,N,,4191000-134-2024-00043,,4191000,"강원특별자치도 원주시 혁신로 **-*, ***(B**)호 (반곡동)",26465,03,폐업,전자상거래(통신판매업),,,,
,임대,신신의료기,2026-04-23,204976.888118015,452222.473215519,2026-04-24 03:03:03,U,02,폐업,200,,,,,,,,,2026-04-23 16:28:10,2017-06-13,200.00,130-883,서울특별시 동대문구 답십리동 **-**,N,,3050000-134-2017-00148,,3050000,"서울특별시 동대문구 전농로 **, *층 (답십리동)",02599,03,폐업,영업장판매,,,,
