사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,판매방식명,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
주식회사 플레나,종합몰,,203588.048190661,446183.368328818,2026-04-24 22:19:06,I,01,정상영업,2026-04-22 16:08:32,,2025-06-30,,서울특별시 강남구 청담동 ** 청담빌딩,2025322024930203613,인터넷,3220000,"서울특별시 강남구 선릉로 ***, **층 ***호 청담빌딩 (청담동)",06069,,01,영업/정상,,,
하츠,의류/패션/잡화/뷰티,2026-04-22,221908.531808368,434643.767621563,2026-04-24 03:03:03,U,03,폐업처리,2026-04-23 18:45:17,,2025-05-14,,경기도 광주시 경안동 ***-** 성진빌,2025554035830200942,인터넷,5540000,"경기도 광주시 경안로 ***, 성진빌 ***호 (경안동)",12752,,03,폐업,,,
메르시모몽 숙대점,의류/패션/잡화/뷰티,,197231.028951482,449114.142891412,2026-04-24 23:06:15,I,01,정상영업,2026-04-22 10:05:59,,2017-11-06,,서울특별시 용산구 청파동*가 **번지 **호 복조빌딩,2017302015030201112,"TV홈쇼핑, 인터넷",3020000,"서울특별시 용산구 청파로**길 **, *층 (청파동*가)",04313,,01,영업/정상,,,02-3273-2587
에너비스,종합몰,2026-04-23,179920.835610085,444530.865512297,2026-04-24 21:18:43,I,03,폐업처리,2026-04-22 17:38:06,,2025-04-29,,경기도 부천시 원미구 중동 ****-* 신중동역 헤리움 메트로타워,2025387100730200934,인터넷,3860000,"경기도 부천시 원미구 길주로 ***, 신중동역 헤리움 메트로타워 ***-B**호 (중동)",14548,,03,폐업,,,
와이디글로벌,종합몰,,190586.062540107,447216.925498911,2026-04-24 22:18:48,I,01,정상영업,2026-04-21 09:44:21,,2023-01-27,,서울특별시 영등포구 당산동*가 ***-**,2023318025430200338,인터넷,3180000,"서울특별시 영등포구 국회대로**길 **, *층 B***호 (당산동*가)",07256,2026-04-21,01,영업/정상,,,
리프트유업,종합몰,2026-04-21,209714.027222914,415112.443559383,2026-04-24 21:53:38,I,05,타시군구이관,2026-04-21 15:42:45,,2023-05-31,,경기도 용인시 기흥구 공세동 ***-*,2023563001830202511,인터넷,4050000,"경기도 용인시 기흥구 공세로 ***-**, 테라스가든 B**층 N**호 (공세동)",17084,,05,제외/삭제/전출,,,
핫직구몰13호점,종합몰,2026-04-21,243282.490072507,443158.836267083,2026-04-24 21:48:50,I,05,타시군구이관,2026-04-21 11:03:19,,2025-05-01,,경기도 양평군 양평읍 양근리 ***-*,2025417023230201042,인터넷,4170000,"경기도 양평군 양평읍 양근로***번길 *, *층 ***-UC**호",12555,,05,제외/삭제/전출,,,
에이핀스튜디오,의류/패션/잡화/뷰티,2026-04-20,203854.41544859,416043.035511928,2026-04-24 21:51:14,I,03,폐업처리,2026-04-22 09:04:15,,2025-07-09,,경기도 수원시 영통구 신동 ***-*,2025561001830200913,"TV홈쇼핑, 인터넷, 카다로그, 신문잡지",3740000,"경기도 수원시 영통구 권선로***번길 **, *층 (신동)",16682,,03,폐업,,,
오목교상인,종합몰 교육/도서/완구/오락 가전 가구/수납용품 건강/식품 의류/패션/잡화/뷰티,2026-04-22,185034.346957949,449164.972451344,2026-04-24 03:03:03,U,03,폐업처리,2026-04-23 09:59:54,,2022-07-07,,서울특별시 강서구 화곡동 **** 화곡푸르지오,2022315020030202055,인터넷,3150000,"서울특별시 강서구 화곡로**길 ***, ***동 ***호 (화곡동, 화곡푸르지오)",07703,,03,폐업,,,
주식회사 케이씨패션,의류/패션/잡화/뷰티,,187556.198055464,450923.774955962,2026-04-24 22:20:41,I,01,정상영업,2026-04-21 09:00:45,,2005-05-07,,서울특별시 강서구 가양동 ****-** 한국카나레(주),2005315010030201977,인터넷,3150000,"서울특별시 강서구 허준로 ***-**, 한국카나레(주) *층 (가양동)",07532,,01,영업/정상,,,02-3664-6767
이철헤어커커 광교롯데몰점,기타,,204888.855554772,420476.391558834,2026-04-24 21:51:14,I,01,정상영업,2026-04-22 09:27:38,,2024-05-22,,경기도 수원시 영통구 이의동 **** 광교센트럴푸르지오시티,2024561001830201060,인터넷,3740000,"경기도 수원시 영통구 도청로 **, 광교센트럴푸르지오시티 *층 일부호 (이의동)",16508,,01,영업/정상,,,
라누엘9,종합몰,2026-04-23,243274.929406819,443226.923588779,2026-04-24 03:03:03,U,05,타시군구이관,2026-04-23 13:27:04,,2025-04-30,,경기도 양평군 양평읍 양근리 ***-*,2025417023230201019,인터넷,4170000,"경기도 양평군 양평읍 양평시장길**번길 *, *층 ***-C***호",12556,,05,제외/삭제/전출,,,
세둘,종합몰,2026-04-23,200949.551476636,443483.146383375,2026-04-24 03:03:03,U,03,폐업처리,2026-04-23 15:07:42,,2025-05-01,,서울특별시 서초구 서초동 ****-* 중앙빌딩,2025321015330201305,인터넷,3210000,"서울특별시 서초구 서초대로 ***, 중앙빌딩 ***호 (서초동)",06596,,03,폐업,,,
주식회사 케이웰빙몰,건강/식품,,203254.041495222,460425.737673594,2026-04-24 22:20:29,I,01,정상영업,2026-04-22 09:41:03,,2018-06-08,,서울특별시 도봉구 창동 ***-**,2018309015230200355,인터넷,3090000,서울특별시 도봉구 도봉로***길 ** (창동),01457,,01,영업/정상,,,02-6402-5800
와이드링크,컴퓨터/사무용품,2026-04-21,210766.547882857,425002.567067449,2026-04-24 21:53:38,I,03,폐업처리,2026-04-22 16:39:31,,2025-10-10,,경기도 용인시 수지구 죽전동 **** 성현마을반도유보라,2025564001830202342,인터넷,4050000,"경기도 용인시 수지구 죽전로***번길 **, ***동 ****호 (죽전동, 성현마을반도유보라)",16883,,03,폐업,,,
구대스탓,종합몰,2026-04-23,179579.010948163,455969.99878825,2026-04-24 21:18:46,I,03,폐업처리,2026-04-22 09:46:56,,2025-05-18,,경기도 김포시 고촌읍 신곡리 ***-**,2025409051630203866,인터넷,4090000,"경기도 김포시 고촌읍 고송로 **, *층 ***호 A***",10126,,03,폐업,,,
주식회사 멜론토끼,종합몰 가구/수납용품 의류/패션/잡화/뷰티,2026-04-22,196069.938748134,449424.545164433,2026-04-24 22:19:45,I,05,타시군구이관,2026-04-22 09:26:23,,2023-06-23,,서울특별시 마포구 신공덕동 *-*,2023313025530202030,인터넷,3130000,"서울특별시 마포구 만리재옛길 **, *층 ***-**호 (신공덕동)",04209,,05,제외/삭제/전출,,,
