건물용도명,사업장명,폐업일자,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,제작취급품목내용,시설면적,지상층수,품목명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,주변환경명,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수
,오드리제이 주식회사,,209896.270852095,445366.660997995,,,2026-04-24 22:07:36,I,13,영업중,,,,,2026-04-22 17:32:58,,2026-04-22,,서울특별시 송파구 방이동 *** 송암빌딩,CDFF3241092026000007,3230000,,"서울특별시 송파구 백제고분로 ***, 송암빌딩 *층 ****호 (방이동)",05641,01,영업/정상,,,,,,
,모비딕 컴퍼니,,196080.532197962,432244.867412549,,,2026-04-24 21:37:56,I,13,영업중,,,,,2026-04-22 15:59:55,,2026-04-22,,경기도 안양시 동안구 관양동 **** 평촌아크로타워 A동 ***호,CDFF3241092026000004,3830000,,"경기도 안양시 동안구 시민대로 ***, 평촌아크로타워 A동 ***호 (관양동)",14067,01,영업/정상,,,,,,
,포린바디 주식회사(Foreign Body),,194070.697105343,430057.417642766,,,2026-04-24 21:07:31,I,13,영업중,,,,,2026-04-22 15:11:33,,2026-04-22,,경기도 군포시 산본동 **** 동백(우성)아파트,CDFF3241092026000003,4020000,,"경기도 군포시 고산로***번길 **, ****동 ****호 (산본동, 동백(우성)아파트)",15802,01,영업/정상,,,,,,
,corpmee(주식회사 코프미),,191337.868996616,451395.153092798,,,2026-04-24 22:09:01,I,13,영업중,,,,,2026-04-21 11:16:23,,2026-04-21,,서울특별시 마포구 성산동 ***-* 대명비첸시티오피스텔,CDFF3241092026000026,3130000,,"서울특별시 마포구 월드컵로 ***, 대명비첸시티오피스텔 B***-C***호 (성산동)",03938,01,영업/정상,,,,,,
,어스엔터테인먼트,,193260.779825462,450395.053477987,,,2026-04-24 22:09:01,I,13,영업중,,,,,2026-04-23 15:47:59,,2026-04-23,,서울특별시 마포구 서교동 ***-** 기린빌딩,CDFF3241092026000027,3130000,,"서울특별시 마포구 어울마당로 ***, 기린빌딩 *층 ****호 (서교동)",04053,01,영업/정상,,,,,,
,주식회사 재이콥스,,215355.251205047,436509.792389077,,,2026-04-24 21:37:59,I,13,영업중,,,,,2026-04-23 10:02:40,,2020-11-18,,경기도 성남시 중원구 상대원동 ***-* 반포테크노피아,CDFF3241092026000005,3780000,,"경기도 성남시 중원구 갈마치로 ***, 반포테크노피아 ***호 (상대원동)",13230,01,영업/정상,,,,,,
,인헤일(INHALE),,201747.069986899,442437.649826862,,,2026-04-24 22:07:50,I,13,영업중,,,,,2026-04-21 10:55:31,,2025-12-01,,서울특별시 서초구 서초동 ****-* 미래소프트,CDFF3241092026000018,3210000,,"서울특별시 서초구 남부순환로***길 **, 미래소프트 지하*층 (서초동)",06725,01,영업/정상,,,,,,
,주식회사 티엔엔터테인먼트 블리스엔터사업부,,188703.698085939,449814.215239402,,,2026-04-24 22:08:16,I,13,영업중,,,,,2026-04-21 17:47:14,,2023-01-19,,서울특별시 강서구 염창동 ***-*,CDFF3241092023000002,3150000,,"서울특별시 강서구 양천로 ***, *층,*층,지하*층 (염창동)",07540,01,영업/정상,,,,,,
,주식회사 무제,,192728.019910069,450828.812505571,유통관련업,대중문화예술기획업,2026-04-24 03:03:03,U,13,영업중,"매니지먼트업, 대중문화예술기획, 제작업",,,,2026-04-23 13:15:23,,2025-12-10,,서울특별시 마포구 연남동 ***-*** ZORBA,CDFF3241092025000111,3130000,,"서울특별시 마포구 월드컵북로*길 **, ZORBA *층 (연남동)",03986,01,영업/정상,,,,,,
,(주)엠더블유엔터테인먼트,,191880.099522071,450485.221321867,유통관련업,대중문화예술기획업,2026-04-24 03:03:03,U,13,영업중,연예인매니지먼트,,,,2026-04-23 19:25:13,,2026-01-19,,서울특별시 마포구 망원동 ***-* MW엔터테인먼트,CDFF3241092026000004,3130000,,"서울특별시 마포구 월드컵로**길 *, MW엔터테인먼트 *층 (망원동)",04012,01,영업/정상,,,,,,
,주식회사 재이콥스,2026-04-22,195086.35935132,448058.87025156,유통관련업,대중문화예술기획업,2026-04-24 22:37:41,I,15,전출,매니지먼트,,,,2026-04-22 17:23:21,,2020-11-18,,서울특별시 용산구 청암동 ***-**,CDFF3241092021000037,3020000,,"서울특별시 용산구 원효로 *, *층 (청암동)",04359,05,제외/삭제/전출,,,,,,
