건물지상층수,건물소유구분명,건물지하층수,사업장명,업태구분명,폐업일자,조건부허가시작일자,조건부허가신고사유,조건부허가종료일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,여성종사자수,한실수,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,사용시작지상층,사용시작지하층,사용끝지상층,사용끝지하층,양실수
0,임대,0,위코스테이 명동,숙박업(생활),,,,,199711.205550174,451182.224072035,2026-04-24 03:03:03,U,01,영업,0,0,2026-04-23 14:46:38,2022-05-16,"5,460.30",100-014,서울특별시 중구 충무로4가 334,N,0,3010000-214-2022-00001,3010000,"서울특별시 중구 창경궁로1길 14, 3층~15층 (충무로4가)",04558,01,영업/정상,숙박업(생활),02-2275-7790,3,0,15,0,193
0,,0,스카이스위트,숙박업(생활),,,,,196410.233494294,446549.862090232,2026-04-24 22:39:08,I,01,영업,0,0,2026-04-21 11:27:53,2024-06-28,144.13,140-030,서울특별시 용산구 이촌동 376 노들직녀카페,N,0,3020000-214-2024-00001,3020000,서울특별시 용산구 양녕로 495 (이촌동),04381,01,영업/정상,숙박업(생활),02-2124-1192,0,0,0,0,1
0,임대,0,호스텔 펠라즈,숙박업(생활),,,,,199369.871968405,447943.699776291,2026-04-24 22:39:08,I,01,영업,0,0,2026-04-21 11:28:27,2024-10-31,282.47,140-865,서울특별시 용산구 이태원동 130-9,N,0,3020000-214-2024-00002,3020000,"서울특별시 용산구 이태원로26길 17-1, 지하1층 ~ 3층 (이태원동)",04391,01,영업/정상,숙박업(생활),,0,0,0,0,13
4,,1,스테이 스탬프,숙박업 기타,,,,,202109.463128978,459308.956272945,2026-04-24 22:09:08,I,01,영업,,0,2026-04-22 16:54:35,1988-10-31,424.84,142-867,서울특별시 강북구 번동 446-28,N,,3080000-201-1988-00099,3080000,서울특별시 강북구 오패산로79길 41 (번동),01062,01,영업/정상,숙박업 기타,02-0908-1794,2,0,4,0,19
0,,0,로얄 스테이,여관업,,,,,191466.962552887,439921.276229899,2026-04-24 22:09:49,I,01,영업,,1,2026-04-21 09:33:25,1981-11-01,413.88,153-857,서울특별시 금천구 시흥동 860-51,N,,3170000-201-1981-00053,3170000,서울특별시 금천구 독산로 157-1 (시흥동),08621,01,영업/정상,여관업,02-803-4903,0,0,0,0,14
10,자가,2,호텔 어반,관광호텔,,,,,192409.819263986,442132.089971458,2026-04-24 03:03:03,U,01,영업,,0,2026-04-23 16:52:34,2016-08-08,"1,308.66",151-899,서울특별시 관악구 신림동 1569-5,N,,3200000-201-2016-00001,3200000,서울특별시 관악구 난곡로64길 5 (신림동),08772,01,영업/정상,관광호텔,,1,0,10,0,49
0,,0,자이안트,일반호텔,,,,,204324.263443033,445580.187539001,2026-04-24 03:03:03,U,01,영업,,0,2026-04-23 14:52:16,1987-10-30,"1,584.95",135-868,서울특별시 강남구 삼성동 45-10,N,,3220000-201-1987-00095,3220000,서울특별시 강남구 봉은사로 459 (삼성동),06096,01,영업/정상,일반호텔,02-546-0225,0,0,0,0,56
4,임대,1,러브장,여관업,,,,,193598.194438077,442601.177148251,2026-04-24 22:09:11,I,01,영업,,2,2026-04-22 12:03:10,2000-11-04,409.86,151-892,서울특별시 관악구 신림동 1432-99,N,,3200000-201-2000-00276,3200000,서울특별시 관악구 신림로65길 16-11 (신림동),08760,01,영업/정상,여관업,02-886-2555,1,1,4,1,16
0,,0,호텔컬리넌 개포,일반호텔,,,,,203992.231656458,441630.077624843,2026-04-24 03:03:03,U,01,영업,0,0,2026-04-23 14:38:58,2017-06-23,"1,177.89",135-964,서울특별시 강남구 개포동 1229-8,N,0,3220000-201-2017-00004,3220000,"서울특별시 강남구 논현로 74-1, 2~8층 (개포동)",06307,01,영업/정상,일반호텔,02-2058-1558,2,0,8,0,47
7,자가,1,무온재,숙박업 기타,,,,,201432.233959899,419157.394288107,2026-04-24 21:39:24,I,01,영업,,0,2026-04-22 15:57:48,2004-06-12,"1,741.95",442-120,경기도 수원시 팔달구 중동 39-1,N,,3770000-201-2004-00009,3740000,경기도 수원시 팔달구 정조로742번길 3 (중동),16263,01,영업/정상,숙박업 기타,031-246-8891,1,0,7,0,42
