사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가일자,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업내용,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
비엔케이,,206791.534296123,476907.445167702,2026-04-24 21:41:57,I,70,취소,2026-04-21 16:21:02,2025-03-21,경기도 양주시 광사동 ***-* 다온프라자,2025559023708500001,5590000,"경기도 양주시 부흥로 ****, 다온프라자 *층 ***호 (광사동)",11492,,광고물 설치,04,취소/말소/만료/정지/중지,,,
주식회사 하이가디디자인사이트,,217334.378725245,487630.120363411,2026-04-24 03:03:03,U,20,정상,2026-04-23 16:48:15,2026-04-23,경기도 포천시 신읍동 **-*,2021560017908500003,5600000,경기도 포천시 신읍*길 *-* (신읍동),11147,,옥외광고업,01,영업/정상,,,
주식회사 무신사,,205285.668276206,449135.382261814,2026-04-24 03:03:03,U,20,정상,2026-04-23 10:34:59,2019-05-10,서울특별시 성동구 성수동*가 ***-**,2022303014108500007,3030000,"서울특별시 성동구 아차산로**길 **, *층 (성수동*가)",04797,,-,01,영업/정상,,,
(주)윈피앤에스,,205426.832025995,449169.918122863,2026-04-24 22:11:55,I,20,정상,2026-04-21 11:15:05,2026-04-16,서울특별시 성동구 성수동*가 ***-** 우리더블유타워,2000303011008500309,3030000,"서울특별시 성동구 아차산로**길 **, 우리더블유타워 *층 (성수동*가)",04798,,"간판제작 및 대행
팩스 460-3049",01,영업/정상,,,02-460-3040
(주)에이디웍스,,207772.192731732,449511.169058753,2026-04-24 22:11:57,I,20,정상,2026-04-22 13:03:26,2022-10-14,서울특별시 광진구 구의동 **-* 문화빌딩 *층,2007304011508500404,3040000,"서울특별시 광진구 자양로 ***, 문화빌딩 *층 (구의동)",04975,,제조.서비스/광고물제작.실사화면제작.광고대행,01,영업/정상,,,02-454-3851
상미광고,,204542.999101023,456254.506276668,2026-04-24 22:11:56,I,70,취소,2026-04-22 09:20:11,1988-07-06,서울특별시 성북구 장위동 **-***,1988307009108500007,3070000,서울특별시 성북구 화랑로 *** (장위동),02773,,간판,04,취소/말소/만료/정지/중지,,,02-913-7701
디스플랜,,202496.154960843,456467.182045962,2026-04-24 22:11:56,I,70,취소,2026-04-22 09:19:48,2001-06-22,서울특별시 성북구 길음동 ***-**,2001307009108500004,3070000,서울특별시 성북구 도봉로*가길 * (길음동),02729,,옥외광고업,04,취소/말소/만료/정지/중지,,,02-942-8607
G&C커뮤니케이션,,204268.741908141,456073.655437397,2026-04-24 22:11:56,I,70,취소,2026-04-22 09:19:22,2011-02-07,서울특별시 성북구 상월곡동 **-* *층,2011307018208500001,3070000,"서울특별시 성북구 화랑로 ***, *층 (상월곡동)",02773,,"디자인, 현수막, 간판 제작",04,취소/말소/만료/정지/중지,,,02-943-7482
현규이즈컴,,201718.57094684,455945.998146142,2026-04-24 22:11:56,I,70,취소,2026-04-22 09:25:12,2020-09-03,서울특별시 성북구 길음동 ****,2017307024808500001,3070000,"서울특별시 성북구 길음로 **, ***동 ***호 (길음동, 길음뉴타운)",02725,,광고 대행업,04,취소/말소/만료/정지/중지,,,
디자인팩토리,2026-04-20,201207.818691796,421711.935362726,2026-04-24 21:41:57,I,40,폐업,2026-04-21 10:33:30,2022-04-25,경기도 수원시 장안구 조원동 ***-** 조원빌딩 *층,2022374040908500006,3740000,"경기도 수원시 장안구 경수대로 ***, 조원빌딩 *층 (조원동)",16288,,옥외광고사업,03,폐업,,,
(주)경기일보,,200285.727240972,422467.392237579,2026-04-24 21:41:57,I,20,정상,2026-04-21 09:47:42,2025-10-24,경기도 수원시 장안구 송죽동 ***-*,2025374040908500014,3740000,"경기도 수원시 장안구 경수대로***번길 *, 경기일보 (송죽동)",16303,,지하철 및 버스 등 외부 광고,01,영업/정상,,,
삼우아트,,185344.887754443,457923.682232277,2026-04-24 03:03:03,U,20,정상,2026-04-23 16:02:25,2022-01-28,경기도 고양시 덕양구 행신동 ***-* 그랑프리빌딩,2022395006708500001,3940000,"경기도 고양시 덕양구 향동로 ***, 지엘메트로시티향동 ****호 (향동동)",10545,,"옥외광고물 제작, 설치 등",01,영업/정상,,,
