자산규모,사업장명,폐업일자,자본금,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,부채총액,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
1828593433460,(주)교원라이프,,5975000000,198477.517150403,451579.634210825,2026-04-24 22:48:32,I,01,정상영업,2026-04-22 15:27:58,1754382406547,,2010-09-14,,서울특별시 중구 을지로*가 *번지 내외빌딩,2010301010023200042,3010000,"서울특별시 중구 을지로 **, 내외빌딩 (을지로*가)",04539,,01,영업/정상,,,
18486330044,주식회사 헬스조선,,200000000,197844.190666667,451742.363666667,2026-04-24 22:48:32,I,01,정상영업,2026-04-21 09:01:42,2138570064,,2019-06-04,,서울특별시 중구 태평로*가 **번지 **호,2019301016523200019,3010000,서울특별시 중구 세종대로**길 ** (태평로*가),04519,,01,영업/정상,,,02-724-7654
,사임당화장품 중랑지사,,,209085.926142332,457283.215342184,2026-04-24 23:05:58,I,01,정상영업,2026-04-22 14:05:21,,,2016-08-09,,서울특별시 중랑구 신내동 ***-* *층 B동 *-***호,2021306017623200005,3060000,"서울특별시 중랑구 신내역로*길 **-**, B동 *층 *-***호 (신내동)",02055,,01,영업/정상,,,031-592-1983
10000000,롱키원 주식회사,,10000000,206821.108967706,456096.359567266,2026-04-24 23:05:58,I,01,정상영업,2026-04-22 14:25:26,0,,2014-07-08,,서울특별시 중랑구 묵동 ***-* *층 가동 E-***호,2021306017623200022,3060000,"서울특별시 중랑구 동일로 ***, 가동 *층 E-***호 (묵동)",02010,,01,영업/정상,,,070-4060-3155
,이숯드림,,,208779.472954589,455441.105474169,2026-04-24 23:05:58,I,01,정상영업,2026-04-22 13:37:13,,,2023-12-01,,서울특별시 중랑구 신내동 ***-** *층,2023306020223200016,3060000,"서울특별시 중랑구 용마산로 ***, *층 (신내동)",02072,,01,영업/정상,,,
,오드리,,,207982.810825453,454980.023827024,2026-04-24 23:05:58,I,01,정상영업,2026-04-22 14:25:51,,,2022-10-06,,서울특별시 중랑구 상봉동 **-* 한일써너스빌 ***동 ****호,2022306017623200015,3060000,"서울특별시 중랑구 망우로 ***, ***동 ****호 (상봉동, 한일써너스빌)",02150,,01,영업/정상,,,
91415868,주식회사이음통신,2026-04-21,13920408,206689.666268116,457126.348112145,2026-04-24 23:05:58,I,05,타시군구이관,2026-04-21 09:40:47,77495460,,2018-02-13,,서울특별시 중랑구 묵동 ***-** 에릭슨시스템 *층 ****호,2024306020223200010,3060000,"서울특별시 중랑구 동일로 ***, 에릭슨시스템 *층 ****호 (묵동)",02018,,05,제외/삭제/전출,,,070-4689-8000
50000000,기아상봉대리점,,50000000,208235.327579195,454200.383581749,2026-04-24 03:03:03,U,01,정상영업,2026-04-23 15:45:58,,,2005-12-08,,"서울특별시 중랑구 망우동 ***-* *층,*층,*층",2005306009523200037,3060000,"서울특별시 중랑구 겸재로 ***, *층,*층,*층 (망우동)",02175,,01,영업/정상,,,02-436-7777
,에치와이 태릉점,,,206852.644458146,457237.186183891,2026-04-24 23:05:58,I,01,정상영업,2026-04-22 14:12:02,,,2013-02-01,,,2013306009523200004,3060000,서울특별시 중랑구 동일로***길 ** (묵동),,,01,영업/정상,,,02-976-6345
,달자유통,2026-04-22,,365805.678033255,473002.442356716,2026-04-24 21:21:13,I,05,타시군구이관,2026-04-22 09:11:36,,,2026-04-06,,강원특별자치도 강릉시 내곡동 ***-*,2026420101923200002,4201000,강원특별자치도 강릉시 강변로***번길 * (내곡동),25603,,05,제외/삭제/전출,,,
,벨라(Bella),,,200496.277619329,450214.706778531,2026-04-24 22:48:32,I,01,정상영업,2026-04-22 17:46:17,,,2026-04-22,,서울특별시 중구 신당동 ***-**** 장충퍼시픽하우스,2026301024423200004,3010000,"서울특별시 중구 동호로**길 **-**, A동 ***호 (신당동, 장충퍼시픽하우스)",04604,,01,영업/정상,,,
,해피라이프,,,196434.071217463,448215.583842787,2026-04-24 22:48:31,I,01,정상영업,2026-04-22 13:31:18,,,2021-11-11,,서울특별시 용산구 용문동 **-*,2026302020323200002,3020000,"서울특별시 용산구 새창로 ***-**, 지하*층 (용문동)",04363,,01,영업/정상,,,02-453-5041
,모두드림,,,194124.472155455,441073.731838759,2026-04-24 22:18:27,I,01,정상영업,2026-04-22 10:06:43,,,2026-04-21,,서울특별시 관악구 신림동 ***-**,2026320022523200005,3200000,"서울특별시 관악구 신림로 ***, 지하*층 (신림동)",08838,,01,영업/정상,,,
,하이리화장품,,,204661.688572402,471488.046488137,2026-04-24 21:48:28,I,01,정상영업,2026-04-22 15:35:23,,,2026-04-22,,경기도 의정부시 의정부동 ** 부광빌딩,2026382042223200006,3820000,"경기도 의정부시 호국로****번길 **, 부광빌딩 *층 (의정부동)",11749,,01,영업/정상,,,
,더블에스컴퍼니씨앤씨(SSCOMPANY C&C),,,,,2026-04-24 21:48:29,I,01,정상영업,2026-04-22 13:45:10,,,2026-04-22,,경기도 안양시 만안구 안양동 ***-* 삼호빌라,2026384003323200006,3830000,"경기도 안양시 만안구 덕천로 **-**, ***호 (안양동, 삼호빌라)",14086,,01,영업/정상,,,
17860334,주식회사 코리아라이프소스,,10380679,178383.5071659,443033.191916854,2026-04-24 21:18:20,I,01,정상영업,2026-04-22 09:26:16,7479655,,2024-07-04,,경기도 부천시 원미구 상동 ***-*,2026387100723200005,3860000,"경기도 부천시 원미구 부일로***번길 **, ***-**호 (상동)",14623,,01,영업/정상,,,
,달자유통,,,238332.487656607,526286.475244161,2026-04-24 21:18:21,I,01,정상영업,2026-04-22 17:05:24,,,2026-04-06,,강원특별자치도 철원군 서면 와수리 ****-* 금화 프라자,2026430101223200001,4301000,"강원특별자치도 철원군 서면 와수로 ***-*, 금화 프라자 *층 ***호",24058,,01,영업/정상,,,
