영업장주변구분명,건물소유구분명,사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,,아우유스토어,2026-03-26,209672.025599037,425857.769482926,2026-03-27 03:03:03,U,02,폐업,0,,,,,,,,,2026-03-26 13:22:03,2025-07-31,,448-160,경기도 용인시 수지구 죽전동 *** 프라임조명,N,,5640000-134-2025-00150,,4050000,"경기도 용인시 수지구 용구대로****번길 *, 프라임조명 *층 일부(***-***)호 (죽전동)",16866,03,폐업,전자상거래(통신판매업),,,,
,자가,기념품친구,2026-03-26,187030.73934596,468458.777814673,2026-03-27 03:03:03,U,02,폐업,0,,,,,,,,,2026-03-26 13:53:59,2018-03-06,.00,412-520,경기도 고양시 덕양구 내유동 ***-* M타운,N,,3940000-134-2018-00078,,3940000,"경기도 고양시 덕양구 내유길 **-**, *-***호 (내유동, M타운)",10264,03,폐업,전자상거래(통신판매업),,,,
,임대,올바름마켓 안성중앙대점,,219938.216839658,390167.139170156,2026-03-27 03:03:03,U,01,영업,0,,,,,,,,,2026-03-26 11:28:47,2025-12-05,1.32,456-831,경기도 안성시 대덕면 신령리 ***-** *동 지하*층 **호,N,,4080000-134-2025-00088,,4080000,"경기도 안성시 대덕면 서동대로 ****, *동 지하*층 *호",17544,01,영업/정상,영업장판매,031-673-6060,,,
,,현선상사,2026-03-26,213770.807512838,439571.175443684,2026-03-27 03:03:03,U,02,폐업,0,0,0,0,,,,0,,2026-03-26 17:56:03,2024-04-02,,461-800,경기도 성남시 수정구 단대동 **-* 태양빌리지 *층 ***호,N,,3790000-134-2024-00023,,3780000,"경기도 성남시 수정구 논골로**번길 **, *층 ***호 (단대동, 태양빌리지)",13138,03,폐업,전자상거래(통신판매업),,,,
,,허그점핑다이어트,2026-03-26,185924.416468235,443212.428774109,2026-03-27 03:03:03,U,02,폐업,0,,,,,,,,,2026-03-26 10:18:18,2025-11-05,3.30,152-897,서울특별시 구로구 오류동 *** 세명프라자,N,,3160000-134-2025-00169,,3160000,"서울특별시 구로구 오류로*길 **, *층 ***호 (오류동)",08343,03,폐업,영업장판매,,,,
,자가,압구정 당봄한의원,,202357.133728749,446840.498133271,2026-03-27 03:03:03,U,01,영업,9,,,,,,,,,2026-03-26 10:49:50,2023-08-03,9.00,135-891,서울특별시 강남구 신사동 ***-**,N,,3220000-134-2023-00458,,3220000,"서울특별시 강남구 압구정로**길 **, *층 (신사동)",06031,01,영업/정상,전자상거래(통신판매업),,,,
,자가,(주)두드림코리아,2026-03-20,175426.053142718,462699.816450792,2026-03-27 03:03:03,U,02,폐업,0,,,,,,,,,2026-03-26 14:31:27,2015-03-11,198.00,411-420,경기도 고양시 일산서구 법곳동 ***,N,,3940000-134-2015-00260,,3940000,경기도 고양시 일산서구 대화로**번길 *** (법곳동),10220,03,폐업,전자상거래(통신판매업),02-889-1294,,,
,,노프,2026-03-26,197174.051386224,448392.25419117,2026-03-27 03:03:03,U,02,폐업,0,,,,,,,,,2026-03-26 16:35:44,2023-05-02,,140-100,서울특별시 용산구 문배동 **-** 용산kcc웰츠타워,N,,3020000-134-2023-00094,,3020000,"서울특별시 용산구 백범로**길 **, *층 ***호 (문배동, 용산kcc웰츠타워)",04315,03,폐업,전자상거래(통신판매업),,,,
,임대,썬바이오,2026-03-26,187009.804317689,443285.606966752,2026-03-27 03:03:03,U,02,폐업,0,,,,,,,,,2026-03-26 14:56:06,2025-08-29,90.00,152-814,서울특별시 구로구 개봉동 ***-* 중앙시장,N,,3160000-134-2025-00147,,3160000,"서울특별시 구로구 개봉로**길 **, 중앙시장 *층 (개봉동)",08337,03,폐업,영업장판매,,,,
,,엘기프트,2026-03-26,191136.033640474,445478.605469227,2026-03-27 03:03:03,U,02,폐업,0,,,,,,,,,2026-03-26 14:08:42,2025-03-24,,150-833,서울특별시 영등포구 도림동 *** 대우미래사랑,N,,3180000-134-2025-00057,,3180000,"서울특별시 영등포구 도영로 **, 대우미래사랑 ***동 ***-**호 (도림동)",07364,03,폐업,전자상거래(통신판매업),02-928-5102,,,
,자가,서우유통,2026-03-20,175582.88645332,466323.390513584,2026-03-27 03:03:03,U,02,폐업,0,,,,,,,,,2026-03-26 14:30:11,2017-01-05,.00,411-440,경기도 고양시 일산서구 가좌동 **-*,N,,3940000-134-2017-00001,,3940000,"경기도 고양시 일산서구 송포로***번길 **-**, *층 (가좌동)",10205,03,폐업,전자상거래(통신판매업),,,,
