건물지상층수,건물소유구분명,건물지하층수,사업장명,업태구분명,폐업일자,조건부허가시작일자,조건부허가신고사유,조건부허가종료일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,여성종사자수,한실수,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,사용시작지상층,사용시작지하층,사용끝지상층,사용끝지하층,양실수
6,자가,0,알마호텔,일반호텔,,,,,201335.157013025,451538.255753023,2026-03-27 03:03:03,U,01,영업,,0,2026-03-26 13:42:24,1988-12-30,710.41,100-880,서울특별시 중구 흥인동 108,N,,3010000-201-1988-00134,3010000,서울특별시 중구 다산로 259 (흥인동),04569,01,영업/정상,일반호텔,22383902,0,0,6,0,31
12,자가,1,헤르츠,일반호텔,,,,,198952.439753114,452272.204980861,2026-03-27 03:03:03,U,01,영업,0,0,2026-03-26 17:02:14,2015-12-23,"1,434.04",110-320,서울특별시 종로구 낙원동 108-1,N,0,3000000-201-2015-00009,3000000,서울특별시 종로구 돈화문로11길 44 (낙원동),03133,01,영업/정상,일반호텔,,1,0,12,0,44
1,,0,운악채한옥마을B,숙박업(생활),,,,,230382.141661982,484506.253399902,2026-03-27 03:03:03,U,01,영업,0,0,2026-03-26 14:00:15,2021-11-01,665.76,,"경기도 가평군 조종면 운악리 421-18 421-13, 421-8, 421-20, 421-23",N,0,4160000-214-2021-00101,4160000,"경기도 가평군 조종면 현등사길 55-47, 55-31, 55-35, 55-49, 55-53",12432,01,영업/정상,숙박업(생활),031-585-5066,1,0,1,0,1
2,,0,은하수독채풀빌라1호,숙박업(생활),,,,,244773.388099569,475368.184523852,2026-03-27 03:03:03,U,01,영업,0,0,2026-03-26 14:18:41,2023-02-28,72.00,477-803,경기도 가평군 가평읍 이화리 107-19 외1필지 1층~2층 B동,N,0,4160000-214-2023-00009,4160000,"경기도 가평군 가평읍 호반로 2126-12, B동 1층~2층",12427,01,영업/정상,숙박업(생활),,1,,2,,1
2,,0,은하수독채풀빌라2호,숙박업(생활),,,,,244793.828928904,475316.687142974,2026-03-27 03:03:03,U,01,영업,0,0,2026-03-26 14:21:47,2023-02-28,80.00,477-803,"경기도 가평군 가평읍 이화리 107-30 ,1층~2층",N,0,4160000-214-2023-00011,4160000,"경기도 가평군 가평읍 호반로 2126-3, 1층~2층",12427,01,영업/정상,숙박업(생활),,1,,2,,1
1,,0,두바이 풀빌라2,숙박업(생활),,,,,232296.293445451,476143.779913494,2026-03-27 03:03:03,U,01,영업,0,0,2026-03-26 13:26:19,2024-04-12,128.42,477-821,경기도 가평군 상면 항사리 354-1,N,0,4160000-214-2024-00027,4160000,"경기도 가평군 상면 샘골길 3-24, 1층",12445,01,영업/정상,숙박업(생활),,1,,1,,1
3,자가,0,디어양평,숙박업(생활),,,,,263760.578533398,447613.48497501,2026-03-27 03:03:03,U,01,영업,0,0,2026-03-26 11:27:15,2023-10-05,505.20,476-861,경기도 양평군 청운면 가현리 199-7,N,0,4170000-214-2023-00014,4170000,"경기도 양평군 청운면 가현길 300-22, 1-3층",12530,01,영업/정상,숙박업(생활),,1,,3,,6
2,자가,0,두바이 풀빌라,숙박업(생활),,,,,232283.047252992,476119.570631063,2026-03-27 03:03:03,U,01,영업,1,0,2026-03-26 13:21:22,2018-04-26,517.16,477-821,경기도 가평군 상면 항사리 354-20,N,1,4160000-214-2018-00014,4160000,"경기도 가평군 상면 샘골길 3-26, 1~6동(각동 1,2층 6호)",12445,01,영업/정상,숙박업(생활),,1,0,2,0,6
0,,0,은하수독채풀빌라3호,숙박업(생활),,,,,244791.054855345,475326.791420909,2026-03-27 03:03:03,U,01,영업,0,0,2026-03-26 14:24:35,2024-10-07,80.00,477-803,경기도 가평군 가평읍 이화리 107-29,N,0,4160000-214-2024-00055,4160000,"경기도 가평군 가평읍 호반로 2126-6, 주1동 1층~2층",12427,01,영업/정상,숙박업(생활),,,,,,1
13,임대,4,가이아 협동조합,숙박업(생활),,,,,204898.769569096,397457.039808893,2026-03-27 03:03:03,U,01,영업,4,0,2026-03-26 10:48:27,2025-11-04,"4,706.86",459-110,경기도 평택시 지산동 808-4,N,1,3910029-214-2025-00016,3910000,경기도 평택시 지산로 10 (지산동),17761,01,영업/정상,숙박업(생활),,2,1,13,4,111
3,자가,1,세븐모텔,여관업,2026-03-26,,,,294882.929606948,496675.596559363,2026-03-27 03:03:03,U,02,폐업,,2,2026-03-26 16:34:14,1987-12-09,198.43,,강원특별자치도 인제군 남면 신남리 359-13,N,,4331000-201-1987-00002,4331000,강원특별자치도 인제군 남면 신남로58번길 9-3,24649,03,폐업,여관업,033-461-6130,2,0,3,0,9
6,,2,에코포레스트 평창,숙박업(생활),,,,,346326.92260848,463046.812855886,2026-03-27 03:03:03,U,01,영업,5,0,2026-03-26 14:28:11,2024-06-13,"9,928.92",,강원특별자치도 평창군 대관령면 용산리 376-52,N,5,4281000-214-2024-00004,4281000,강원특별자치도 평창군 대관령면 큰터길 69-22,25348,01,영업/정상,숙박업(생활),02-3142-8250,1,0,6,0,114
