자동환기여부,건물용도명,사업장명,폐업일자,좌표X,좌표Y,문화사업자구분명,문화체육업종명,편의시설여부,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,비상구여부,비상계단여부,기존게임업외업종명,제작취급품목내용,시설면적,소방시설여부,지상층수,청소년실수,청소년실여부,노래방실수,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,조명시설유무,조명시설조도,관리번호,개방자치단체코드,통로너비,제공게임물명,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,방음시설여부,음향시설여부,특수조명여부,주변환경명,휴업시작일자,휴업종료일자,소재지전화번호,총게임기수,총층수,지하층수,비디오재생기명
,근린생활시설,엑스트로,2013-03-31,199748.154305755,451005.66662748,유통관련업,노래연습장업,,2026-05-06 22:37:57,I,03,폐업,,,,,0,,0,,,,2014-05-20 14:36:16,,1992-07-11,,서울특별시 중구 충무로5가 85-2 (지하1),,,CDFF3242051992000001,3010000,,,,"서울특별시 중구 서애로 12-4  (충무로5가,(지하1))",,03,폐업,,,,,,,22634244,,0,0,
N,근린생활시설,25시,2007-04-02,197590.218711428,450602.819271123,유통관련업,노래연습장업,,2026-05-06 22:37:57,I,03,폐업,N,N,,,,,,,N,,2007-04-02 14:32:10,,1992-08-03,100-801,서울특별시 중구 남대문로5가 84-3,,,CDFF3242051992000002,3010000,,,,서울특별시 중구 세종대로 10-1  (남대문로5가),,03,폐업,N,,N,,,,,,,,
N,근린생활시설,샘터,2011-05-04,197497.227122784,450603.604333833,유통관련업,노래연습장업,,2026-05-06 22:37:57,I,03,폐업,N,N,,,,,,,,,2011-05-04 15:05:13,,1992-08-19,,서울특별시 중구 남대문로5가 63-9,,,CDFF3242051992000003,3010000,,,,서울특별시 중구 세종대로 3-1  (남대문로5가),,03,폐업,N,,N,,,,,,,,
N,근린생활시설,국제,2007-12-03,198365.141031036,451631.187645921,유통관련업,노래연습장업,,2026-05-06 22:37:57,I,03,폐업,N,N,,,,,,,N,,2007-12-03 11:24:06,,1992-08-19,100-180,서울특별시 중구 다동 111-0,,,CDFF3242051992000004,3010000,,,,서울특별시 중구 남대문로 109  (다동),,03,폐업,N,,N,,,,,,,,
N,근린생활시설,이도령,2002-03-12,,,유통관련업,노래연습장업,,2026-05-06 22:37:57,I,03,폐업,N,N,,,,,,,N,,2003-08-01 15:00:43,,1992-09-04,100-858,서울특별시 중구 중림동 128-20,,,CDFF3242051992000005,3010000,,,,,,03,폐업,N,,N,,,,,,,,
,근린생활시설,비엔나노래방,2003-01-16,197885.418380677,451144.221659626,유통관련업,노래연습장업,,2026-05-06 22:37:57,I,03,폐업,,,,,0,,0,,,,2003-02-11 18:21:03,,1992-09-04,100-864,서울특별시 중구 태평로2가 69-6,,,CDFF3242051992000006,3010000,,,,서울특별시 중구 세종대로 72-1  (태평로2가),,03,폐업,,,,,,,,,0,0,
N,근린생활시설,스타,2006-03-29,197185.873726348,450597.615172744,유통관련업,노래연습장업,,2026-05-06 22:37:57,I,03,폐업,N,N,,,,,,,N,,2006-03-29 14:34:46,,1992-09-07,100-858,서울특별시 중구 중림동 129-35,,,CDFF3242051992000007,3010000,,,,서울특별시 중구 청파로 425-2  (중림동),,03,폐업,N,,N,,,,,,,,
,근린생활시설,신사,2002-09-30,198313.414223281,451644.88450269,유통관련업,노래연습장업,,2026-05-06 22:37:57,I,03,폐업,,,,,0,,0,,,,2003-02-11 18:21:03,,1992-09-22,100-180,서울특별시 중구 다동 121-3,,,CDFF3242051992000008,3010000,,,,서울특별시 중구 을지로3길 22  (다동),,03,폐업,,,,,,,,,0,0,
,근린생활시설,도레미,2002-05-24,199226.682502131,451440.249193917,유통관련업,노래연습장업,,2026-05-06 22:37:58,I,03,폐업,,,,,0,,0,,,,2003-02-11 18:21:03,,1992-10-20,100-846,서울특별시 중구 을지로3가 302-3,,,CDFF3242051992000009,3010000,,,,,,03,폐업,,,,,,,,,0,0,
N,근린생활시설,명동,2018-07-31,198683.763972494,450802.601253044,유통관련업,노래연습장업,,2026-05-06 22:37:58,I,03,폐업,N,N,,,,,,,N,,2018-07-31 11:23:12,,1992-10-30,100-042,서울특별시 중구 남산동2가 14-9,,,CDFF3242051992000010,3010000,,,,서울특별시 중구 퇴계로20길 15  (남산동2가),,03,폐업,N,,N,,,,,,,,
