아세틸렌수,사업장명,폐업일자,원심주조기수,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,치과용프레스수,상세영업상태코드,상세영업상태명,기공용컴프레서수,기공용레스수,기공용모터수,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,핀덱스수,포셀린로수,전기로수,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,샌드기수,서베이어수,휴업시작일자,휴업종료일자,소재지전화번호,트리머수,초음파청소기수,진공매몰기수,진동기수
1,예림치과기공소,2011-03-23,1,203306.556907212,461561.615483904,2026-05-06 22:35:22,I,1,03,폐업,,1,2,2011-03-23 14:55:30,,2004-12-16,132-893,서울특별시 도봉구 쌍문2동 644번지,PHMB320043090033062300001,3090000,,1,1,,,03,폐업,,1,,,,1,1,,1
1,에이펙스치과기공소,2020-07-10,1,203394.986722653,461478.663834333,2026-05-06 22:35:22,I,1,03,폐업,1,1,2,2020-07-10 13:07:03,,2004-12-23,,서울특별시 도봉구 창동 715번지 8호,PHMB320043090033062300002,3090000,1,1,1,서울특별시 도봉구 도봉로 570 (창동),01426,03,폐업,1,1,,,02-999-2807,1,1,1,1
1,Glory치과기공소,2016-08-02,1,202990.966469955,460865.293823829,2026-05-06 22:35:23,I,1,03,폐업,1,1,2,2016-08-02 15:06:58,,2005-07-14,132-866,서울특별시 도봉구 쌍문3동 88번지 16호,PHMB320053090033062300002,3090000,1,1,1,서울특별시 도봉구 노해로60길 23 (쌍문동),01442,03,폐업,1,1,,,02-316-7316,1,1,1,1
1,원치과기공소,2012-03-29,1,203085.515171933,461181.898286325,2026-05-06 22:35:23,I,1,03,폐업,1,1,2,2012-03-29 14:31:31,,2007-02-23,132-863,서울특별시 도봉구 쌍문2동 81번지 234호,PHMB320073090033062300001,3090000,1,1,1,서울특별시 도봉구 도봉로123길 22 (쌍문동),,03,폐업,1,1,,,02-907-2888,1,1,1,1
1,TEM치과기공소,2012-10-31,1,204006.844691966,461636.276370961,2026-05-06 22:35:23,I,1,03,폐업,1,1,2,2012-10-31 09:36:20,,2009-06-12,142-061,서울특별시 강북구 번1동 금호어울림아파트 102 1707,PHMB320093090033062300002,3090000,1,1,1,"서울특별시 도봉구 마들로13길 153 (창동, 옥산빌딩 101호)",,03,폐업,1,1,,,,1,1,1,1
1,제이티치과기공소,2010-05-17,1,203071.568977276,461437.490682857,2026-05-06 22:35:23,I,1,03,폐업,,1,2,2011-03-21 15:49:04,,2009-09-07,132-862,서울특별시 도봉구 쌍문2동 69번지 34호,PHMB320093090033062300003,3090000,,1,1,,,03,폐업,,1,,,,1,1,,1
1,맑음치과기공소,2010-12-03,1,204247.213401781,461131.830916668,2026-05-06 22:35:23,I,1,03,폐업,,1,2,2011-01-03 15:20:27,,2010-05-14,132-898,서울특별시 도봉구 창4동 5번지 1호 킹프라자2층 204호,PHMB320103090033062300002,3090000,,1,1,,,03,폐업,,1,,,02-503-2805,1,1,,1
1,뉴욕치과기공소,2012-12-14,1,203155.795411356,462559.959943125,2026-05-06 22:35:23,I,1,03,폐업,1,1,2,2012-12-14 16:58:22,,2010-12-24,132-848,서울특별시 도봉구 방학2동 661번지 8호 2층,PHMB320103090033062300004,3090000,1,1,1,서울특별시 도봉구 도당로 87 (방학동),,03,폐업,1,1,,,,1,1,1,1
1,베스트치과기공소,2011-12-02,1,203183.603351629,462020.595799549,2026-05-06 22:35:23,I,1,03,폐업,1,1,2,2011-12-02 18:09:12,,2011-08-22,132-858,서울특별시 도봉구 쌍문2동 26번지 21호,PHMB320113090033062300003,3090000,1,1,1,서울특별시 도봉구 도봉로139길 86 (쌍문동),,03,폐업,1,1,,,,1,1,1,1
1,치아생각치과기공소,2021-11-23,1,204004.945534634,461048.885008795,2026-05-06 22:35:23,I,1,03,폐업,1,1,2,2021-11-23 18:01:14,,2011-11-07,132-908,서울특별시 도봉구 창5동 333번지 2호 801호,PHMB320113090033062300004,3090000,1,1,1,서울특별시 도봉구 노해로65길 11 (창동),01405,03,폐업,1,1,,,02-998-7312,1,1,1,1
1,도봉예 덴탈 스튜디오,2019-12-26,1,203663.222587199,462505.455032714,2026-05-06 22:35:23,I,1,03,폐업,1,1,3,2019-12-26 13:09:51,,2014-01-16,,,PHMB320143090033062300001,3090000,1,1,1,"서울특별시 도봉구 도봉로 677, 5층 (방학동, 우리들메디빌딩)",01340,03,폐업,1,1,,,,1,1,1,1
1,코스메틱치과기공소,2020-05-25,1,202943.747074384,460414.868535121,2026-05-06 22:35:23,I,1,03,폐업,1,1,2,2020-05-25 10:24:23,,2014-01-20,,,PHMB320143090033062300002,3090000,1,1,1,서울특별시 도봉구 도봉로110길 12 (창동),01459,03,폐업,1,1,2019-12-26,2020-05-25,02-956-3939,1,1,1,1
1,대도치과기공소,2014-10-17,1,203183.603351629,462020.595799549,2026-05-06 22:35:23,I,1,03,폐업,1,1,3,2014-10-17 16:56:11,,2014-06-02,132-858,서울특별시 도봉구 쌍문동 26번지 21호,PHMB320143090033062300003,3090000,1,1,1,서울특별시 도봉구 도봉로139길 86 (쌍문동),,03,폐업,1,1,,,,1,1,1,1
1,월드치과기공소,2017-03-17,1,203183.603351629,462020.595799549,2026-05-06 22:35:23,I,1,03,폐업,1,1,4,2017-04-28 15:36:10,,2015-06-12,132-030,서울특별시 도봉구 쌍문동 26번지 21호,PHMB320153090033062300001,3090000,1,2,2,서울특별시 도봉구 도봉로139길 86 (쌍문동),01393,03,폐업,2,2,,,,1,1,1,1
1,세창치과기공소,2025-10-23,1,204063.565019682,461204.628081227,2026-05-06 22:35:24,I,1,03,폐업,1,1,2,2025-10-23 10:30:04,,1976-12-21,,서울특별시 도봉구 창동 135-14,PHMB320223090033062300001,3090000,1,1,1,"서울특별시 도봉구 노해로63다길 6, 4층 1호 (창동)",01399,03,폐업,1,1,,,,1,1,1,1
