건물지상층수,건물소유구분명,건물지하층수,사업장명,업태구분명,폐업일자,조건부허가시작일자,조건부허가신고사유,조건부허가종료일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,여성종사자수,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,사용시작지상층,사용시작지하층,사용끝지상층,사용끝지하층
0,,0,클린스쿨 서울,건물위생관리업,2026-02-05,,,,197607.398336321,452120.026024435,2026-05-06 22:52:59,I,02,폐업,0,2026-02-09 11:12:37,2024-06-21,6.45,110-071,서울특별시 종로구 당주동 145,N,1,3000000-206-2024-00002,3000000,"서울특별시 종로구 세종대로23길 47, 601-45호 (당주동)",03182,03,폐업,건물위생관리업,,,,,
0,,0,민도환경개발,건물위생관리업,,,,,200971.425717609,453113.875178674,2026-05-06 22:53:00,I,01,영업,0,2026-03-11 15:37:18,2026-03-11,18.90,110-771,서울특별시 종로구 창신동 703 창신쌍용아파트 2지구 상가,N,0,3000000-206-2026-00002,3000000,"서울특별시 종로구 낙산길 196, 창신쌍용아파트 2지구 상가 지층 7,10호 (창신동)",03092,01,영업/정상,건물위생관리업,,,,,
,,,주식회사 씨앤에스 자산관리,건물위생관리업,,,,,197567.849954354,452567.159554494,2026-05-06 22:52:43,I,01,영업,,2020-09-11 14:06:56,1987-05-12,485.00,110-756,서울특별시 종로구 적선동 80 적선현대빌딩 907호,N,,3000000-206-1987-01670,3000000,"서울특별시 종로구 사직로 130, 907호 (적선동)",03170,01,영업/정상,건물위생관리업,02-732-9676,,,,
3,,,우지기업(주),건물위생관리업,,,,,197336.583984987,452534.336253542,2026-05-06 22:52:12,I,01,영업,,2025-06-02 13:26:49,1987-05-09,313.00,110-053,서울특별시 종로구 내자동 167-2,N,,3000000-206-1987-01672,3000000,서울특별시 종로구 사직로10길 17 (내자동),03169,01,영업/정상,건물위생관리업,02-737-8822,,,2,
,,,영진비엠에스(주),건물위생관리업,,,,,199035.365798345,452223.87544057,2026-05-06 22:52:54,I,01,영업,,2017-11-07 17:28:08,1987-05-09,.00,110-807,서울특별시 종로구 돈의동 39-2 대성빌딩 201호,N,,3000000-206-1987-01675,3000000,"서울특별시 종로구 돈화문로11길 29, 701호 (돈의동, 낙원오피스텔)",03139,01,영업/정상,건물위생관리업,02-763-1038,,,2,
,,,미림개발(주),건물위생관리업,,,,,198204.837322667,452293.432531176,2026-05-06 22:52:14,I,01,영업,,2025-06-02 13:27:44,1988-07-07,92.00,110-140,서울특별시 종로구 수송동 80-6 석탄회관 3층,N,,3000000-206-1988-01684,3000000,"서울특별시 종로구 종로5길 58 (수송동,석탄회관 3층)",03151,01,영업/정상,건물위생관리업,02-739-9535,,,2,
,,,주)동명엔지니어링,건물위생관리업,,,,,198351.818737482,451921.60302604,2026-05-06 22:52:28,I,01,영업,,2025-06-02 13:28:25,1996-11-04,63.00,110-752,서울특별시 종로구 서린동 33 영풍빌딩 2동 4층호,N,,3000000-206-1996-01721,3000000,"서울특별시 종로구 청계천로 41, 2동 4층호 (서린동,영풍빌딩)",03188,01,영업/정상,건물위생관리업,02-399-6670,,,3,
0,,0,양성실업,건물위생관리업,,,,,197588.600313202,452991.40048157,2026-05-06 22:52:30,I,01,영업,,2025-12-05 13:55:35,1996-12-26,246.85,110-040,서울특별시 종로구 통의동 3-0,N,,3000000-206-1996-01723,3000000,서울특별시 종로구 자하문로10길 36 (통의동),03044,01,영업/정상,건물위생관리업,02-720-3533,0,0,3,0
0,,0,(주)진명스탭스,건물위생관리업,,,,,197479.822436554,452013.403992564,2026-05-06 22:52:09,I,01,영업,,2025-10-10 10:53:18,1997-04-03,155.37,110-061,서울특별시 종로구 신문로1가 58-1 구세군회관,N,,3000000-206-1997-01726,3000000,"서울특별시 종로구 새문안로 69, 구세군회관 3층 (신문로1가)",03175,01,영업/정상,건물위생관리업,02-738-9126,0,0,3,0
,,,(주)아이앤지,건물위생관리업,,,,,198658.943470079,452604.254902527,2026-05-06 22:52:11,I,01,영업,,2025-06-02 13:29:13,1999-04-17,13.00,110-310,서울특별시 종로구 경운동 89-4 운현궁SK허브빌딩 A동관리실,N,,3000000-206-1999-01745,3000000,"서울특별시 종로구 삼일대로 461 (경운동,운현궁SK허브빌딩 A동관리실)",03147,01,영업/정상,건물위생관리업,02-722-8580,,,3,
,,,우지산업(주),건물위생관리업,,,,,197336.583984987,452534.336253542,2026-05-06 22:52:11,I,01,영업,,2019-04-11 15:07:39,1999-07-29,99.00,110-053,서울특별시 종로구 내자동 167-2 인왕빌딩2층,N,,3000000-206-1999-01749,3000000,서울특별시 종로구 사직로10길 17 (내자동),03169,01,영업/정상,건물위생관리업,02-730-1593,,,3,
12,임대,3,주식회사더맨,건물위생관리업,,,,,198592.597470985,452190.992738652,2026-05-06 22:52:05,I,01,영업,,2025-06-02 13:30:04,2004-11-04,165.00,110-778,서울특별시 종로구 인사동 194-24 태화빌딩1202,N,,3000000-206-2004-00011,3000000,"서울특별시 종로구 인사동5길 29, 태화빌딩동 1202호 (인사동)",03162,01,영업/정상,건물위생관리업,02-723-1212,12,,12,
,,,에이스크리닝,건물위생관리업,,,,,198816.493844918,451913.950189702,2026-05-06 22:52:09,I,01,영업,,2017-11-07 17:46:51,2004-12-20,.00,110-111,서울특별시 종로구 관철동 7-1 외1필지(7-25) 지하2층,N,,3000000-206-2004-00017,3000000,"서울특별시 종로구 삼일대로 391 (관철동,외1필지(7-25) 지하2층)",03190,01,영업/정상,건물위생관리업,02-733-8181,,,,
,,,(주)현대에쓰앤에쓰,건물위생관리업,,,,,197384.844172315,452526.630451394,2026-05-06 22:52:03,I,01,영업,,2025-06-02 13:30:57,2005-08-26,228.80,110-053,서울특별시 종로구 내자동 186 광희빌딩,N,,3000000-206-2005-00009,3000000,"서울특별시 종로구 사직로12길 21 (내자동,광희빌딩)",03169,01,영업/정상,건물위생관리업,02-7544-9118,4,,4,
,,,평아실업(주),건물위생관리업,,,,,201279.677243439,452433.230830722,2026-05-06 22:52:09,I,01,영업,,2018-04-25 10:18:56,2006-03-13,42.75,110-840,서울특별시 종로구 창신동 237 래스빌 4층,N,,3000000-206-2006-00006,3000000,서울특별시 종로구 지봉로5길 5 (창신동),03104,01,영업/정상,건물위생관리업,02-734-3731,10,,10,
19,,,(주)뉴브테크,건물위생관리업,,,,,201282.378349367,452249.643664396,2026-05-06 22:52:09,I,01,영업,,2025-12-01 09:50:50,2006-03-28,30.00,110-841,서울특별시 종로구 창신동 327-2 금호팔레스,N,,3000000-206-2006-00008,3000000,"서울특별시 종로구 지봉로 29, 금호팔레스 지하2층 (창신동)",03121,01,영업/정상,건물위생관리업,60975678,3,,3,
,임대,,싼타씨앤에스(주),건물위생관리업,,,,,199917.22023781,452390.167805309,2026-05-06 22:52:42,I,01,영업,,2025-06-02 13:31:50,2006-08-29,75.90,110-470,서울특별시 종로구 연지동 136-5,N,,3000000-206-2006-00010,3000000,"서울특별시 종로구 김상옥로 17, 302호 (연지동)",03128,01,영업/정상,건물위생관리업,02-2261-1225,8,,8,
