사업장명,사업자등록번호,종별명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,배출시설연간가동일수,배출시설조업시간,환경업무구분명,최종수정시점,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,주생산품명,방지시설연간가동일수,방지시설조업시간,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호,업종구분명
뿔테와금테안경원,1110127209,,,,192677.728766372,457448.004095905,2026-05-15 22:54:03,I,11,영업,,,기타수질오염원관리,2021-07-02 09:54:06,2021-07-02,,서울특별시 은평구 갈현동 452-29 1층,311000025202100061,3110000,,,,"서울특별시 은평구 연서로29길 21, 1층 (갈현동)",03331,,01,영업/정상,,,02-352-8882,
으뜸50안경 응암점,6671901202,,,,192392.925492986,455206.719199779,2026-05-15 22:54:03,I,11,영업,,,기타수질오염원관리,2021-07-02 09:54:07,2021-07-02,,서울특별시 은평구 신사동 2-15 2층,311000025202100062,3110000,,,,"서울특별시 은평구 은평로3길 1, 2층 (신사동)",03422,,01,영업/정상,,,02-355-5055,
이안.렌즈아이,6870501742,,,,192110.579533257,455117.513947338,2026-05-15 22:54:03,I,11,영업,,,기타수질오염원관리,2021-07-02 09:54:08,2021-07-02,,서울특별시 은평구 신사동 20-26 1층,311000025202100063,3110000,,,,"서울특별시 은평구 은평로 33, 1층 (신사동)",03423,,01,영업/정상,,,02-355-7879,
으뜸50안경 연신내점,4046200326,,,,192963.278707466,457362.284809028,2026-05-15 22:54:03,I,11,영업,,,기타수질오염원관리,2022-12-01 11:20:17,2021-07-02,,서울특별시 은평구 대조동 185-1 신한은행,311000025202100064,3110000,,,,"서울특별시 은평구 통일로 845, 신한은행 (대조동)",03385,,01,영업/정상,,,,
신안경,1226200327,,,,192311.426388077,456720.988373959,2026-05-15 22:54:03,I,11,영업,,,기타수질오염원관리,2023-02-16 17:56:18,2021-07-02,,"서울특별시 은평구 구산동 199-1 1, 2층",311000025202100065,3110000,,,,"서울특별시 은평구 서오릉로 177, 1, 2층 (구산동)",03410,,01,영업/정상,,,02-355-1090,
아프리카랩 이마트은평점,1216466392,,,,192882.837727443,455340.54056388,2026-05-15 22:54:03,I,11,영업,,,기타수질오염원관리,2021-07-02 15:47:43,2021-07-02,,서울특별시 은평구 응암동 90-1 은평이마트 8층,311000025202100066,3110000,,,,"서울특별시 은평구 은평로 111, 은평이마트 8층 (응암동)",03461,,01,영업/정상,,,,
은평성모안경,1100633950,,,,192525.587513982,459028.508907601,2026-05-15 22:54:03,I,11,영업,,,기타수질오염원관리,2021-07-02 15:47:44,2021-07-02,,서울특별시 은평구 진관동 55 지하2 B2AM2호,311000025202100068,3110000,,,,"서울특별시 은평구 통일로 1021, 지하2층 B2AM25호 (진관동)",03312,,01,영업/정상,,,,
안경마을,1101793444,,,,193317.738544274,457582.41071229,2026-05-15 22:54:03,I,11,영업,,,기타수질오염원관리,2021-07-02 15:47:45,2021-07-02,,서울특별시 은평구 불광동 353-59 1층,311000025202100069,3110000,,,,"서울특별시 은평구 연서로 274, 1층 (불광동)",03349,,01,영업/정상,,,,
안경공장.공장장 렌즈아이,8023900013,,,,191964.672329596,453567.143943658,2026-05-15 22:54:03,I,11,영업,,,기타수질오염원관리,2021-07-02 15:47:45,2021-07-02,,서울특별시 은평구 증산동 168-2 1층,311000025202100070,3110000,,,,"서울특별시 은평구 증산로 305, 1층 (증산동)",03499,,01,영업/정상,,,02-307-0015,
아름다운시선,1491401048,,,2026-03-10,192166.504347874,456841.083566889,2026-05-15 22:54:03,I,2,폐업,,,기타수질오염원관리,2026-03-13 16:37:25,2021-07-02,,서울특별시 은평구 갈현동 498-4 구산빌딩 105호,311000025202100071,3110000,,,,"서울특별시 은평구 서오릉로 196, 구산빌딩 1층 105호 (갈현동)",03335,,03,폐업,,,02-6356-0429,
