사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,판매방식명,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
(주)예스20토탈푸드,기타,,182205.57586257,438987.291584968,2026-04-16 03:03:03,U,01,정상영업,2026-04-15 13:38:21,,2022-01-14,,경기도 시흥시 대야동 ***-* ***호,2022401031730200105,인터넷,4010000,"경기도 시흥시 은계중앙로***번길 **, ***호 (대야동)",14923,,01,영업/정상,,,
에소코핏 수원매탄점,건강/식품,,203824.816255332,417477.862472209,2026-04-16 03:03:03,U,07,직권말소,2026-04-15 11:09:15,,2024-06-10,,경기도 수원시 영통구 매탄동 ****-* 풍성프라자,2024561001830201165,인터넷,3740000,"경기도 수원시 영통구 효원로 ***, 풍성프라자 *층 ***호 (매탄동)",16545,,04,취소/말소/만료/정지/중지,,,
유토피아직구,종합몰,,203558.785729619,418032.182779948,2026-04-16 03:03:03,U,07,직권말소,2026-04-15 13:43:55,,2023-03-14,,경기도 수원시 영통구 매탄동 ***-**,2024561001830200565,인터넷,3740000,"경기도 수원시 영통구 인계로***번길 *-**, *층 D*호 (매탄동)",16543,,04,취소/말소/만료/정지/중지,,,
까미스토어,종합몰,2026-04-15,192836.175503657,433096.961985795,2026-04-16 03:03:03,U,05,타시군구이관,2026-04-15 09:19:46,,2025-06-18,,경기도 안양시 만안구 안양동 ***-** PROJECT *** TOWER,2025384003330201706,인터넷,3830000,"경기도 안양시 만안구 병목안로 *, PROJECT *** TOWER ****-B***호 (안양동)",14001,,05,제외/삭제/전출,,,
이야기상점,종합몰,,211440.768643519,449552.881143351,2026-04-16 03:03:03,U,07,직권말소,2026-04-15 15:09:39,,2024-08-12,,서울특별시 강동구 천호동 ***-** 지에스하우징허브,2024324028930201536,인터넷,3240000,"서울특별시 강동구 상암로 **-**, ***호 (천호동, 지에스하우징허브)",05319,,04,취소/말소/만료/정지/중지,,,
베네핏포유,종합몰,,204673.372825915,418637.849489925,2026-04-16 03:03:03,U,07,직권말소,2026-04-15 11:10:55,,2024-05-29,,경기도 수원시 영통구 매탄동 **** 매탄 e-편한세상,2024561001830201113,인터넷,3740000,"경기도 수원시 영통구 매봉로 **, ***동 ****호 (매탄동, 매탄 e-편한세상)",16527,,04,취소/말소/만료/정지/중지,,,
코지컴퍼니,종합몰,,207380.415858229,418468.344740308,2026-04-16 03:03:03,U,07,직권말소,2026-04-15 13:53:53,,2024-02-20,,경기도 수원시 영통구 영통동 ****-* 신명.한국아파트,2024561001830200361,인터넷,3740000,"경기도 수원시 영통구 봉영로****번길 **, ***동 ****호 (영통동, 신명.한국아파트)",16713,,04,취소/말소/만료/정지/중지,,,
하나,종합몰,,204253.682657335,415715.31694804,2026-04-16 03:03:03,U,07,직권말소,2026-04-15 10:12:12,,2025-07-16,,경기도 수원시 영통구 망포동 *** 힐스테이트 영통,2025561001830200938,인터넷,3740000,"경기도 수원시 영통구 덕영대로 ****-**, ***동 ***호 (망포동, 힐스테이트 영통)",16685,,04,취소/말소/만료/정지/중지,,,
예인,의류/패션/잡화/뷰티,,211458.648093395,450316.255472825,2026-04-16 03:03:03,U,07,직권말소,2026-04-15 15:17:19,,2024-07-30,,서울특별시 강동구 암사동 ***-** 정산아파트,2024324028930201476,인터넷,3240000,"서울특별시 강동구 고덕로 **, *층 ***-***호 (암사동, 정산아파트)",05238,,04,취소/말소/만료/정지/중지,,,
미니베이스몰,종합몰,2026-04-15,218737.593076975,459198.00118486,2026-04-16 03:03:03,U,05,타시군구이관,2026-04-15 10:05:21,,2024-05-24,,경기도 남양주시 금곡동 ***-** 금곡종합상가,2024399033030200653,인터넷,3990000,"경기도 남양주시 경춘로 ****, 금곡종합상가 ***호 c*** (금곡동)",12237,,05,제외/삭제/전출,,,
