사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,환경업무구분명,최종수정시점,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,허용보관량,허용보관량내용,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호,폐기물처리업별처리구분명,폐기물처리업구분명,폐기물구분명
(공동대표)용마산건설기계,2023-12-15,207564.341809894,452077.782812274,2026-05-03 22:52:12,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2023-12-19 11:15:48,2004-08-17,131-838,서울특별시 중랑구 면목동 1342-8,306000092200400001,3060000,0,,서울특별시 중랑구 용마산로 194 (면목동),,,03,폐업,,,,,수집운반업(건설폐기물),
(주)승룡산업개발,2009-07-17,206626.781470177,454869.033338356,2026-05-03 22:52:12,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2009-07-17 15:37:50,2007-08-08,131-120,서울특별시 중랑구 중화동 320-24 2층,306000092200700003,3060000,0,,,,,03,폐업,,,,,수집운반업(건설폐기물),
(주)해광개발,2011-04-29,208344.803726113,454227.126047154,2026-05-03 22:52:13,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2011-04-29 17:27:40,2011-04-29,131-807,서울특별시 중랑구 망우동 526-25,306000092200700009,3060000,0,,,,,03,폐업,,,02-435-5454,,수집운반업(건설폐기물),
(주)드림건설산업,2012-12-12,207982.810825453,454980.023827024,2026-05-03 22:52:13,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2012-12-12 16:37:30,2012-12-12,131-858,서울특별시 중랑구 상봉동 81-5 한일써너스빌104-905,306000092201000001,3060000,0,,"서울특별시 중랑구 망우로 346, 104동 9층 905호 (상봉동, 한일써너스빌)",,,03,폐업,,,02-491-4372,,수집운반업(건설폐기물),
동광건설기계,2024-12-17,207990.479257211,457183.637796144,2026-05-03 22:52:14,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2024-12-18 14:41:33,2015-09-16,,서울특별시 중랑구 신내동 648 디아뜨갤러리 308호,306000092201500002,3060000,,,"서울특별시 중랑구 신내로 225, 디아뜨갤러리 308호 (신내동)",02024,,03,폐업,,,02-930-2609,,수집운반업(건설폐기물),
지성중기산업(주),2009-05-07,206245.790684207,457807.101290694,2026-05-03 22:46:41,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2009-05-13 13:31:56,2007-01-22,139-241,서울특별시 노원구 공릉동 571-22 401호,310000092200700003,3100000,,,"서울특별시 노원구 섬밭로 66,  401호 (공릉동)",,,03,폐업,,,,,,
불현건설(주),2009-06-05,207301.617322514,460170.798782455,2026-05-03 22:46:41,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2009-06-05 16:31:29,2007-06-11,139-229,서울특별시 노원구 중계동 27 우암타운 205-2,310000092200700016,3100000,,,"서울특별시 노원구 중계로 90  (중계동,우암타운 205-2)",,,03,폐업,,,,,수집운반업(건설폐기물),
(주)세진이디아이,2009-06-11,205258.439990471,458193.783513013,2026-05-03 22:46:41,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2009-06-17 15:33:01,2008-01-04,139-050,서울특별시 노원구 월계동 368-2,310000092200800001,3100000,0,,,,,03,폐업,,,02-943-6222,,수집운반업(건설폐기물),
티이인베스트(주),2013-08-19,206374.052764078,457214.87549541,2026-05-03 22:46:42,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2013-08-19 10:06:01,2013-08-19,,,310000092201100002,3100000,0,,서울특별시 노원구 섬밭로 4 (공릉동),,,03,폐업,,,02-2201-7565,,수집운반업(건설폐기물),
(주)현승이앤씨,2020-10-12,205030.232776148,458501.154304426,2026-05-03 22:46:42,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2020-10-12 10:53:05,2020-10-12,,서울특별시 노원구 월계동 635-4 그랑디오피스텔,310000092201100005,3100000,,,"서울특별시 노원구 월계로 334, 315호 (월계동, 그랑디오피스텔)",01885,,03,폐업,,,02-979-5681,,수집운반업(건설폐기물),
성우종합환경(주),2024-10-15,205741.120118488,462000.122392672,2026-05-03 22:46:42,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2025-09-01 12:35:47,2014-06-25,,서울특별시 노원구 상계동 1283 상계성원아파트 101동 13호,310000092201400002,3100000,,,"서울특별시 노원구 노원로34길 34, 101동 13호 (상계동, 성원아파트)",01679,,03,폐업,,,02-935-8840,,수집운반업(건설폐기물),
(주)삼성티엘에스,2021-08-10,193505.659256906,455649.857305657,2026-05-03 22:52:13,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2021-08-11 14:10:48,2002-07-18,122-829,서울특별시 은평구 녹번동 83-50,311000092200200002,3110000,,,서울특별시 은평구 녹번로 10 (녹번동),,,03,폐업,,,,,수집운반업(건설폐기물),
한림환경개발(주),2010-12-31,192322.752261379,455914.218997297,2026-05-03 22:52:13,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2010-12-31 11:14:28,2010-12-31,122-070,서울특별시 은평구 역촌동 59-30 광성빌딩4층 402호,311000092200400002,3110000,0,,"서울특별시 은평구 역말로 32  (역촌동,광성빌딩4층 402호)",,,03,폐업,,,,,수집운반업(건설폐기물),
까치환경,2008-05-07,163445.003580453,463907.264221872,2026-05-03 22:52:19,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2010-01-07 13:39:37,2003-01-08,415-861,경기도 김포시 통진읍 가현리 616-1,356000092200300009,3560000,,,경기도 김포시 통진읍 가현로85번길 109-1,,,03,폐업,,,,,수집운반업(건설폐기물),
(공동대표)하나로건기,,207423.955101627,452476.697093769,2026-05-03 22:52:12,I,BBBB,영업,건설폐기물처리업사업계획(허가)신청,2026-02-21 18:07:11,2001-05-24,,서울특별시 중랑구 면목동 379-35,306000092200100005,3060000,0,,서울특별시 중랑구 면목로 241 (면목동),02245,,01,영업/정상,,,02-2208-2244,,수집운반업(건설폐기물),
(주)상익공영,,206608.815698166,456579.093289836,2026-05-03 22:52:12,I,BBBB,영업,건설폐기물처리업사업계획(허가)신청,2025-03-12 08:59:45,2003-10-30,,서울특별시 중랑구 묵동 240-3 2층,306000092200300002,3060000,0,,"서울특별시 중랑구 중랑역로 203, 2층 (묵동)",02007,,01,영업/정상,,,02-433-6112,,수집운반업(건설폐기물),
재명중기,,207423.955101627,452476.697093769,2026-05-03 22:52:12,I,1,휴업,건설폐기물처리업사업계획(허가)신청,2020-09-21 15:15:27,2007-08-10,,서울특별시 중랑구 면목동 379-35,306000092200700004,3060000,0,,,,,02,휴업,2008-11-28,,,,수집운반업(건설폐기물),
