사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호,총규모
열린보청기,,203757.898148713,463128.847136861,2026-05-03 22:36:02,I,13,영업중,2024-05-24 16:14:56,,2024-05-24,,서울특별시 도봉구 도봉동 ***-** *층,PHMG120243090033047000020,3090000,"서울특별시 도봉구 도봉로 ***, *층 (도봉동)",01349,01,영업/정상,,,,
다나은메디컬,2025-07-04,203757.403073624,455668.42038114,2026-05-03 22:36:32,I,03,폐업,2025-07-04 10:04:57,,2024-03-28,,서울특별시 성북구 하월곡동 **-*,PHMG120243070034047000018,3070000,"서울특별시 성북구 화랑로 ***, *층 ***호 (하월곡동)",02793,03,폐업,,,,
GS25 삼선센터점,,201183.443527373,454250.361329971,2026-05-03 22:36:16,I,13,영업중,2022-07-15 14:56:01,,2022-07-15,,서울특별시 성북구 삼선동*가 *** 동진빌딩,PHMG120223070034047000186,3070000,"서울특별시 성북구 보문로 ***, 우리은행 *층 (삼선동*가)",02861,01,영업/정상,,,,
부성,,205213.572449205,456779.949363989,2026-05-03 22:36:09,I,13,영업중,2022-02-16 14:43:24,,2022-02-16,,서울특별시 성북구 장위동 **-** 크라운빌딩,PHMG120223070034047000075,3070000,"서울특별시 성북구 한천로 ***, 크라운빌딩 ***호 (장위동)",02775,01,영업/정상,,,02-943-3477,
벤더몰,2023-06-20,204335.057042232,461157.210858518,2026-05-03 22:35:37,I,03,폐업,2023-06-20 17:40:23,,2021-09-29,,서울특별시 도봉구 창동 **,PHMG120213090033047000066,3090000,"서울특별시 도봉구 노해로**길 **-**, ***호 (창동)",01414,03,폐업,,,,
티오메디칼,,203268.954700555,461364.248311452,2026-05-03 22:34:46,I,13,영업중,2023-08-30 14:12:18,,2015-09-03,,서울특별시 도봉구 쌍문동 ***,PHMG120153090033047000054,3090000,"서울특별시 도봉구 도봉로 ***, ***호 (쌍문동)",01436,01,영업/정상,,,02-461-3448,
폭트에이블,2019-08-13,204746.21261151,456616.565104138,2026-05-03 22:35:30,I,24,직권폐업,2019-08-14 14:10:21,,2018-03-21,,서울특별시 성북구 장위동 **번지 *호 창마빌딩,PHMG120183070034047000022,3070000,"서울특별시 성북구 화랑로**길 **, 창마빌딩 *층 (장위동)",02771,04,취소/말소/만료/정지/중지,,,,
브로스메디칼,,202931.815835411,460390.421838996,2026-05-03 22:35:00,I,15,전출,2018-05-25 17:54:03,,2018-03-29,,서울특별시 도봉구 창동 ***번지 *호 *층,PHMG120183090033047000011,3090000,"서울특별시 도봉구 도봉로***다길 *, *층 (창동)",01459,05,제외/삭제/전출,,,,
씨유쌍문사랑점,2025-11-26,202725.958827629,460286.734892203,2026-05-03 22:35:38,I,03,폐업,2025-11-27 11:31:32,,2022-02-03,,서울특별시 도봉구 쌍문동 ***-***,PHMG120223090033047000003,3090000,"서울특별시 도봉구 도봉로***길 **, *층 (쌍문동)",01448,03,폐업,,,02-993-7620,
JH헬스케어,2020-06-12,202689.140668396,455074.622569918,2026-05-03 22:35:30,I,03,폐업,2020-06-12 17:29:59,,2018-03-19,,서울특별시 성북구 종암동 **번지 **호,PHMG120183070034047000021,3070000,"서울특별시 성북구 종암로**길 **, ***호 (종암동)",02804,03,폐업,,,,
