사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,판매점영업면적,휴업시작일자,휴업종료일자,소재지전화번호
지에스(GS)25 강동아이파크,2022-06-02,214664.448707872,449988.903849666,2026-05-03 22:31:23,I,03,폐업,2022-06-02 14:34:11,,2020-05-06,,서울특별시 강동구 상일제1동 131번지 고덕센트럴아이파크아파트(상가A동) 108호,PHMH320203240033087500015,3240000,"서울특별시 강동구 고덕로80길 123, 고덕센트럴아이파크아파트(상가A동) 108호 (상일제1동)",05276,03,폐업,,,,
지에스25(GS25) 강동성일점,2024-04-01,211203.682231648,447387.325955188,2026-05-03 22:31:03,I,03,폐업,2024-04-01 15:35:21,,2020-05-07,,서울특별시 강동구 성내동 543번지 화양빌딩,PHMH320203240033087500016,3240000,"서울특별시 강동구 성내로13길 14 (성내동, 화양빌딩)",05396,03,폐업,57,,,
씨유 고덕베네루체점,2023-05-26,214746.842743747,449675.19797727,2026-05-03 22:31:25,I,03,폐업,2023-05-26 18:59:12,,2020-05-12,,서울특별시 강동구 상일제1동 187번지 고덕롯데캐슬베네루체아파트(상가B동) 104호,PHMH320203240033087500018,3240000,"서울특별시 강동구 구천면로 636, 고덕롯데캐슬베네루체아파트(상가B동) 1층 104호 (상일제1동)",05281,03,폐업,,,,
씨유 고덕센트럴점,2022-10-12,214664.448707872,449988.903849666,2026-05-03 22:31:23,I,03,폐업,2022-10-13 09:29:52,,2020-05-20,,서울특별시 강동구 상일제1동 131번지 고덕센트럴아이파크아파트(상가A동),PHMH320203240033087500019,3240000,"서울특별시 강동구 고덕로80길 123, 고덕센트럴아이파크아파트(상가A동) 1층 104호 (상일제1동)",05276,03,폐업,41,,,
지에스25(GS25)강동펠리스점,2022-02-17,212366.840633987,450251.758832252,2026-05-03 22:31:04,I,03,폐업,2022-02-17 15:00:51,,2020-06-10,,서울특별시 강동구 암사동 413번지 3호 프라이어팰리스,PHMH320203240033087500025,3240000,"서울특별시 강동구 고덕로 140, 프라이어팰리스 119-2, 120-1호 (암사동)",05256,03,폐업,,,,
GS(지에스)25 고덕아르테온,2022-01-07,214844.691529811,450341.891483543,2026-05-03 22:31:25,I,03,폐업,2022-01-07 16:42:50,,2020-06-23,,서울특별시 강동구 상일제1동 121번지 고덕아르테온아파트(상가2동) 101-2호,PHMH320203240033087500026,3240000,"서울특별시 강동구 고덕로 380, 고덕아르테온아파트(상가2동) 101-2호 (상일제1동)",05274,03,폐업,,,,
지에스(GS)25 강일MK,2024-06-03,215361.163713829,452213.416817557,2026-05-03 22:31:04,I,03,폐업,2024-06-04 10:41:10,,2020-08-31,,,PHMH320203240033087500031,3240000,"서울특별시 강동구 아리수로93나길 50, MK프라자 (강일동)",05201,03,폐업,,,,
롯데씨브이에스711 길동드림힐점,2024-09-23,211996.200294662,448413.6296306,2026-05-03 22:31:24,I,03,폐업,2024-09-23 15:39:51,,2020-09-01,,서울특별시 강동구 길동 385-4 이스트드림힐아파트 101호,PHMH320203240033087500032,3240000,"서울특별시 강동구 양재대로111길 54, 1층 101호 (길동, 이스트드림힐아파트)",05354,03,폐업,,,,1577-9621
지에스25(GS25) 강동제일점,2023-04-28,210818.367448819,448303.423508307,2026-05-03 22:31:04,I,03,폐업,2023-05-01 09:48:00,,2020-09-03,,,PHMH320203240033087500033,3240000,"서울특별시 강동구 올림픽로 622, 케이디빌딩 (성내동)",05378,03,폐업,,,,
주식회사 코리아세븐 성내본점,2024-10-29,211583.956740628,447395.344536037,2026-05-03 22:31:25,I,03,폐업,2024-10-31 11:26:48,,2020-09-08,,서울특별시 강동구 성내동 423-13 석영빌딩,PHMH320203240033087500034,3240000,"서울특별시 강동구 양재대로91길 77, 석영빌딩 1층 (성내동)",05403,03,폐업,,,,
